,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18
/artists/3684861-chk-chk-chk,!!! (Chk Chk Chk),!!!,1mmehjf7eHA10uHMisZGJg,0.3,47.0,135100.0,305800.0,alternative dance,dance rock,dance-punk,electroclash,electronica,new rave,sacramento indie,,,,,,,,,,,
/artists/694091-kadebostan,!!!Kadebostan!!!,Kadebostan,6hWRK8VkzbYP9p17M5APJR,0.77,11.0,1348.0,2000.0,swiss techno,,,,,,,,,,,,,,,,,
/artists/5929284-brothers-in-bamako,"""Brothers In Bamako""",,,,,,,,,,,,,,,,,,,,,,,,
/artists/8704378-floyd-division-the-austrian-pink-floyd-tribute-band,"""Floyd Division"" The Austrian Pink Floyd Tribute Band",,,,,,,,,,,,,,,,,,,,,,,,
/artists/7172094-jazzetcetera-stewy-von-wattenwyl-group-feat-lisette-spinnler,"""Jazz...etcetera"" Stewy von Wattenwyl Group,  feat. Lisette Spinnler",,,,,,,,,,,,,,,,,,,,,,,,
/artists/7433784-pyramids-jazz,"""The Pyramids"" ",The Pyramids,7Krj6vYZibCNyVu9iLqlt8,0.92,28.0,5153.0,27100.0,instrumental surf,surf music,,,,,,,,,,,,,,,,
/artists/8375378-agcrew,#AGCrew,Acres,3y43zXffnLmhyQD1K4QCmD,0.67,31.0,17807.0,26900.0,melodic hardcore,,,,,,,,,,,,,,,,,
/artists/44425-smoove,$MOOVE,$moove,3fPGaOzFjcynEbxfinAGi4,1.0,4.0,15.0,75.0,,,,,,,,,,,,,,,,,,
/artists/7809989-and-francis-fruit,& Francis Fruit,,,,,,,,,,,,,,,,,,,,,,,,
/artists/8672184-and-friends,& Friends,& Friends,2eRxdRJPlhgdDk9SC6UJD2,1.0,0.0,117.0,75.0,,,,,,,,,,,,,,,,,,
/artists/7958443-and-the-calling-sirens,& The Calling Sirens,The Calling Sirens,1ORY7bHVmnSxZ82DWV6So9,0.95,1.0,77.0,27.0,,,,,,,,,,,,,,,,,,
/artists/19529-etre,(Etre),(Etre),6QF7pAFRSjBDEDfIlIpgtj,1.0,0.0,18.0,27.0,,,,,,,,,,,,,,,,,,
/artists/131307-hed-pe,(Hed) P.E.,(Hed) P.E.,0xIChbcTsuYLueN1oEsX9v,1.0,53.0,158562.0,405500.0,alternative metal,industrial metal,nu metal,rap metal,rap rock,,,,,,,,,,,,,
/artists/354666-bihtnik,(bih`tnik),[bih'tnik],2zlnW9GESgL9jhjal3tUzJ,0.7,1.0,71.0,44.0,,,,,,,,,,,,,,,,,,
/artists/1301647-meer,**@meer**,MEER,4pAX6VBnbccF9uVcb9EGiq,0.62,21.0,1420.0,2400.0,deep progressive rock,,,,,,,,,,,,,,,,,
/artists/888062-food-for-ya-soul,*FOOD FOR YA SOUL*,,,,,,,,,,,,,,,,,,,,,,,,
/artists/8309718-special-guest-tba,+ Special Guest TBA,,,,,,,,,,,,,,,,,,,,,,,,
/artists/5563503-,+++,+++,2omFrAln7XB3qMAc79qR6q,1.0,3.0,118.0,194.0,,,,,,,,,,,,,,,,,,
/artists/9525634-sylvano,- sylvano -,SYLVANO,4dE0APO4S5W1VLeYCKMuO4,0.78,2.0,1039.0,212.0,,,,,,,,,,,,,,,,,,
/artists/1367596-m,-M-,-M-,6soPpJHlCtN6SY8pWlfbC6,1.0,60.0,338648.0,1200000.0,chanson,french indie pop,french pop,french rock,nouvelle chanson francaise,,,,,,,,,,,,,
/artists/642733-nesseria,-NESSERIA -,Nesseria,4JwOufSgwNfYW2l62ZWVuT,0.84,3.0,731.0,120.0,blackened hardcore,,,,,,,,,,,,,,,,,
/artists/738563-stylez,-Stylez-,X-Stylez,0HUWy6PHHNrDsZS2EcoQbt,0.88,16.0,902.0,1400.0,,,,,,,,,,,,,,,,,,
/artists/589187-,...,...,0Xy7pMtVf9WXxibcd0TefP,1.0,17.0,207.0,1400.0,,,,,,,,,,,,,,,,,,
/artists/1285966-well,....WËLL....,WELL$,0LHzh8WdqxdtnTzp0XIOyZ,0.35,39.0,8468.0,143900.0,north carolina hip hop,underground hip hop,,,,,,,,,,,,,,,,
/artists/9850299-leaves-ger,.Leaves ,.Leaves,4sDPglsR1TdpkFfOHcbTQx,1.0,0.0,85.0,36.0,,,,,,,,,,,,,,,,,,
/artists/474915-hack,.hack,Hack,6igU78hsXAtUIqxnYJDBET,0.89,21.0,257.0,184.0,persian alternative,persian rock,,,,,,,,,,,,,,,,
/artists/10159035-a-ch,/A\ ,/A\,1WA1SWeNziSZUY0oCtNeP7,1.0,15.0,656.0,1400.0,swiss indie,,,,,,,,,,,,,,,,,
/artists/5352303-05ric,05ric,06Ricky,5sBmJ5y2Cw745BK3kCG3ce,0.67,0.0,5.0,7.0,,,,,,,,,,,,,,,,,,
