,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity
/artists/3684861-chk-chk-chk,!!! (Chk Chk Chk),,,,
/artists/694091-kadebostan,!!!Kadebostan!!!,,,,
/artists/5929284-brothers-in-bamako,"""Brothers In Bamako""",,,,
/artists/8704378-floyd-division-the-austrian-pink-floyd-tribute-band,"""Floyd Division"" The Austrian Pink Floyd Tribute Band",,,,
/artists/7172094-jazzetcetera-stewy-von-wattenwyl-group-feat-lisette-spinnler,"""Jazz...etcetera"" Stewy von Wattenwyl Group,  feat. Lisette Spinnler",,,,
/artists/7433784-pyramids-jazz,"""The Pyramids"" ",,,,
/artists/8375378-agcrew,#AGCrew,,,,
/artists/44425-smoove,$MOOVE,,,,
/artists/7809989-and-francis-fruit,& Francis Fruit,,,,
/artists/8672184-and-friends,& Friends,,,,
/artists/7958443-and-the-calling-sirens,& The Calling Sirens,,,,
/artists/19529-etre,(Etre),,,,
/artists/131307-hed-pe,(Hed) P.E.,,,,
/artists/354666-bihtnik,(bih`tnik),,,,
/artists/1301647-meer,**@meer**,,,,
/artists/888062-food-for-ya-soul,*FOOD FOR YA SOUL*,,,,
/artists/8309718-special-guest-tba,+ Special Guest TBA,,,,
/artists/5563503-,+++,,,,
/artists/9525634-sylvano,- sylvano -,,,,
/artists/1367596-m,-M-,,,,
/artists/642733-nesseria,-NESSERIA -,,,,
/artists/738563-stylez,-Stylez-,,,,
/artists/589187-,...,,,,
/artists/1285966-well,....WËLL....,,,,
/artists/9850299-leaves-ger,.Leaves ,,,,
/artists/474915-hack,.hack,,,,
/artists/10159035-a-ch,/A\ ,,,,
/artists/5352303-05ric,05ric,,,,
/artists/8166653-10-for-14,10 for 14,,,,
/artists/292381-10000-maniacs,"10,000 Maniacs",,,,
/artists/8360073-10000-russos,"10,000 Russos",,,,
/artists/9541484-100-kilo-herz,100 Kilo Herz,,,,
/artists/6696839-1000-gram,1000 GRAM,,,,
/artists/357052-1000mods,1000mods,,,,
/artists/480184-100blumen,100blumen,,,,
/artists/9062169-102-boyz,102 BOYZ,,,,
/artists/324463-10cc,10cc,,,,
/artists/6723079-11-louder,11 Louder,,,,
/artists/7858804-117elements,117Elements,,,,
/artists/2398431-11a,11a,,,,
/artists/366820-120-days,120 Days,,,,
/artists/89736-1280-almas,1280 Almas,,,,
/artists/2070755-12th-planet,12th Planet,,,,
/artists/9552549-13-block,13 Block,,,,
/artists/8920989-13-crowes,13 Crowes,,,,
/artists/9506864-13-years-cicada,13 years cicada,,,,
/artists/5371483-130-bpm,130 Bpm,,,,
/artists/458371-1349,1349,,,,
/artists/6105749-13starz,13Starz,,,,
/artists/3020176-15-tubes-en-live,15 Tubes En Live,,,,
/artists/208742-16,16,,,,
/artists/2445921-16-bitch-pileup,16 Bitch Pile-up,,,,
/artists/407824-16-horsepower,16 Horsepower,,,,
/artists/306885-17-hippies,17 Hippies,,,,
/artists/4518913-17f,17f,,,,
/artists/3949041-18-strings,18 Strings,,,,
/artists/5392173-187-strassenbande,187 Strassenbande,,,,
/artists/5008498-19052012,19.05.2012,,,,
/artists/9312694-1921,1921,,,,
/artists/552063-1982,1982,,,,
/artists/81873-1989,1989,,,,
/artists/510732-1995,1995,,,,
/artists/8564529-1997ev,1997EV,,,,
/artists/9365974-1kub,1KUB,,,,
/artists/8005233-1er-partie-hyren,1er Partie Hyren,,,,
/artists/4467063-2-chainz,2 Chainz,,,,
/artists/4740558-2-special,2 Special,,,,
/artists/4343276-2-support,2 Support,,,,
/artists/3181586-2-tages,2 Tages,,,,
/artists/377506-2-unlimited,2 Unlimited,,,,
/artists/6338854-2takt,2-Takt,,,,
/artists/8631869-20-watt-tombstone,20 Watt Tombstone,,,,
/artists/8158983-20-years-gurd,20 Years Gurd,,,,
/artists/718633-2000-and-one,2000 and One,,,,
/artists/9765744-2001-ch,2001 ,,,,
/artists/2984006-202project,202.project,,,,
/artists/7617119-20dark7,20dark7,,,,
/artists/10094045-21-juin-le-duo,21 Juin Le Duo,,,,
/artists/159832-22,22,,,,
/artists/9804639-22-halo,22 Halo,,,,
/artists/309223-22pistepirkko,22-Pistepirkko,,,,
/artists/10119580-22deg-halo,22° Halo,,,,
/artists/4893554-23rd-grade-of-evil,23rd Grade of Evil,,,,
/artists/3503621-24-pesos,24 Pesos,,,,
/artists/549578-247-spyz,24-7 Spyz,,,,
/artists/9599579-247-diva-heaven,24/7 DIVA HEAVEN,,,,
/artists/9703194-24dias,24Dias,,,,
/artists/4567838-25-years-oldies,25 Years Oldies,,,,
/artists/1006331-2562,2562,,,,
/artists/3689796-257ers,257ers,,,,
/artists/3130666-25plus,25plus,,,,
/artists/8429543-2ca,2CA,,,,
/artists/4392693-2cellos,2CELLOS,,,,
/artists/8511828-2henning,2HENNING,,,,
/artists/8275573-2komplex,2Komplex,,,,
/artists/3453506-2duos,2duos,,,,
/artists/1997583-2econd-class-citizen,2econd class citizen,,,,
/artists/9076074-2manydjs-dj-set,2manydjs (DJ Set),,,,
/artists/105947-2raumwohnung,2raumwohnung,,,,
/artists/161176-3-cohens,3 Cohens,,,,
/artists/335962-3-doors-down,3 Doors Down,,,,
/artists/185566-3-inches-of-blood,3 Inches of Blood,,,,
/artists/7155254-3-years-fake-moustache-brothers,3 Years Fake Moustache Brothers,,,,
/artists/1966124-3-minutes-sur-mer,3 minutes sur mer,,,,
/artists/7617294-3-wahl,3. Wahl,,,,
/artists/4954643-30000-monkies,30.000 Monkies,,,,
/artists/7923113-300514,30.05.14),,,,
/artists/8400548-3070,30/70,,,,
/artists/4504353-30th,30th,,,,
/artists/8131358-31052014,31.05.2014,,,,
/artists/364686-31knots,31Knots,,,,
/artists/9525349-3280goons,3280goon$,,,,
/artists/440988-340ml,340ml,,,,
/artists/114914-36-crazyfists,36 Crazyfists,,,,
/artists/3871851-360deg,360°,,,,
/artists/9756709-3lp-clubband,3LP Club-Band,,,,
/artists/9334934-3ma-ballake-sissoko-driss-el-maloumi-rajery,"3MA : Ballaké Sissoko, Driss El Maloumi, Rajery",,,,
/artists/569328-3oh3,3OH!3,,,,
/artists/8173563-3teeth,3TEETH,,,,
/artists/10077178-3rd-choice,3rd Choice,,,,
/artists/3130706-3rd-edition,3rd Edition,,,,
/artists/8374373-3somesisters,3sOmEsistERs,,,,
/artists/5113263-3satz-bruggemann-catena-enggist,"3satz - Brüggemann, Catena, Enggist",,,,
/artists/505213-3some,3some,,,,
/artists/5116528-4-days,4 Days,,,,
/artists/7982813-4-final,4 Final,,,,
/artists/105806-4-promille,4 Promille,,,,
/artists/3276276-4-wheel-drive,4 Wheel Drive,,,,
/artists/10159023-40min-8,40min 8,,,,
/artists/615852-40th,40th,,,,
/artists/440653-44-leningrad,44 Leningrad,,,,
/artists/5201073-45-degre,45 Degré,,,,
/artists/7619969-45ampm,45AMPM,,,,
/artists/8401843-47soul,47Soul,,,,
/artists/9685714-47ter,47Ter,,,,
/artists/8785834-48h-allstars,48h Allstars,,,,
/artists/9514059-4fun-jazzband,4fun Jazzband,,,,
/artists/9353649-4fun-trio,4fun Trio,,,,
/artists/1114045-4th-dimension,4th dimension,,,,
/artists/443596-4th-time-around,4th time around,,,,
/artists/10151272-5-1-jahre-borderfree-association,5 (+1) Jahre Borderfree Association,,,,
/artists/5642214-5-seconds-of-summer,5 Seconds of Summer,,,,
/artists/8598769-5-stabbed-4-corpses,5 Stabbed 4 Corpses,,,,
/artists/4559813-5-in-love,5 in Love,,,,
/artists/407361-50-cent,50 Cent,,,,
/artists/10102776-50sfive,50’s-Five,,,,
/artists/7291379-52-hertz,52 Hertz,,,,
/artists/7382209-54-november,54. November,,,,
/artists/9117979-5k-hd,5K HD,,,,
/artists/1550807-5th-floor,5TH FLOOR,,,,
/artists/7311074-5er,5er,,,,
/artists/10096114-6-handful-of-blues,6 Handful of Blues,,,,
/artists/443105-69,6-9,,,,
/artists/10033474-60-miles-trio,60 miles trio,,,,
/artists/4098986-65-mines-street,65 Mines Street,,,,
/artists/558929-65daysofstatic,65daysofstatic,,,,
/artists/1964788-69-chambers,69 Chambers,,,,
/artists/270846-69db,69db,,,,
/artists/18828-7-dollar-taxi,7 Dollar Taxi,,,,
/artists/4391263-7-frunde,7 Fründe,,,,
/artists/8659164-7-htarget,7 H.Target,,,,
/artists/9394624-7-jaws,7 Jaws,,,,
/artists/10052934-7-vibes-journey,7 Vibes Journey,,,,
