,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity
/artists/5929284-brothers-in-bamako,"""Brothers In Bamako""",,,,
/artists/8704378-floyd-division-the-austrian-pink-floyd-tribute-band,"""Floyd Division"" The Austrian Pink Floyd Tribute Band",,,,
/artists/7172094-jazzetcetera-stewy-von-wattenwyl-group-feat-lisette-spinnler,"""Jazz...etcetera"" Stewy von Wattenwyl Group,  feat. Lisette Spinnler",,,,
/artists/7809989-and-francis-fruit,& Francis Fruit,,,,
/artists/888062-food-for-ya-soul,*FOOD FOR YA SOUL*,,,,
/artists/8309718-special-guest-tba,+ Special Guest TBA,,,,
/artists/5563503-,+++,,,,
/artists/8166653-10-for-14,10 for 14,,,,
/artists/9506864-13-years-cicada,13 years cicada,,,,
/artists/6105749-13starz,13Starz,,,,
/artists/3020176-15-tubes-en-live,15 Tubes En Live,,,,
/artists/2445921-16-bitch-pileup,16 Bitch Pile-up,,,,
/artists/5008498-19052012,19.05.2012,,,,
/artists/8005233-1er-partie-hyren,1er Partie Hyren,,,,
/artists/8158983-20-years-gurd,20 Years Gurd,,,,
/artists/7617119-20dark7,20dark7,,,,
/artists/4567838-25-years-oldies,25 Years Oldies,,,,
/artists/9076074-2manydjs-dj-set,2manydjs (DJ Set),,,,
/artists/7155254-3-years-fake-moustache-brothers,3 Years Fake Moustache Brothers,,,,
/artists/7923113-300514,30.05.14),,,,
/artists/8131358-31052014,31.05.2014,,,,
/artists/9756709-3lp-clubband,3LP Club-Band,,,,
/artists/9334934-3ma-ballake-sissoko-driss-el-maloumi-rajery,"3MA : Ballaké Sissoko, Driss El Maloumi, Rajery",,,,
/artists/3130706-3rd-edition,3rd Edition,,,,
/artists/5113263-3satz-bruggemann-catena-enggist,"3satz - Brüggemann, Catena, Enggist",,,,
/artists/10159023-40min-8,40min 8,,,,
/artists/440653-44-leningrad,44 Leningrad,,,,
/artists/7619969-45ampm,45AMPM,,,,
/artists/8785834-48h-allstars,48h Allstars,,,,
