,track_name,spotify_name,spotify_id,artist_id,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2UjEyfnKzaY7qpBEeESJjv,Even When The Water's Cold,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,48,0.709,0.831,2,-6.847,0,0.0391,0.108,0.00128,0.159,0.866,104.971,audio_features,2UjEyfnKzaY7qpBEeESJjv,spotify:track:2UjEyfnKzaY7qpBEeESJjv,https://api.spotify.com/v1/tracks/2UjEyfnKzaY7qpBEeESJjv,https://api.spotify.com/v1/audio-analysis/2UjEyfnKzaY7qpBEeESJjv,227067,4
7y8aVfDkqt6qirGNivvs0M,One Girl / One Boy,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,45,0.702,0.851,10,-5.747,0,0.0407,0.00255,5.94e-05,0.322,0.87,117.004,audio_features,7y8aVfDkqt6qirGNivvs0M,spotify:track:7y8aVfDkqt6qirGNivvs0M,https://api.spotify.com/v1/tracks/7y8aVfDkqt6qirGNivvs0M,https://api.spotify.com/v1/audio-analysis/7y8aVfDkqt6qirGNivvs0M,243627,4
2PAn8J9dbmSnR4fLjpgehC,Dancing Is The Best Revenge,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,42,0.857,0.762,1,-6.327,1,0.0535,0.00339,0.31,0.0643,0.804,120.01,audio_features,2PAn8J9dbmSnR4fLjpgehC,spotify:track:2PAn8J9dbmSnR4fLjpgehC,https://api.spotify.com/v1/tracks/2PAn8J9dbmSnR4fLjpgehC,https://api.spotify.com/v1/audio-analysis/2PAn8J9dbmSnR4fLjpgehC,281558,4
7pyARdcnQELUIS2kcKOlhz,Fast Car,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,41,0.731,0.907,1,-6.486,1,0.0871,0.00465,0.0112,0.147,0.759,124.998,audio_features,7pyARdcnQELUIS2kcKOlhz,spotify:track:7pyARdcnQELUIS2kcKOlhz,https://api.spotify.com/v1/tracks/7pyARdcnQELUIS2kcKOlhz,https://api.spotify.com/v1/audio-analysis/7pyARdcnQELUIS2kcKOlhz,243839,4
0BjOgTLP0kLC88XqMoyrv8,Slyd,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,39,0.858,0.717,0,-8.734,1,0.0995,0.0626,0.243,0.216,0.582,120.004,audio_features,0BjOgTLP0kLC88XqMoyrv8,spotify:track:0BjOgTLP0kLC88XqMoyrv8,https://api.spotify.com/v1/tracks/0BjOgTLP0kLC88XqMoyrv8,https://api.spotify.com/v1/audio-analysis/0BjOgTLP0kLC88XqMoyrv8,254920,4
2hV9iER3lF70vUB05vP6G1,Man on the Moon,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,36,0.752,0.855,4,-5.194,0,0.0514,0.000249,0.0149,0.131,0.636,114.003,audio_features,2hV9iER3lF70vUB05vP6G1,spotify:track:2hV9iER3lF70vUB05vP6G1,https://api.spotify.com/v1/tracks/2hV9iER3lF70vUB05vP6G1,https://api.spotify.com/v1/audio-analysis/2hV9iER3lF70vUB05vP6G1,221133,4
4knd2gQyr2DTRLfJDHcyMS,So We Can Fuck,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,35,0.809,0.466,9,-9.491,0,0.0773,7.2e-05,0.849,0.116,0.72,120.002,audio_features,4knd2gQyr2DTRLfJDHcyMS,spotify:track:4knd2gQyr2DTRLfJDHcyMS,https://api.spotify.com/v1/tracks/4knd2gQyr2DTRLfJDHcyMS,https://api.spotify.com/v1/audio-analysis/4knd2gQyr2DTRLfJDHcyMS,296500,4
19plwOsYLdF68361d17aAb,Myth Takes,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,34,0.754,0.77,11,-7.83,0,0.0272,0.133,0.747,0.293,0.904,97.109,audio_features,19plwOsYLdF68361d17aAb,spotify:track:19plwOsYLdF68361d17aAb,https://api.spotify.com/v1/tracks/19plwOsYLdF68361d17aAb,https://api.spotify.com/v1/audio-analysis/19plwOsYLdF68361d17aAb,143987,4
4ccUbonjlrtOERG28Alqrs,Lucy Mongoosey,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,33,0.872,0.584,2,-7.412,1,0.0788,0.0194,0.00085,0.113,0.212,109.987,audio_features,4ccUbonjlrtOERG28Alqrs,spotify:track:4ccUbonjlrtOERG28Alqrs,https://api.spotify.com/v1/tracks/4ccUbonjlrtOERG28Alqrs,https://api.spotify.com/v1/audio-analysis/4ccUbonjlrtOERG28Alqrs,201507,4
2pPhbWZBm3Q6b35jV691qG,All U Writers,!!!,1mmehjf7eHA10uHMisZGJg,/artists/3684861-chk-chk-chk,33,0.874,0.814,11,-6.873,0,0.045,0.00412,0.464,0.069,0.741,121.976,audio_features,2pPhbWZBm3Q6b35jV691qG,spotify:track:2pPhbWZBm3Q6b35jV691qG,https://api.spotify.com/v1/tracks/2pPhbWZBm3Q6b35jV691qG,https://api.spotify.com/v1/audio-analysis/2pPhbWZBm3Q6b35jV691qG,322623,4
