,style_name,genre_url,genre_name
/style/6485-1990s-r-b,1990s R&B,,
/style/6483-2000s-r-b,2000s R&B,,
/style/6484-2010s-r-b,2010s R&B,,
/style/aor,AOR,,
/style/5813-asmr,ASMR,,
/style/aboriginal,Aboriginal,/genre/folk-world-country,"Folk, World, & Country"
/style/abstract,Abstract,/genre/electronic,Electronic
/style/acid,Acid,/genre/electronic,Electronic
/style/acid-house,Acid House,/genre/electronic,Electronic
/style/acid-jazz,Acid Jazz,/genre/electronic,Electronic
/style/acid-rock,Acid Rock,/genre/rock,Rock
/style/6090-acid-techno,Acid Techno,,
/style/6091-acid-trance,Acid Trance,,
/style/acoustic,Acoustic,/genre/rock,Rock
/style/african,African,/genre/folk-world-country,"Folk, World, & Country"
/style/afro-cuban,Afro-Cuban,/genre/latin,Latin
/style/afro-cuban-jazz,Afro-Cuban Jazz,/genre/jazz,Jazz
/style/6099-afro-house,Afro-House,,
/style/afrobeat,Afrobeat,/genre/funk-soul,Funk / Soul
/style/alternative-metal,Alternative Metal,/genre/rock,Rock
/style/alternative-rock,Alternative Rock,/genre/rock,Rock
/style/ambient,Ambient,/genre/electronic,Electronic
/style/6100-ambient-house,Ambient House,,
/style/6092-ambient-techno,Ambient Techno,,
/style/andalusian-classical,Andalusian Classical,/genre/folk-world-country,"Folk, World, & Country"
/style/arena-rock,Arena Rock,/genre/rock,Rock
/style/art-rock,Art Rock,/genre/rock,Rock
/style/audiobook,Audiobook,/genre/non-music,Non-Music
/style/avant-garde-jazz,Avant-garde Jazz,/genre/jazz,Jazz
/style/avantgarde,Avantgarde,/genre/rock,Rock
/style/axe,Axé,/genre/latin,Latin
/style/2029-azonto,Azonto,,
/style/bachata,Bachata,/genre/latin,Latin
/style/baiao,Baião,,
/style/balearic-house,Balearic House,/genre/electronic,Electronic
/style/ballad,Ballad,/genre/pop,Pop
/style/ballroom,Ballroom,/genre/electronic,Electronic
/style/baltimore-club,Baltimore Club,/genre/electronic,Electronic
/style/bangladeshi-classical,Bangladeshi Classical,/genre/folk-world-country,"Folk, World, & Country"
/style/barbershop,Barbershop,,
/style/baroque,Baroque,/genre/classical,Classical
/style/basque-music,Basque Music,,
/style/6101-bass-house,Bass House,,
/style/bass-music,Bass Music,/genre/electronic,Electronic
/style/bassline,Bassline,/genre/electronic,Electronic
/style/batucada,Batucada,/genre/latin,Latin
/style/bayou-funk,Bayou Funk,/genre/funk-soul,Funk / Soul
/style/beat,Beat,/genre/rock,Rock
/style/beatbox,Beatbox,/genre/hip-hop,Hip Hop
/style/beatdown,Beatdown,/genre/electronic,Electronic
/style/beguine,Beguine,/genre/latin,Latin
/style/berlin-school,Berlin-School,/genre/electronic,Electronic
/style/bhangra,Bhangra,/genre/folk-world-country,"Folk, World, & Country"
/style/big-band,Big Band,/genre/jazz,Jazz
/style/big-beat,Big Beat,/genre/electronic,Electronic
/style/6102-big-room,Big Room,,
/style/black-metal,Black Metal,/genre/rock,Rock
/style/bleep,Bleep,,
/style/6093-bleep-techno,Bleep Techno,,
/style/blue-eyed-soul,Blue-Eyed Soul,/genre/funk-soul,Funk / Soul
/style/bluegrass,Bluegrass,/genre/folk-world-country,"Folk, World, & Country"
/style/blues-rock,Blues Rock,/genre/rock,Rock
/style/bolero,Bolero,/genre/delete-7,delete_7
/style/bollywood,Bollywood,/genre/pop,Pop
/style/bomba,Bomba,,
/style/bongo-flava,Bongo Flava,/genre/hip-hop,Hip Hop
/style/boogaloo,Boogaloo,/genre/latin,Latin
/style/boogie,Boogie,/genre/funk-soul,Funk / Soul
/style/boogie-woogie,Boogie Woogie,/genre/blues,Blues
/style/boom-bap,Boom Bap,/genre/hip-hop,Hip Hop
/style/bop,Bop,/genre/jazz,Jazz
/style/bossa-nova,Bossa Nova,/genre/jazz,Jazz
/style/bossanova,Bossanova,,
/style/bounce,Bounce,/genre/hip-hop,Hip Hop
/style/brass-band,Brass Band,/genre/brass-military,Brass & Military
/style/6123-brazilian-bass,Brazilian Bass,,
/style/break-in,Break-In,,
/style/breakbeat,Breakbeat,/genre/electronic,Electronic
/style/breakcore,Breakcore,/genre/electronic,Electronic
/style/breaks,Breaks,/genre/electronic,Electronic
/style/britcore,Britcore,/genre/hip-hop,Hip Hop
/style/britpop,Britpop,/genre/rock,Rock
/style/broken-beat,Broken Beat,/genre/electronic,Electronic
/style/bubblegum,Bubblegum,/genre/pop,Pop
/style/2038-bubbling,Bubbling,,
/style/cajun,Cajun,/genre/folk-world-country,"Folk, World, & Country"
/style/calypso,Calypso,/genre/reggae,Reggae
/style/cambodian-classical,Cambodian Classical,/genre/folk-world-country,"Folk, World, & Country"
/style/candombe,Candombe,,
/style/canzone-napoletana,Canzone Napoletana,/genre/folk-world-country,"Folk, World, & Country"
/style/cape-jazz,Cape Jazz,/genre/jazz,Jazz
/style/carimbo,Carimbó,,
/style/carnatic,Carnatic,/genre/folk-world-country,"Folk, World, & Country"
/style/catalan-music,Catalan Music,/genre/folk-world-country,"Folk, World, & Country"
/style/celtic,Celtic,/genre/folk-world-country,"Folk, World, & Country"
/style/cha-cha,Cha-Cha,/genre/latin,Latin
/style/chacarera,Chacarera,,
/style/chamam-u00e9,Chamamé,,
/style/champeta,Champeta,,
/style/chanson,Chanson,/genre/pop,Pop
/style/charanga,Charanga,/genre/latin,Latin
/style/chicago-blues,Chicago Blues,/genre/blues,Blues
/style/6103-chicago-hard-house,Chicago Hard House,,
/style/3378-chicago-honky,Chicago Honky,,
/style/6104-chicago-house,Chicago House,,
/style/3377-chicago-push,Chicago Push,,
/style/chillwave,Chillwave,,
/style/chinese-classical,Chinese Classical,/genre/folk-world-country,"Folk, World, & Country"
/style/chiptune,Chiptune,/genre/electronic,Electronic
/style/choral,Choral,,
/style/choro,Choro,,
/style/christian,Christian,/genre/rock,Rock
/style/classic-rock,Classic Rock,/genre/rock,Rock
/style/classical,Classical,/genre/classical,Classical
/style/cloud-rap,Cloud Rap,,
/style/1978-coldwave,Coldwave,,
/style/comedy,Comedy,/genre/non-music,Non-Music
/style/compas,Compas,/genre/latin,Latin
/style/6114-complextro,Complextro,,
/style/conjunto,Conjunto,/genre/latin,Latin
/style/conscious,Conscious,/genre/hip-hop,Hip Hop
/style/contemporary,Contemporary,/genre/classical,Classical
