,everynoise_id,everynoise_name
0,21stcenturyclassical,21st century classical
1,432hz,432hz
2,48g,48g
3,5thwaveemo,5th wave emo
4,8bit,8-bit
5,8d,8d
6,a3,a3
7,aarhusindie,aarhus indie
8,aberdeenindie,aberdeen indie
9,abstract,abstract
10,abstractbeats,abstract beats
11,abstracthiphop,abstract hip hop
12,abstractidm,abstract idm
13,abstractro,abstractro
14,acappella,a cappella
15,accordeon,accordeon
16,accordion,accordion
17,acidcore,acidcore
18,acidhouse,acid house
19,acididm,acid idm
20,acidjazz,acid jazz
21,acidrock,acid rock
22,acidtechno,acid techno
23,acidtrance,acid trance
24,acousmatic,acousmatic
25,acousticblues,acoustic blues
26,acousticchill,acoustic chill
27,acousticcover,acoustic cover
28,acousticguitarcover,acoustic guitar cover
29,acousticopm,acoustic opm
30,acousticpop,acoustic pop
31,acousticpunk,acoustic punk
32,acousticrock,acoustic rock
33,actionrock,action rock
34,actors,actors
35,adelaideindie,adelaide indie
36,adoracao,adoracao
37,adoracion,adoracion
38,adoracionpentecostal,adoracion pentecostal
39,adultstandards,adult standards
40,adventista,adventista
41,aestheticrap,aesthetic rap
42,afghanpop,afghan pop
43,afghanrap,afghan rap
44,afghantraditional,afghan traditional
45,africanamericanclassical,african-american classical
46,africanelectronic,african electronic
47,africanexperimental,african experimental
48,africangospel,african gospel
49,africanmetal,african metal
50,africanpercussion,african percussion
51,africanreggae,african reggae
52,africanrock,african rock
53,afrikaans,afrikaans
54,afrikaansfolk,afrikaans folk
55,afrikaansgospel,afrikaans gospel
56,afrobeat,afrobeat
57,afrobeatbrasileiro,afrobeat brasileiro
58,afrobeatfusion,afrobeat fusion
59,afrocubanpercussion,afro-cuban percussion
60,afrocubantraditional,afro-cuban traditional
61,afrodancehall,afro dancehall
62,afrofunk,afro-funk
63,afrofuturism,afrofuturism
64,afrofuturismobrasileiro,afrofuturismo brasileiro
65,afrohouse,afro house
66,afropop,afropop
67,afropsych,afro psych
68,afrorb,afro r&b
69,afrosoul,afro soul
70,afroswing,afroswing
71,aggrochileno,aggro chileno
72,aggrotech,aggrotech
73,aghanililatfal,aghani lil-atfal
74,ai,ai
75,aikatsu,aikatsu
76,ainufolk,ainu folk
77,alabamaindie,alabama indie
78,alabamametal,alabama metal
79,alabamarap,alabama rap
80,alandskmusik,alandsk musik
81,alaskaindie,alaska indie
82,albanianfolk,albanian folk
83,albanianhiphop,albanian hip hop
84,albanianisopolyphony,albanian iso polyphony
85,albanianpop,albanian pop
86,albanynyindie,albany ny indie
87,albertacountry,alberta country
88,albertahiphop,alberta hip hop
89,albumrock,album rock
90,albuquerqueindie,albuquerque indie
91,algerianfolk,algerian folk
92,alpenpanorama,alpenpanorama
93,alphorn,alphorn
94,alpineyodeling,alpine yodeling
95,alte,alte
96,alternativeamericana,alternative americana
97,alternativeccm,alternative ccm
98,alternativecountry,alternative country
99,alternativedance,alternative dance
100,alternativeemo,alternative emo
101,alternativehardcore,alternative hardcore
102,alternativehiphop,alternative hip hop
103,alternativemetal,alternative metal
104,alternativemetalcore,alternative metalcore
105,alternativepop,alternative pop
106,alternativepoprock,alternative pop rock
107,alternativerb,alternative r&b
108,alternativerock,alternative rock
109,alternativerootsrock,alternative roots rock
110,altidol,alt-idol
111,altz,alt z
112,amapiano,amapiano
113,ambeat,ambeat
114,ambient,ambient
115,ambientblackmetal,ambient black metal
116,ambientdubtechno,ambient dub techno
117,ambientfolk,ambient folk
118,ambientfusion,ambient fusion
119,ambienthouse,ambient house
120,ambientidm,ambient idm
121,ambientindustrial,ambient industrial
122,ambientpop,ambient pop
123,ambientpostrock,ambient post-rock
124,ambientpsychill,ambient psychill
125,ambienttechno,ambient techno
126,ambienttrance,ambient trance
127,ambientworship,ambient worship
128,american21stcenturyclassical,american 21st century classical
129,americanchoir,american choir
130,americanclassicalpiano,american classical piano
131,americancontemporaryclassical,american contemporary classical
132,americanearlymusic,american early music
133,americanfolkrevival,american folk revival
134,americangrindcore,american grindcore
135,americanmelodeath,american melodeath
136,americanmetalcore,american metalcore
137,americanmodernclassical,american modern classical
138,americanoi,american oi
139,americanorchestra,american orchestra
140,americanpostrock,american post-rock
141,americanprimitive,american primitive
142,americanromanticism,american romanticism
143,americanshoegaze,american shoegaze
144,amharicpop,amharic pop
145,anadolurock,anadolu rock
146,anarchopunk,anarcho-punk
147,ancientmediterranean,ancient mediterranean
148,andalusianclassical,andalusian classical
149,andeanflute,andean flute
150,anglicanliturgy,anglican liturgy
151,animalsinging,animal singing
152,anime,anime
153,animecv,anime cv
154,animegame,anime game
155,animelatino,anime latino
156,animelofi,anime lo-fi
157,animepiano,anime piano
158,animerap,anime rap
159,animerock,anime rock
160,animescore,anime score
161,annarborindie,ann arbor indie
162,anthem,anthem
163,anthememo,anthem emo
164,anthemworship,anthem worship
165,antideutsche,antideutsche
166,antifolk,anti-folk
167,antilliaansefolklore,antilliaanse folklore
168,antilliaanserap,antilliaanse rap
169,antiviralpop,antiviral pop
170,apostolicworship,apostolic worship
171,appalachianfolk,appalachian folk
172,appenzellerfolk,appenzeller folk
173,arabalternative,arab alternative
174,arabelectronic,arab electronic
175,arabesk,arabesk
176,arabexperimental,arab experimental
177,arabfolk,arab folk
178,arabgroove,arab groove
179,arabichiphop,arabic hip hop
180,arabicjazz,arabic jazz
181,arabmetal,arab metal
182,arabpop,arab pop
183,arabtrap,arab trap
184,argentinealternativerock,argentine alternative rock
185,argentineambient,argentine ambient
186,argentinehardcore,argentine hardcore
187,argentineheavymetal,argentine heavy metal
188,argentinehiphop,argentine hip hop
189,argentineindie,argentine indie
190,argentineindierock,argentine indie rock
191,argentinejazz,argentine jazz
192,argentinemetal,argentine metal
193,argentinepunk,argentine punk
194,argentinereggae,argentine reggae
195,argentinerock,argentine rock
196,argentinetelepop,argentine telepop
197,arizonapunk,arizona punk
198,arkansascountry,arkansas country
199,arkansashiphop,arkansas hip hop
200,arkansasindie,arkansas indie
201,arkansasmetal,arkansas metal
202,armenianfolk,armenian folk
203,armenianhiphop,armenian hip hop
204,armenianpop,armenian pop
205,arpagrande,arpa grande
206,arpaparaguaya,arpa paraguaya
207,arssubtilior,ars subtilior
208,artpop,art pop
209,artpunk,art punk
210,artrock,art rock
211,artsong,art song
212,asakaa,asakaa
213,asburyparkindie,asbury park indie
214,ashevilleindie,asheville indie
215,asianamericanhiphop,asian american hip hop
216,asmr,asmr
217,assamesepop,assamese pop
218,assyrianpop,assyrian pop
219,athensindie,athens indie
220,atlantaindie,atlanta indie
221,atlantametal,atlanta metal
222,atlantapunk,atlanta punk
223,atlanticcanadahiphop,atlantic canada hip hop
224,atlhiphop,atl hip hop
225,atltrap,atl trap
226,atmosphere,atmosphere
227,atmosphericblackmetal,atmospheric black metal
228,atmosphericdnb,atmospheric dnb
229,atmosphericdoom,atmospheric doom
230,atmosphericpostmetal,atmospheric post-metal
231,atmosphericpostrock,atmospheric post-rock
232,atmosphericsludge,atmospheric sludge
233,aucklandindie,auckland indie
234,audiophilevocal,audiophile vocal
235,aussiedrill,aussie drill
236,aussieemo,aussie emo
237,aussietronica,aussietronica
238,austinamericana,austin americana
239,austindie,austindie
240,austinhiphop,austin hip hop
241,austinrock,austin rock
242,austinsingersongwriter,austin singer-songwriter
243,australianalternativepop,australian alternative pop
244,australianalternativerock,australian alternative rock
245,australianambient,australian ambient
246,australianamericana,australian americana
247,australianblackmetal,australian black metal
248,australianblues,australian blues
249,australianchildrensmusic,australian children's music
250,australianchoir,australian choir
251,australianclassical,australian classical
252,australianclassicalpiano,australian classical piano
253,australiancomedy,australian comedy
254,australiancountry,australian country
255,australiandance,australian dance
256,australiandeathmetal,australian death metal
257,australianelectropop,australian electropop
258,australianexperimental,australian experimental
259,australiangaragepunk,australian garage punk
260,australianhardcore,australian hardcore
261,australianhiphop,australian hip hop
262,australianhouse,australian house
263,australianindie,australian indie
264,australianindiefolk,australian indie folk
265,australianindierock,australian indie rock
266,australianindigenous,australian indigenous
267,australianjazz,australian jazz
268,australianmetal,australian metal
269,australianmetalcore,australian metalcore
270,australianpop,australian pop
271,australianposthardcore,australian post-hardcore
272,australianpostpunk,australian post-punk
273,australianpostrock,australian post-rock
274,australianpsych,australian psych
275,australianrb,australian r&b
276,australianreggaefusion,australian reggae fusion
277,australianrock,australian rock
278,australianrockabilly,australian rockabilly
279,australianshoegaze,australian shoegaze
280,australiansingersongwriter,australian singer-songwriter
281,australianska,australian ska
282,australiantalentshow,australian talent show
283,australiantechno,australian techno
284,australianthrashmetal,australian thrash metal
285,australiantrap,australian trap
286,australianundergroundhiphop,australian underground hip hop
287,austrianblackmetal,austrian black metal
288,austrianchoir,austrian choir
289,austrianclassicalpiano,austrian classical piano
290,austriancontemporaryclassical,austrian contemporary classical
291,austriandnb,austrian dnb
292,austrianhiphop,austrian hip hop
293,austrianindie,austrian indie
294,austrianjazz,austrian jazz
295,austrianmetal,austrian metal
296,austrianorchestra,austrian orchestra
297,austrianpop,austrian pop
298,austrianpunk,austrian punk
299,austrianstonerrock,austrian stoner rock
300,austriantechno,austrian techno
301,austrogermanmodernism,austro-german modernism
302,austropop,austropop
303,auteurcompositeurinterpretequebecois,auteur-compositeur-interprete quebecois
304,autoharp,autoharp
305,autonomousblackmetal,autonomous black metal
306,avantgarde,avant-garde
307,avantgardeblackmetal,avant-garde black metal
308,avantgardejazz,avant-garde jazz
309,avantgardemetal,avant-garde metal
310,avantrock,avant-rock
311,axe,axe
312,azeripop,azeri pop
313,azerirap,azeri rap
314,azeritraditional,azeri traditional
315,azonto,azonto
316,azontobeats,azontobeats
317,bachata,bachata
318,bachatadominicana,bachata dominicana
319,backgroundjazz,background jazz
320,backgroundmusic,background music
321,backgroundpiano,background piano
322,backingtrack,backing track
323,baglama,baglama
324,bagpipe,bagpipe
325,bagpipemarchingband,bagpipe marching band
326,bahai,bahai
327,bahamianfolk,bahamian folk
328,bahamianpop,bahamian pop
329,baiao,baiao
330,baithakgana,baithak gana
331,bajaindie,baja indie
332,bajki,bajki
333,bakersfieldsound,bakersfield sound
334,balafon,balafon
335,balalaika,balalaika
336,balearic,balearic
337,balfolk,balfolk
338,balinesetraditional,balinese traditional
339,balkanbeats,balkan beats
340,balkanbrass,balkan brass
341,balkanclassicalpiano,balkan classical piano
342,balkandrill,balkan drill
343,balkanfolkmetal,balkan folk metal
344,balkanhiphop,balkan hip hop
345,balkantrap,balkan trap
346,balletclass,ballet class
347,ballroom,ballroom
348,balmusette,bal-musette
349,balticblackmetal,baltic black metal
350,balticchoir,baltic choir
351,balticclassical,baltic classical
352,balticclassicalpiano,baltic classical piano
353,balticfolk,baltic folk
354,balticpostpunk,baltic post-punk
355,baltimorehiphop,baltimore hip hop
356,baltimoreindie,baltimore indie
357,baluchifolk,baluchi folk
358,banda,banda
359,bandacaliente,banda caliente
360,bandacarnavalera,banda carnavalera
361,bandajalisciense,banda jalisciense
362,bandamilitar,banda militar
363,bandinhas,bandinhas
364,bandolim,bandolim
365,bandoneon,bandoneon
366,bandorgan,band organ
367,bangaloreindie,bangalore indie
368,bangladeshihiphop,bangladeshi hip hop
369,bangladeshiindie,bangladeshi indie
370,bangladeshirock,bangladeshi rock
371,banglapop,bangla pop
372,banjo,banjo
373,bansuri,bansuri
374,baps,baps
375,baptistgospel,baptist gospel
376,barbadianpop,barbadian pop
377,barbershop,barbershop
378,bard,bard
379,bardcore,bardcore
380,barnalog,barnalog
381,barnasogur,barnasogur
382,barnemusikk,barnemusikk
383,barnmusik,barnmusik
384,barnsagor,barnsagor
385,barockinterpreten,barockinterpreten
386,baroque,baroque
387,baroquebrass,baroque brass
388,baroquecello,baroque cello
389,baroqueensemble,baroque ensemble
390,baroquepop,baroque pop
391,baroquesinging,baroque singing
392,baroqueviolin,baroque violin
393,baroquewoodwind,baroque woodwind
394,barrelhousepiano,barrelhouse piano
395,baselindie,basel indie
396,basesdefreestyle,bases de freestyle
397,basquefolk,basque folk
398,basshall,basshall
399,basshouse,bass house
400,bassline,bassline
401,bassmusic,bass music
402,basstrap,bass trap
403,basstrip,bass trip
404,batak,batak
405,bathindie,bath indie
406,batida,batida
407,batidaoromantico,batidao romantico
408,batonrougeindie,baton rouge indie
409,batonrougerap,baton rouge rap
410,battlerap,battle rap
411,bayareahiphop,bay area hip hop
412,bayareaindie,bay area indie
413,bayerischerrap,bayerischer rap
414,bboy,bboy
415,bcundergroundhiphop,bc underground hip hop
416,beachhouse,beach house
417,beachmusic,beach music
418,beatboxing,beatboxing
419,beatdown,beatdown
420,beatitaliano,beat italiano
421,beatlesque,beatlesque
422,beatpoetry,beat poetry
423,beats,beats
424,bebop,bebop
425,bedroompop,bedroom pop
426,bedroomsoul,bedroom soul
427,belarusianelectronic,belarusian electronic
428,belarusianhiphop,belarusian hip hop
429,belarusianindie,belarusian indie
430,belarusianmetal,belarusian metal
431,belarusianpop,belarusian pop
432,belarusianpunk,belarusian punk
433,belarusianrock,belarusian rock
