,genre,top_genre
0,21st century classical,art music
1,5th wave emo,world music
2,5th wave emo,electronic music
3,5th wave emo,hip hop music
4,5th wave emo,experimental music
5,5th wave emo,rock music
6,a cappella,vocal music
7,aarhus indie,rock music
8,aberdeen indie,rock music
9,abstract,art music
10,abstract beats,art music
11,abstract beats,electronic music
12,abstract hip hop,world music
13,abstract hip hop,hip hop music
14,abstract idm,art music
15,abstract idm,electronic music
16,abstractro,experimental music
17,abstractro,electronic music
18,accordeon,acoustic music
19,accordion,acoustic music
20,acid house,dance music
21,acid house,electronic music
22,acid idm,electronic music
23,acid jazz,rhythm and blues
24,acid jazz,funk
25,acid rock,psychedelic music
26,acid rock,rock music
27,acid techno,dance music
28,acid techno,electronic music
29,acid trance,dance music
30,acid trance,electronic music
31,acousmatic,experimental music
32,acousmatic,art music
33,acousmatic,electronic music
34,acoustic blues,blues
35,acoustic cover,acoustic music
36,acoustic pop,pop music
37,acoustic pop,acoustic music
38,acoustic punk,acoustic music
39,acoustic punk,rock music
40,acoustic rock,rock music
41,action rock,rock music
42,adoracao,world music
43,adoracao,rock music
44,adoracao,functional music
45,adult standards,pop music
46,aesthetic rap,world music
47,aesthetic rap,hip hop music
48,afghan rap,world music
49,afghan rap,hip hop music
50,african electronic,world music
51,african electronic,electronic music
52,african experimental,world music
53,african experimental,experimental music
54,african metal,world music
55,african metal,rock music
56,african percussion,world music
57,african percussion,instrumental music
58,african reggae,music of jamaica
59,african rock,world music
60,african rock,rock music
61,african-american classical,world music
62,african-american classical,art music
63,afrikaans,world music
64,afro dancehall,world music
65,afro dancehall,music of jamaica
66,afro house,dance music
67,afro house,electronic music
68,afro psych,world music
69,afro r&b,world music
70,afro r&b,rhythm and blues
71,afro soul,soul music
72,afro soul,rhythm and blues
73,afro-cuban percussion,world music
74,afro-cuban percussion,instrumental music
75,afro-funk,world music
76,afro-funk,rhythm and blues
77,afro-funk,funk
78,afrobeat,world music
79,afrobeat,funk
80,afrobeat,rhythm and blues
81,afrobeat,folk music
82,afrobeat brasileiro,world music
83,afrobeat brasileiro,funk
84,afrobeat brasileiro,rhythm and blues
85,afrobeat brasileiro,folk music
86,afrobeat fusion,jazz
87,afrobeat fusion,world music
88,afrobeat fusion,funk
89,afrobeat fusion,rhythm and blues
90,afrobeat fusion,folk music
91,afrofuturism,world music
92,afrofuturism,hip hop music
93,afrofuturismo brasileiro,world music
94,afrofuturismo brasileiro,hip hop music
95,afropop,world music
96,afroswing,world music
97,afroswing,hip hop music
98,aggrotech,dance music
99,aggrotech,experimental music
100,aggrotech,electronic music
101,ai,pop music
102,ai,electronic music
103,alabama indie,independent music
104,alabama indie,rock music
105,alabama metal,rock music
106,alabama rap,world music
107,alabama rap,hip hop music
108,alaska indie,world music
109,alaska indie,country music
110,albanian folk,world music
111,albanian folk,folk music
112,albanian hip hop,world music
113,albanian hip hop,hip hop music
114,albanian pop,pop music
115,albany ny indie,rock music
116,alberta country,world music
117,alberta country,country music
118,alberta hip hop,world music
119,alberta hip hop,hip hop music
120,album rock,rock music
121,albuquerque indie,rock music
122,algerian folk,world music
123,algerian folk,folk music
124,alphorn,instrumental music
125,alpine yodeling,vocal music
126,alt z,pop music
127,alternative americana,alternative
128,alternative americana,world music
129,alternative americana,country music
130,alternative country,world music
131,alternative country,country music
132,alternative dance,alternative
133,alternative dance,dance music
134,alternative dance,rock music
135,alternative emo,alternative
136,alternative emo,experimental music
137,alternative emo,rock music
138,alternative hardcore,dance music
139,alternative hardcore,electronic music
140,alternative hardcore,alternative
141,alternative hardcore,rock music
142,alternative hip hop,world music
143,alternative hip hop,hip hop music
144,alternative metal,alternative
145,alternative metal,rock music
146,alternative metalcore,alternative
147,alternative metalcore,rock music
148,alternative pop,pop music
149,alternative pop rock,alternative
150,alternative pop rock,pop music
151,alternative pop rock,rock music
152,alternative r&b,rhythm and blues
153,alternative rock,alternative
154,alternative rock,rock music
155,alternative roots rock,alternative
156,alternative roots rock,rock music
157,ambeat,rhythm and blues
158,ambient,electronic music
159,ambient,new age music
160,ambient black metal,new age music
161,ambient black metal,electronic music
162,ambient black metal,experimental music
163,ambient black metal,rock music
164,ambient folk,world music
165,ambient folk,new age music
166,ambient folk,electronic music
167,ambient folk,folk music
168,ambient house,electronic music
169,ambient house,dance music
170,ambient house,new age music
171,ambient idm,electronic music
172,ambient idm,new age music
173,ambient industrial,electronic music
174,ambient industrial,experimental music
175,ambient industrial,new age music
176,ambient pop,alternative
177,ambient pop,pop music
178,ambient pop,rock music
179,ambient post-rock,new age music
180,ambient post-rock,electronic music
181,ambient post-rock,experimental music
182,ambient post-rock,rock music
183,ambient psychill,electronic music
184,ambient psychill,new age music
185,ambient techno,electronic music
186,ambient techno,dance music
187,ambient techno,new age music
188,ambient trance,electronic music
189,ambient trance,dance music
190,ambient trance,new age music
191,american 21st century classical,art music
192,american classical piano,art music
193,american contemporary classical,pop music
194,american contemporary classical,art music
195,american folk revival,world music
196,american folk revival,folk music
197,american grindcore,rock music
198,american melodeath,rock music
199,american metalcore,rock music
200,american oi,rock music
201,american orchestra,art music
202,american post-rock,experimental music
203,american post-rock,rock music
204,american primitive,folk music
205,american shoegaze,alternative
206,american shoegaze,rock music
207,amharic pop,pop music
208,anarcho-punk,rock music
209,anime,functional music
210,anime latino,functional music
211,anime lo-fi,lo-fi music
212,anime lo-fi,functional music
213,anime rap,world music
214,anime rap,functional music
215,anime rap,hip hop music
216,anime rock,rock music
217,anime rock,functional music
218,ann arbor indie,country music
219,anthem emo,hymn
220,anthem emo,vocal music
221,anthem emo,functional music
222,anthem emo,experimental music
223,anthem emo,rock music
224,anthem worship,hymn
225,anthem worship,vocal music
226,anthem worship,functional music
227,anti-folk,folk music
228,antideutsche,world music
