,artist_name,spotify_name,spotify_id,spotify_popularity,spotify_followers,spotify_listeners
/artists/3684861-chk-chk-chk,!!! (Chk Chk Chk),!!!,1mmehjf7eHA10uHMisZGJg,46.0,133869.0,341800.0
/artists/694091-kadebostan,!!!Kadebostan!!!,Kadebostan,6hWRK8VkzbYP9p17M5APJR,10.0,1342.0,2000.0
/artists/5929284-brothers-in-bamako,"""Brothers In Bamako""",,,,,
/artists/8704378-floyd-division-the-austrian-pink-floyd-tribute-band,"""Floyd Division"" The Austrian Pink Floyd Tribute Band",,,,,
/artists/7172094-jazzetcetera-stewy-von-wattenwyl-group-feat-lisette-spinnler,"""Jazz...etcetera"" Stewy von Wattenwyl Group,  feat. Lisette Spinnler",,,,,
/artists/7433784-pyramids-jazz,"""The Pyramids"" ",The Pyramids,3kCWVwcSSSggzNsjm8a6h2,26.0,1132.0,25100.0
/artists/8375378-agcrew,#AGCrew,Acres,3y43zXffnLmhyQD1K4QCmD,29.0,17632.0,28100.0
/artists/44425-smoove,$MOOVE,$MOOVE,38DshhONySNb65KLMDMCMY,0.0,1.0,28100.0
/artists/7809989-and-francis-fruit,& Francis Fruit,,,,,
/artists/8672184-and-friends,& Friends,Friends,0R2qhaNYSKYhYKeRMYwrpN,35.0,74.0,7600.0
/artists/7958443-and-the-calling-sirens,& The Calling Sirens,The Calling Sirens,1ORY7bHVmnSxZ82DWV6So9,1.0,77.0,28.0
/artists/19529-etre,(Etre),(Etre),6QF7pAFRSjBDEDfIlIpgtj,0.0,18.0,28.0
/artists/131307-hed-pe,(Hed) P.E.,(Hed) P.E.,0xIChbcTsuYLueN1oEsX9v,51.0,155636.0,403100.0
/artists/354666-bihtnik,(bih`tnik),[bih'tnik],2zlnW9GESgL9jhjal3tUzJ,1.0,70.0,57.0
/artists/1301647-meer,**@meer**,Meer,6DmyMZv3lelGiNWVoceuYj,14.0,38.0,2500.0
/artists/888062-food-for-ya-soul,*FOOD FOR YA SOUL*,,,,,
/artists/8309718-special-guest-tba,+ Special Guest TBA,,,,,
/artists/5563503-,+++,,,,,
/artists/9525634-sylvano,- sylvano -,Sylvano,5GHN85nZ3mft1AesroSap4,0.0,0.0,4.0
/artists/1367596-m,-M-,Migos,6oMuImdp5ZcFhWP0ESe6mG,82.0,11782754.0,18800000.0
/artists/642733-nesseria,-NESSERIA -,KSI,1nzgtKYFckznkcVMR3Gg4z,78.0,2093729.0,8600000.0
/artists/738563-stylez,-Stylez-,X-Stylez,0HUWy6PHHNrDsZS2EcoQbt,15.0,914.0,1600.0
/artists/589187-,...,...,0Xy7pMtVf9WXxibcd0TefP,14.0,184.0,1600.0
/artists/1285966-well,....WËLL....,WELL$,0LHzh8WdqxdtnTzp0XIOyZ,30.0,8282.0,49800.0
/artists/9850299-leaves-ger,.Leaves ,.Leaves,4sDPglsR1TdpkFfOHcbTQx,0.0,83.0,40.0
/artists/474915-hack,.hack,Hack,6igU78hsXAtUIqxnYJDBET,19.0,246.0,254.0
/artists/10159035-a-ch,/A\ ,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,82.0,4164408.0,27800000.0
/artists/5352303-05ric,05ric,06Ricky,5sBmJ5y2Cw745BK3kCG3ce,0.0,4.0,10.0
/artists/8166653-10-for-14,10 for 14,,,,,
/artists/292381-10000-maniacs,"10,000 Maniacs","10,000 Maniacs",0MBIKH9DjtBkv8O3nS6szj,53.0,279671.0,849600.0
/artists/8360073-10000-russos,"10,000 Russos",10 000 Russos,2pkZFQGkxsNYlJK5jO4z3L,20.0,4006.0,5800.0
/artists/9541484-100-kilo-herz,100 Kilo Herz,100 Kilo Herz,6sKOC3XdcoRZHh70zwnWFg,35.0,4740.0,24700.0
/artists/6696839-1000-gram,1000 GRAM,SCO1000GRAMS,2Om21jQJn0CWK5NzTunoUd,11.0,10.0,25.0
/artists/357052-1000mods,1000mods,1000mods,7EgAHTw2PMP7a1tAEtue89,42.0,79954.0,124500.0
/artists/480184-100blumen,100blumen,100blumen,0yrqNuQtHb3ZEwWcCqNGYV,9.0,1471.0,879.0
/artists/9062169-102-boyz,102 BOYZ,102 BOYZ,7MOryOswC0gFXHuv8WfHZh,2.0,55.0,879.0
/artists/324463-10cc,10cc,10cc,6i6WlGzQtXtz7GcC5H5st5,62.0,497928.0,3300000.0
/artists/6723079-11-louder,11 Louder,11 Louder,4OO0wubvxHn9ipOz1RLmHz,0.0,53.0,6.0
/artists/7858804-117elements,117Elements,117 Elements,36cCLafvN0HL5yIM8u46zS,0.0,154.0,39.0
/artists/2398431-11a,11a,11ai,6VzKRf1Q5Ur33XueBwcpi3,5.0,144.0,155.0
/artists/366820-120-days,120 Days,120 Days,33IhQgRHcYIuAdlk1VN77v,7.0,2385.0,981.0
/artists/89736-1280-almas,1280 Almas,1280 Almas,5skZhjSLizA2G1bJQp2iNM,35.0,50650.0,43400.0
/artists/2070755-12th-planet,12th Planet,12th Planet,3V1h3kAdiVDBiwlY2i6dJz,49.0,172259.0,414200.0
/artists/9552549-13-block,13 Block,13 Block,7rTPCNINGzMp3Hc8Xqht5Z,56.0,514378.0,584100.0
/artists/8920989-13-crowes,13 Crowes,13 Crowes,7d1O1AxAp2Opr5LdB35aGW,12.0,1847.0,901.0
/artists/9506864-13-years-cicada,13 years cicada,,,,,
/artists/5371483-130-bpm,130 Bpm,180 BPM,5Ni6KiU8wxNb3mMAcidDJC,23.0,2222.0,1500.0
/artists/458371-1349,1349,1349,150xbiJGnTy1tSBZ9EFKnT,31.0,84079.0,26300.0
/artists/6105749-13starz,13Starz,,,,,
/artists/3020176-15-tubes-en-live,15 Tubes En Live,,,,,
/artists/208742-16,16,16,35m8xtAGmqjnArbq8Xnndp,19.0,6422.0,4000.0
/artists/2445921-16-bitch-pileup,16 Bitch Pile-up,,,,,
/artists/407824-16-horsepower,16 Horsepower,16 Horsepower,188gwh9RnRT58ZQPwqwHE3,39.0,50234.0,100900.0
/artists/306885-17-hippies,17 Hippies,17 Hippies,3Tq2hRlRrQzA4Zq2ncYiiA,35.0,23468.0,57100.0
/artists/4518913-17f,17f,17f,6Pw8oBAICU36VXbV7xxDUI,0.0,27.0,13.0
/artists/3949041-18-strings,18 Strings,18 Strings,0nQtoo02M46j8QohmrvDh4,1.0,84.0,50.0
/artists/5392173-187-strassenbande,187 Strassenbande,187 Strassenbande,2j2rh3oQh4QEUnNTDKYSJD,68.0,1238104.0,1900000.0
/artists/5008498-19052012,19.05.2012,,,,,
/artists/9312694-1921,1921,1921,5632EL71unaPUypzrvtp8y,5.0,482.0,545.0
/artists/552063-1982,1982,1982,4xRobnExsPK6sV1i7tEwp3,6.0,1765.0,762.0
/artists/81873-1989,1989,1989,04VREmuFHXQ1VNqQTYhTYk,1.0,70.0,34.0
/artists/510732-1995,1995,1995,4CH2uNha7qT33gsr1y60Ca,47.0,198829.0,250400.0
/artists/8564529-1997ev,1997EV,1997EV,0YtCnXj4S22ZZOm6PJhj8b,0.0,4.0,1.0
/artists/9365974-1kub,1KUB,1KUB,5bS55SQZJBjhaxUPUYluEw,0.0,32.0,11.0
/artists/8005233-1er-partie-hyren,1er Partie Hyren,,,,,
/artists/4467063-2-chainz,2 Chainz,2 Chainz,17lzZA2AlOHwCwFALHttmp,80.0,6591482.0,11000000.0
/artists/4740558-2-special,2 Special,2 Special,6VjDL6MptjB753JgXvR3NU,0.0,1.0,4.0
/artists/4343276-2-support,2 Support,2nd Level Support,6T7AyOD9JPA649PqeLV0G7,0.0,0.0,4.0
/artists/3181586-2-tages,2 Tages,2:Tages:Bart,79te3u5Y58OU3OsyNFxkzC,12.0,147.0,1900.0
/artists/377506-2-unlimited,2 Unlimited,2 Unlimited,18JD8DVlD1fakDAw7E9LFC,56.0,176853.0,1400000.0
/artists/6338854-2takt,2-Takt,Zwei-Takt,1rd45fwPznfghLBjx8N9wz,0.0,25.0,31.0
/artists/8631869-20-watt-tombstone,20 Watt Tombstone,20 Watt Tombstone,4QydkamDuA2eBx2F9UYDTQ,23.0,4291.0,11600.0
/artists/8158983-20-years-gurd,20 Years Gurd,,,,,
