,spotify_genre
0,21st century classical
1,5th wave emo
2,a cappella
3,aarhus indie
4,aberdeen indie
5,abstract
6,abstract beats
7,abstract hip hop
8,abstract idm
9,abstractro
10,accordeon
11,accordion
12,acid house
13,acid idm
14,acid jazz
15,acid rock
16,acid techno
17,acid trance
18,acousmatic
19,acoustic blues
20,acoustic cover
21,acoustic pop
22,acoustic punk
23,acoustic rock
24,action rock
25,adoracao
26,adult standards
27,aesthetic rap
28,afghan rap
29,african electronic
30,african experimental
31,african metal
32,african percussion
33,african reggae
34,african rock
35,african-american classical
36,afrikaans
37,afro dancehall
38,afro house
39,afro psych
40,afro r&b
41,afro soul
42,afro-cuban percussion
43,afro-funk
44,afrobeat
45,afrobeat brasileiro
46,afrobeat fusion
47,afrofuturism
48,afrofuturismo brasileiro
49,afropop
50,afroswing
51,aggrotech
52,ai
53,alabama indie
54,alabama metal
55,alabama rap
56,alaska indie
57,albanian folk
58,albanian hip hop
59,albanian pop
60,albany ny indie
61,alberta country
62,alberta hip hop
63,album rock
64,albuquerque indie
65,algerian folk
66,alphorn
67,alpine yodeling
68,alt z
69,alternative americana
70,alternative country
71,alternative dance
72,alternative emo
73,alternative hardcore
74,alternative hip hop
75,alternative metal
76,alternative metalcore
77,alternative pop
78,alternative pop rock
79,alternative r&b
80,alternative rock
81,alternative roots rock
82,ambeat
83,ambient
84,ambient black metal
85,ambient folk
86,ambient house
87,ambient idm
88,ambient industrial
89,ambient pop
90,ambient post-rock
91,ambient psychill
92,ambient techno
93,ambient trance
94,american 21st century classical
95,american classical piano
96,american contemporary classical
97,american folk revival
98,american grindcore
99,american melodeath
100,american metalcore
101,american oi
102,american orchestra
103,american post-rock
104,american primitive
105,american shoegaze
106,amharic pop
107,anarcho-punk
108,anime
109,anime latino
110,anime lo-fi
111,anime rap
112,anime rock
113,ann arbor indie
114,anthem emo
115,anthem worship
116,anti-folk
117,antideutsche
118,appenzeller folk
119,arab alternative
120,arab electronic
121,arab experimental
122,arab folk
123,arab groove
124,arab metal
125,arab pop
126,arabesk
127,arabic hip hop
128,arabic jazz
129,argentine ambient
130,argentine hardcore
131,argentine indie
132,argentine jazz
133,argentine metal
134,argentine punk
135,argentine reggae
136,argentine rock
137,argentine telepop
138,arizona punk
139,arkansas country
140,arkansas indie
141,arkansas metal
142,art pop
143,art punk
144,art rock
145,art song
146,asbury park indie
147,asheville indie
148,asian american hip hop
149,athens indie
150,atl hip hop
151,atl trap
152,atlanta indie
153,atlanta metal
154,atlanta punk
155,atmosphere
156,atmospheric black metal
157,atmospheric dnb
158,atmospheric doom
159,atmospheric post-metal
160,atmospheric post-rock
161,atmospheric sludge
162,auckland indie
163,audiophile vocal
164,aussie drill
165,aussie emo
166,aussietronica
167,austin americana
168,austin rock
169,austin singer-songwriter
170,austindie
171,australian alternative pop
172,australian alternative rock
173,australian ambient
174,australian americana
175,australian black metal
176,australian blues
177,australian classical piano
178,australian country
179,australian dance
180,australian death metal
181,australian electropop
182,australian experimental
183,australian garage punk
184,australian hardcore
185,australian hip hop
186,australian house
187,australian indie
188,australian indie folk
189,australian indie rock
190,australian indigenous
191,australian jazz
192,australian metal
193,australian metalcore
194,australian pop
195,australian post-hardcore
196,australian post-punk
197,australian post-rock
198,australian psych
199,australian r&b
200,australian reggae fusion
201,australian rock
202,australian shoegaze
203,australian singer-songwriter
204,australian ska
205,australian talent show
206,australian techno
207,australian thrash metal
208,australian trap
209,australian underground hip hop
210,austrian black metal
211,austrian classical piano
212,austrian contemporary classical
213,austrian dnb
214,austrian hip hop
215,austrian indie
216,austrian jazz
217,austrian metal
218,austrian orchestra
219,austrian pop
220,austrian punk
221,austrian stoner rock
222,austrian techno
223,austropop
224,auteur-compositeur-interprete quebecois
225,autoharp
226,autonomous black metal
227,avant-garde
228,avant-garde black metal
229,avant-garde jazz
230,avant-garde metal
231,avant-rock
232,axe
233,azeri pop
234,azeri rap
235,azeri traditional
236,azonto
237,azontobeats
238,bachata
239,bachata dominicana
240,background jazz
241,background music
242,background piano
243,backing track
244,bagpipe
245,baiao
246,bakersfield sound
247,bal-musette
248,balafon
249,balearic
250,balfolk
251,balkan beats
252,balkan brass
253,balkan classical piano
254,balkan folk metal
255,balkan hip hop
256,balkan trap
257,ballroom
258,baltic black metal
259,baltic classical piano
260,baltic folk
261,baltic post-punk
262,baltimore indie
263,banda caliente
264,bandolim
265,bandoneon
266,bangalore indie
267,bangladeshi rock
268,banjo
269,barbadian pop
270,barbershop
271,bard
272,bardcore
273,barnmusik
274,barockinterpreten
275,baroque
276,baroque brass
277,baroque cello
278,baroque ensemble
279,baroque pop
280,baroque singing
281,baroque violin
282,baroque woodwind
283,basel indie
284,bass house
285,bass music
286,bass trap
287,bass trip
288,basshall
289,bassline
290,bath indie
291,batida
292,baton rouge rap
293,battle rap
294,bay area hip hop
295,bay area indie
296,bayerischer rap
297,bboy
298,bc underground hip hop
299,beat italiano
300,beatboxing
301,beatdown
302,beatlesque
303,bebop
304,bedroom pop
305,bedroom soul
306,belarusian indie
307,belarusian metal
308,belfast indie
309,belfast metal
310,belgian black metal
311,belgian blues
312,belgian dance
313,belgian death metal
314,belgian edm
315,belgian electronic
316,belgian experimental
317,belgian hardcore
318,belgian hip hop
319,belgian indie
320,belgian indie rock
321,belgian jazz
322,belgian metal
323,belgian modern jazz
324,belgian new wave
325,belgian pop
326,belgian post-rock
327,belgian rock
328,belgian singer-songwriter
329,belgian stoner rock
330,belgian techno
331,belly dance
332,belo horizonte indie
333,bemani
334,benga
335,beninese pop
336,bergamo indie
337,bergen indie
338,berlin minimal techno
339,berlin school
340,bern indie
341,bhangra
342,big band
343,big beat
344,big room
345,binaural
346,birdsong
347,birmingham grime
348,birmingham hip hop
349,birmingham indie
350,birmingham metal
351,bitpop
352,black 'n' roll
353,black death
354,black metal
355,black metal argentino
356,black punk
357,black sludge
358,black speed metal
359,black thrash
360,blackened crust
361,blackened deathcore
362,blackened hardcore
363,blackgaze
364,blaskapelle
365,blasmusik
366,bleep techno
367,bluegrass
368,bluegrass gospel
369,blues
370,blues band
371,blues rock
372,blues-rock guitar
373,bmore
374,bolero
375,bolero cubano
376,boogaloo
377,boogie
378,boogie-woogie
379,boom bap
380,boom bap brasileiro
381,boom bap espanol
382,bosnian indie
383,bossa nova
384,bossa nova jazz
385,boston electronic
386,boston folk
387,boston hardcore
388,boston hip hop
