,counter,occurrences,genres
indie,28,1135,"['belo horizonte indie', 'bulgarian indie', 'cornwall indie', 'delaware indie', 'euskal indie', 'galway indie', 'hong kong indie', 'hungarian indie', 'indie boliviano', 'indie liguria', 'indie tico', 'indie triste', 'kansai indie', 'limerick indie', 'lincoln ne indie', 'milwaukee indie', 'minneapolis indie', 'normal indie', 'north dakota indie', 'pakistani indie', 'perth indie', 'portsmouth indie', 'san antonio indie', 'sardinia indie', 'slc indie', 'svensk indie', 'venezuelan indie', 'west yorkshire indie']"
musica,4,127,"['musica mato-grossense', 'musica para ninos', 'musica portuguesa contemporanea', 'musica triste brasileira']"
viola,2,46,"['viola', 'viola da gamba']"
west,2,43,"['old west', 'west yorkshire indie']"
worship,2,43,"['chinese worship', 'swiss worship']"
deep,2,43,"['deep discofox', 'deep flow']"
triste,2,43,"['indie triste', 'musica triste brasileira']"
fake,1,5,['fake']
tribute,1,4,['tribute']
contemporanea,1,3,['musica portuguesa contemporanea']
classify,1,3,['classify']
cornwall,1,3,['cornwall indie']
harpsichord,1,3,['harpsichord']
mgp,1,3,['mgp']
portuguesa,1,3,['musica portuguesa contemporanea']
tico,1,2,['indie tico']
lesen,1,2,['lesen']
north,1,2,['north dakota indie']
dakota,1,2,['north dakota indie']
kansai,1,2,['kansai indie']
hoerspiel,1,2,['kleine hoerspiel']
piano,1,2,['piano cover']
cover,1,2,['piano cover']
rain,1,2,['rain']
kindermusik,1,2,['kindermusik']
afrocolombiano,1,2,['folclor afrocolombiano']
folclor,1,2,['folclor afrocolombiano']
kleine,1,2,['kleine hoerspiel']
taiko,1,2,['taiko']
bemani,1,2,['bemani']
ukulele,1,2,['ukulele']
barnmusik,1,2,['barnmusik']
effects,1,2,['sound effects']
sound,1,2,['sound effects']
covertrance,1,2,['covertrance']
coverchill,1,2,['coverchill']
birdsong,1,2,['birdsong']
brasileira,1,1,['musica triste brasileira']
da,1,1,['viola da gamba']
gamba,1,1,['viola da gamba']
antonio,1,1,['san antonio indie']
washboard,1,1,['washboard']
normal,1,1,['normal indie']
para,1,1,['musica para ninos']
mato-grossense,1,1,['musica mato-grossense']
yorkshire,1,1,['west yorkshire indie']
workout,1,1,['workout product']
praise,1,1,['messianic praise']
ninos,1,1,['musica para ninos']
nursery,1,1,['nursery']
svensk,1,1,['svensk indie']
sardinia,1,1,['sardinia indie']
rkt,1,1,['rkt']
game,1,1,['rhythm game']
rhythm,1,1,['rhythm game']
melodipop,1,1,['melodipop']
groove,1,1,['rare groove']
rare,1,1,['rare groove']
pony,1,1,['pony']
invasion,1,1,['spanish invasion']
psychedelia,1,1,['polish psychedelia']
slc,1,1,['slc indie']
sleep,1,1,['sleep']
perreo,1,1,['perreo']
old,1,1,['old west']
san,1,1,['san antonio indie']
messianic,1,1,['messianic praise']
afrikaans,1,1,['afrikaans']
band,1,1,['marching band']
classic,1,1,['classic eurovision']
duduk,1,1,['duduk']
demoscene,1,1,['demoscene']
flow,1,1,['deep flow']
discofox,1,1,['deep discofox']
africaine,1,1,['comptine africaine']
comptine,1,1,['comptine africaine']
nacionales,1,1,['combos nacionales']
combos,1,1,['combos nacionales']
eurovision,1,1,['classic eurovision']
cimbalom,1,1,['cimbalom']
marching,1,1,['marching band']
argentina,1,1,['cantautora argentina']
cantautora,1,1,['cantautora argentina']
latinoamericana,1,1,['cancion infantil latinoamericana']
infantil,1,1,['cancion infantil latinoamericana']
cancion,1,1,['cancion infantil latinoamericana']
binaural,1,1,['binaural']
horizonte,1,1,['belo horizonte indie']
belo,1,1,['belo horizonte indie']
track,1,1,['backing track']
euskal,1,1,['euskal indie']
finlandssvenska,1,1,['finlandssvenska musik']
musik,1,1,['finlandssvenska musik']
folclore,1,1,['folclore portugues']
louvor,1,1,['louvor']
limerick,1,1,['limerick indie']
iban,1,1,['lagu iban']
lagu,1,1,['lagu iban']
superband,1,1,['korean superband']
backing,1,1,['backing track']
roots,1,1,['kentucky roots']
jugendchor,1,1,['jugendchor']
liguria,1,1,['indie liguria']
boliviano,1,1,['indie boliviano']
kong,1,1,['hong kong indie']
hong,1,1,['hong kong indie']
ccb,1,1,['hinos ccb']
hinos,1,1,['hinos ccb']
guqin,1,1,['guqin']
galway,1,1,['galway indie']
quebecois,1,1,['folklore quebecois']
folklore,1,1,['folklore quebecois']
portugues,1,1,['folclore portugues']
product,1,1,['workout product']
