,0,1,2,3,4,5
21st century classical,art music,,,,,
5th wave emo,world music,electronic music,hip hop music,experimental music,rock music,
a cappella,vocal music,,,,,
aarhus indie,rock music,,,,,
aberdeen indie,rock music,,,,,
abstract,absolute music,,,,,
abstract beats,electronic music,absolute music,,,,
abstract hip hop,hip hop music,world music,,,,
abstract idm,electronic music,absolute music,,,,
abstractro,electronic music,experimental music,,,,
accordeon,acoustic music,,,,,
accordion,acoustic music,,,,,
acid house,electronic music,dance music,,,,
acid idm,electronic music,,,,,
acid jazz,rhythm and blues,funk,,,,
acid rock,rock music,psychedelic music,,,,
acid techno,electronic music,dance music,,,,
acid trance,electronic music,dance music,,,,
acousmatic,electronic music,experimental music,art music,,,
acoustic blues,blues,,,,,
acoustic cover,acoustic music,,,,,
acoustic pop,acoustic music,pop music,,,,
acoustic punk,acoustic music,punk music,rock music,,,
acoustic rock,rock music,,,,,
action rock,rock music,,,,,
adoracao,functional music,world music,rock music,,,
adult standards,pop music,,,,,
aesthetic rap,hip hop music,world music,,,,
afghan rap,hip hop music,world music,,,,
african electronic,electronic music,world music,,,,
african experimental,world music,experimental music,,,,
african metal,world music,rock music,,,,
african percussion,world music,instrumental music,,,,
african reggae,music of jamaica,,,,,
african rock,world music,rock music,,,,
african-american classical,world music,art music,,,,
afrikaans,,,,,,
afro dancehall,music of jamaica,afro,,,,
afro house,electronic music,dance music,,,,
afro psych,afro,,,,,
afro r&b,rhythm and blues,afro,,,,
afro soul,rhythm and blues,soul music,,,,
afro-cuban percussion,world music,instrumental music,afro,,,
afro-funk,rhythm and blues,world music,funk,,,
afrobeat,rhythm and blues,world music,folk music,funk,,
afrobeat brasileiro,rhythm and blues,world music,folk music,funk,,
afrobeat fusion,jazz,world music,funk,folk music,rhythm and blues,
afrofuturism,hip hop music,world music,,,,
afrofuturismo brasileiro,hip hop music,world music,,,,
afropop,world music,,,,,
afroswing,hip hop music,world music,,,,
aggrotech,electronic music,experimental music,dance music,,,
ai,electronic music,pop music,,,,
alabama indie,independent music,rock music,,,,
alabama metal,rock music,,,,,
alabama rap,hip hop music,world music,,,,
alaska indie,world music,country music,,,,
albanian folk,world music,folk music,,,,
albanian hip hop,hip hop music,world music,,,,
albanian pop,pop music,,,,,
albany ny indie,rock music,,,,,
alberta country,country music,world music,,,,
alberta hip hop,hip hop music,world music,,,,
album rock,album-oriented rock,,,,,
albuquerque indie,rock music,,,,,
algerian folk,world music,folk music,,,,
alphorn,instrumental music,,,,,
alpine yodeling,vocal music,,,,,
alt z,pop music,,,,,
alternative americana,alternative,world music,country music,,,
alternative country,world music,country music,,,,
alternative dance,alternative,rock music,dance music,,,
alternative emo,alternative,experimental music,rock music,,,
alternative hardcore,alternative,electronic music,rock music,dance music,,
alternative hip hop,hip hop music,world music,,,,
alternative metal,alternative,rock music,,,,
alternative metalcore,alternative,rock music,,,,
alternative pop,pop music,,,,,
alternative pop rock,alternative,pop music,rock music,,,
alternative r&b,rhythm and blues,,,,,
alternative rock,alternative,rock music,,,,
alternative roots rock,alternative,rock music,,,,
ambeat,rhythm and blues,,,,,
ambient,electronic music,new age music,,,,
ambient black metal,electronic music,new age music,experimental music,rock music,,
ambient folk,electronic music,new age music,folk music,world music,,
ambient house,electronic music,new age music,dance music,,,
ambient idm,electronic music,new age music,,,,
ambient industrial,electronic music,new age music,experimental music,,,
ambient pop,alternative,pop music,rock music,,,
ambient post-rock,electronic music,new age music,experimental music,rock music,,
ambient psychill,electronic music,new age music,,,,
ambient techno,electronic music,new age music,dance music,,,
ambient trance,electronic music,new age music,dance music,,,
american 21st century classical,art music,,,,,
american classical piano,art music,,,,,
american contemporary classical,contemporary music,art music,,,,
american folk revival,world music,folk music,,,,
american grindcore,rock music,,,,,
american melodeath,rock music,,,,,
american metalcore,rock music,,,,,
american oi,rock music,,,,,
american orchestra,orchestra,,,,,
american post-rock,experimental music,rock music,,,,
american primitive,folk music,,,,,
american shoegaze,alternative,rock music,,,,
amharic pop,pop music,,,,,
anarcho-punk,rock music,,,,,
anime,functional music,,,,,
anime latino,functional music,,,,,
anime lo-fi,lo-fi music,functional music,,,,
anime rap,hip hop music,functional music,world music,,,
anime rock,functional music,rock music,,,,
ann arbor indie,banjo music,,,,,
anthem emo,functional music,hymn,vocal music,experimental music,rock music,
anthem worship,vocal music,functional music,hymn,,,
anti-folk,folk music,,,,,
antideutsche,world music,rock music,,,,
appenzeller folk,world music,folk music,,,,
arab alternative,alternative,,,,,
arab electronic,electronic music,,,,,
arab experimental,experimental music,,,,,
arab folk,world music,folk music,,,,
arab groove,pop music,,,,,
arab metal,rock music,,,,,
arab pop,pop music,world music,,,,
arabesk,pop music,world music,,,,
arabic hip hop,hip hop music,world music,,,,
arabic jazz,jazz,world music,,,,
argentine ambient,electronic music,new age music,,,,
argentine hardcore,electronic music,rock music,dance music,,,
argentine indie,rock music,,,,,
argentine jazz,jazz,,,,,
argentine metal,rock music,,,,,
argentine punk,argentine punk,,,,,
argentine reggae,music of jamaica,,,,,
argentine rock,world music,rock music,,,,
argentine telepop,pop music,world music,,,,
arizona punk,punk music,rock music,,,,
arkansas country,country music,world music,,,,
arkansas indie,rock music,,,,,
arkansas metal,rock music,,,,,
art pop,pop music,,,,,
art punk,rock music,,,,,
art rock,rock music,,,,,
