,0,1,2,3,4,5
21st century classical,art music,,,,,
5th wave emo,hip hop music,experimental music,electronic music,world music,rock music,
a cappella,vocal music,,,,,
aarhus indie,rock music,,,,,
aberdeen indie,rock music,,,,,
abstract,art music,,,,,
abstract beats,art music,electronic music,,,,
abstract hip hop,hip hop music,world music,,,,
abstract idm,art music,electronic music,,,,
abstractro,experimental music,electronic music,,,,
accordeon,acoustic music,,,,,
accordion,acoustic music,,,,,
acid house,dance music,electronic music,,,,
acid idm,electronic music,,,,,
acid jazz,funk,rhythm and blues,,,,
acid rock,rock music,psychedelic music,,,,
acid techno,dance music,electronic music,,,,
acid trance,dance music,electronic music,,,,
acousmatic,art music,experimental music,electronic music,,,
acoustic blues,blues,,,,,
acoustic cover,acoustic music,,,,,
acoustic pop,pop music,acoustic music,,,,
acoustic punk,rock music,rock music,acoustic music,,,
acoustic rock,rock music,,,,,
action rock,rock music,,,,,
adoracao,world music,functional music,rock music,,,
adult standards,pop music,,,,,
aesthetic rap,hip hop music,world music,,,,
afghan rap,hip hop music,world music,,,,
african electronic,world music,electronic music,,,,
african experimental,experimental music,world music,,,,
african metal,rock music,world music,,,,
african percussion,instrumental music,world music,,,,
african reggae,music of jamaica,,,,,
african rock,world music,rock music,,,,
african-american classical,art music,world music,,,,
afrikaans,world music,,,,,
afro dancehall,music of jamaica,world music,,,,
afro house,dance music,electronic music,,,,
afro psych,world music,,,,,
afro r&b,world music,rhythm and blues,,,,
afro soul,soul music,rhythm and blues,,,,
afro-cuban percussion,instrumental music,world music,world music,,,
afro-funk,world music,rhythm and blues,funk,,,
afrobeat,folk music,world music,funk,rhythm and blues,,
afrobeat brasileiro,folk music,world music,funk,rhythm and blues,,
afrobeat fusion,folk music,world music,rhythm and blues,jazz,funk,
afrofuturism,hip hop music,world music,,,,
afrofuturismo brasileiro,hip hop music,world music,,,,
afropop,world music,,,,,
afroswing,hip hop music,world music,,,,
aggrotech,experimental music,dance music,electronic music,,,
ai,pop music,electronic music,,,,
alabama indie,rock music,independent music,,,,
alabama metal,rock music,,,,,
alabama rap,hip hop music,world music,,,,
alaska indie,country music,world music,,,,
albanian folk,folk music,world music,,,,
albanian hip hop,hip hop music,world music,,,,
albanian pop,pop music,,,,,
albany ny indie,rock music,,,,,
alberta country,country music,world music,,,,
alberta hip hop,hip hop music,world music,,,,
album rock,rock music,,,,,
albuquerque indie,rock music,,,,,
algerian folk,folk music,world music,,,,
alphorn,instrumental music,,,,,
alpine yodeling,vocal music,,,,,
alt z,pop music,,,,,
alternative americana,alternative,world music,country music,,,
alternative country,country music,world music,,,,
alternative dance,alternative,rock music,dance music,,,
alternative emo,alternative,experimental music,rock music,,,
alternative hardcore,alternative,dance music,electronic music,rock music,,
alternative hip hop,hip hop music,world music,,,,
alternative metal,alternative,rock music,,,,
alternative metalcore,alternative,rock music,,,,
alternative pop,pop music,,,,,
alternative pop rock,alternative,rock music,pop music,,,
alternative r&b,rhythm and blues,,,,,
alternative rock,alternative,rock music,,,,
alternative roots rock,alternative,rock music,,,,
ambeat,rhythm and blues,,,,,
ambient,new age music,electronic music,,,,
ambient black metal,experimental music,rock music,electronic music,new age music,,
ambient folk,new age music,folk music,world music,electronic music,,
ambient house,new age music,dance music,electronic music,,,
ambient idm,new age music,electronic music,,,,
ambient industrial,new age music,experimental music,electronic music,,,
ambient pop,alternative,pop music,rock music,,,
ambient post-rock,new age music,experimental music,electronic music,rock music,,
ambient psychill,new age music,electronic music,,,,
ambient techno,new age music,dance music,electronic music,,,
ambient trance,new age music,dance music,electronic music,,,
american 21st century classical,art music,,,,,
american classical piano,art music,,,,,
american contemporary classical,art music,pop music,,,,
american folk revival,folk music,world music,,,,
american grindcore,rock music,,,,,
american melodeath,rock music,,,,,
american metalcore,rock music,,,,,
american oi,rock music,,,,,
american orchestra,art music,,,,,
american post-rock,experimental music,rock music,,,,
american primitive,folk music,,,,,
american shoegaze,alternative,rock music,,,,
amharic pop,pop music,,,,,
anarcho-punk,rock music,,,,,
anime,functional music,,,,,
anime latino,functional music,,,,,
anime lo-fi,lo-fi music,functional music,,,,
anime rap,hip hop music,world music,functional music,,,
anime rock,rock music,functional music,,,,
ann arbor indie,country music,,,,,
anthem emo,functional music,experimental music,hymn,vocal music,rock music,
anthem worship,vocal music,functional music,hymn,,,
anti-folk,folk music,,,,,
antideutsche,world music,rock music,,,,
appenzeller folk,folk music,world music,,,,
arab alternative,alternative,,,,,
arab electronic,electronic music,,,,,
arab experimental,experimental music,,,,,
arab folk,folk music,world music,,,,
arab groove,pop music,,,,,
arab metal,rock music,,,,,
arab pop,pop music,world music,,,,
arabesk,pop music,world music,,,,
arabic hip hop,hip hop music,world music,,,,
arabic jazz,world music,jazz,,,,
argentine ambient,new age music,electronic music,,,,
argentine hardcore,dance music,rock music,electronic music,,,
argentine indie,rock music,,,,,
argentine jazz,jazz,,,,,
argentine metal,rock music,,,,,
argentine punk,rock music,,,,,
argentine reggae,music of jamaica,,,,,
argentine rock,world music,rock music,,,,
argentine telepop,pop music,world music,,,,
arizona punk,rock music,rock music,,,,
arkansas country,country music,world music,,,,
arkansas indie,rock music,,,,,
arkansas metal,rock music,,,,,
art pop,pop music,,,,,
art punk,rock music,,,,,
art rock,rock music,,,,,
art song,art music,vocal music,,,,
asbury park indie,rock music,,,,,
asheville indie,rock music,,,,,
asian american hip hop,hip hop music,,,,,
athens indie,rock music,,,,,
atl hip hop,hip hop music,world music,,,,
atl trap,hip hop music,world music,,,,
atlanta indie,rock music,,,,,
atlanta metal,rock music,,,,,
atlanta punk,rock music,rock music,,,,
