,nbr_concerts,nbr_artists,acoustic music,art music,blues,children's music,country music,dance music,electronic music,experimental music,folk music,functional music,funk,hip hop music,independent music,instrumental music,jazz,lo-fi music,pop music,rhythm and blues,rock music,soul music,underground music,vocal music,world music
/venues/1002631,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
/venues/1004201,40,54,0.1,0.32,0.3,0.0,0.3,0.35,0.42,0.0,0.5,0.02,0.0,0.42,0.4,0.0,0.1,0.0,0.55,0.0,0.55,0.0,0.0,0.08,0.68
/venues/1004876,34,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.29,0.0,0.09,0.06,0.0,0.06,0.0,0.06,0.0,0.15,0.0,0.0,0.0,0.18
/venues/1004881,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/1004891,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/1006731,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/venues/100720,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,1.0
/venues/100790,9,18,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.44,0.0,0.33,0.0,0.0,0.0,0.33
/venues/1008231,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/1008911,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
/venues/1011066,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/venues/101173,457,555,0.03,0.06,0.04,0.0,0.02,0.18,0.28,0.13,0.05,0.01,0.0,0.25,0.07,0.02,0.05,0.0,0.18,0.02,0.46,0.01,0.02,0.03,0.42
/venues/101332,40,57,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.08,0.0,0.0,0.02,0.57,0.08,0.0,0.05,0.02,0.32,0.02,0.25,0.02,0.02,0.0,0.62
/venues/101376,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/1014316,7,7,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.14,0.43,0.14,0.0,0.0,0.43
/venues/101668,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/1016706,22,28,0.23,0.09,0.09,0.0,0.05,0.09,0.09,0.0,0.09,0.0,0.0,0.09,0.14,0.0,0.05,0.0,0.32,0.09,0.5,0.05,0.0,0.14,0.36
/venues/1017681,22,26,0.09,0.0,0.0,0.0,0.0,0.09,0.23,0.09,0.32,0.0,0.0,0.27,0.41,0.0,0.0,0.0,0.32,0.0,0.55,0.0,0.0,0.09,0.5
/venues/1017751,8,7,0.0,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.25,0.0,0.12,0.0,0.0,0.0,0.0,0.25,0.38,0.0,0.0,0.12,0.38
/venues/1019121,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/102099,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/1021236,28,27,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.18,0.0,0.04,0.0,0.25,0.0,0.0,0.0,0.11
/venues/1029211,5,13,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2
/venues/1031166,3,3,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0
/venues/1031171,3,3,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33
/venues/1032436,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/venues/1035516,3,3,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
/venues/1036831,16,16,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.12
/venues/1042286,8,10,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.38,0.0,0.0,0.0,0.25
/venues/104822,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/1051496,2,23,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0
/venues/105150,45,39,0.02,0.0,0.0,0.0,0.0,0.2,0.22,0.11,0.07,0.0,0.0,0.13,0.09,0.04,0.0,0.0,0.02,0.0,0.24,0.0,0.02,0.02,0.29
/venues/105196,44,64,0.0,0.07,0.0,0.0,0.0,0.27,0.32,0.14,0.02,0.02,0.0,0.25,0.07,0.0,0.11,0.02,0.09,0.02,0.18,0.02,0.05,0.0,0.43
/venues/1057716,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4
/venues/1063161,35,48,0.09,0.03,0.06,0.0,0.23,0.0,0.09,0.0,0.17,0.0,0.0,0.14,0.09,0.0,0.03,0.0,0.11,0.0,0.51,0.0,0.0,0.06,0.57
/venues/1063166,31,29,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.26,0.0,0.0,0.0,0.23
/venues/1067046,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
