venue_id,acoustic music,art music,blues,children's music,country music,dance music,electronic music,experimental music,folk music,functional music,funk,hip hop music,independent music,instrumental music,jazz,lo-fi music,pop music,rhythm and blues,rock music,soul music,underground music,vocal music,world music,genre_diversity,nbr_concerts
/venues/1002631,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.91,2
/venues/1004201,0.1,0.32,0.3,0.0,0.3,0.35,0.42,0.0,0.5,0.02,0.0,0.42,0.4,0.0,0.1,0.0,0.55,0.0,0.55,0.0,0.0,0.08,0.68,0.92,40
/venues/1004876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.29,0.0,0.09,0.06,0.0,0.06,0.0,0.06,0.0,0.15,0.0,0.0,0.0,0.18,0.84,34
/venues/1006731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
/venues/100720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,1.0,0.81,3
/venues/100790,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.44,0.0,0.33,0.0,0.0,0.0,0.33,0.91,9
/venues/1008911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
/venues/1011066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
/venues/101173,0.03,0.06,0.04,0.0,0.02,0.18,0.28,0.13,0.05,0.01,0.0,0.24,0.07,0.02,0.05,0.0,0.18,0.02,0.45,0.01,0.02,0.03,0.42,0.89,455
/venues/101332,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.08,0.0,0.0,0.02,0.57,0.08,0.0,0.05,0.02,0.32,0.02,0.25,0.02,0.02,0.0,0.62,0.84,40
/venues/1014316,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.14,0.43,0.14,0.0,0.0,0.43,0.92,7
/venues/1016706,0.23,0.09,0.09,0.0,0.05,0.09,0.09,0.0,0.09,0.0,0.0,0.09,0.14,0.0,0.05,0.0,0.32,0.09,0.5,0.05,0.0,0.14,0.36,0.91,22
/venues/1017681,0.09,0.0,0.0,0.0,0.0,0.09,0.23,0.09,0.32,0.0,0.0,0.27,0.41,0.0,0.0,0.0,0.32,0.0,0.55,0.0,0.0,0.09,0.5,0.89,22
/venues/1017751,0.0,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.25,0.0,0.12,0.0,0.0,0.0,0.0,0.25,0.38,0.0,0.0,0.12,0.38,0.93,8
/venues/1021236,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.18,0.0,0.04,0.0,0.25,0.0,0.0,0.0,0.11,0.86,28
/venues/1029211,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.82,5
/venues/1031166,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1.0,3
/venues/1031171,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,1.0,3
/venues/1032436,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
/venues/1035516,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,3
/venues/1036831,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.91,16
/venues/1042286,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.38,0.0,0.0,0.0,0.25,0.89,8
/venues/1051496,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.94,2
/venues/105150,0.02,0.0,0.0,0.0,0.0,0.2,0.22,0.11,0.07,0.0,0.0,0.13,0.09,0.04,0.0,0.0,0.02,0.0,0.24,0.0,0.02,0.02,0.29,0.89,45
/venues/105196,0.0,0.07,0.0,0.0,0.0,0.27,0.32,0.14,0.02,0.02,0.0,0.25,0.07,0.0,0.11,0.02,0.09,0.02,0.18,0.02,0.05,0.0,0.43,0.89,44
/venues/1057716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.9,5
/venues/1063161,0.09,0.03,0.06,0.0,0.23,0.0,0.09,0.0,0.17,0.0,0.0,0.14,0.09,0.0,0.03,0.0,0.11,0.0,0.51,0.0,0.0,0.06,0.57,0.86,35
/venues/1063166,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.26,0.0,0.0,0.0,0.23,0.78,31
/venues/1070471,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.81,5
/venues/1072496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6
/venues/1072551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
/venues/1072561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
/venues/1072566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
/venues/1072606,0.17,0.0,0.0,0.0,0.04,0.04,0.08,0.0,0.17,0.0,0.0,0.25,0.12,0.0,0.12,0.0,0.25,0.0,0.33,0.0,0.0,0.17,0.46,0.9,24
/venues/107530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.67,7
/venues/1075796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,1.0,5
/venues/108189,0.0,0.17,0.05,0.0,0.0,0.14,0.21,0.0,0.05,0.0,0.0,0.1,0.12,0.0,0.07,0.0,0.17,0.05,0.21,0.05,0.0,0.0,0.21,0.91,42
/venues/1083561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
/venues/1083566,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2
/venues/1088946,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.58,0.0,0.0,0.08,0.0,0.0,0.0,0.58,0.0,0.0,0.08,0.58,0.81,12
/venues/1091171,0.1,0.02,0.0,0.0,0.08,0.04,0.06,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.21,0.02,0.19,0.02,0.0,0.1,0.19,0.9,48
/venues/1091356,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,3
/venues/1092946,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
/venues/1094211,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25,0.25,0.25,0.97,4
/venues/1094591,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.4,0.96,5
/venues/1097051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
/venues/1097096,0.17,0.17,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.7,12
/venues/110056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.67,0.76,3
/venues/1101106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,3
/venues/1102666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
/venues/1102866,0.0,0.0,0.0,0.0,0.0,0.8,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,10
/venues/1107486,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.14,1.0,7
/venues/1107501,0.0,0.03,0.0,0.0,0.0,0.03,0.06,0.0,0.09,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.11,0.0,0.29,0.0,0.0,0.0,0.06,0.82,35
/venues/1109521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.71,6
/venues/1109886,0.0,0.0,0.0,0.0,0.0,0.69,0.69,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.05,0.0,0.07,0.0,0.0,0.0,0.05,0.64,42
/venues/1109931,0.0,0.0,0.0,0.0,0.0,0.82,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,11
/venues/1111161,0.06,0.4,0.0,0.0,0.0,0.06,0.19,0.15,0.06,0.04,0.09,0.13,0.0,0.02,0.6,0.0,0.23,0.19,0.11,0.13,0.0,0.15,0.34,0.91,47
/venues/1111166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2
/venues/1112026,0.21,0.15,0.0,0.0,0.03,0.1,0.1,0.0,0.46,0.0,0.0,0.08,0.0,0.03,0.1,0.0,0.59,0.03,0.18,0.0,0.0,0.33,0.62,0.88,39
/venues/1112866,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,12
/venues/1116226,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
/venues/1116236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
/venues/1124536,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2
/venues/1125866,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2
/venues/112740,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
/venues/1129466,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.25,0.0,0.0,0.17,0.0,0.08,0.0,0.17,0.0,0.0,0.0,0.25,0.91,12
/venues/1129916,0.02,0.08,0.02,0.0,0.01,0.23,0.24,0.1,0.08,0.0,0.02,0.07,0.02,0.04,0.04,0.0,0.06,0.03,0.39,0.0,0.0,0.02,0.38,0.87,132
/venues/1129971,0.06,0.12,0.04,0.0,0.02,0.19,0.22,0.1,0.06,0.02,0.0,0.27,0.13,0.03,0.03,0.0,0.32,0.01,0.6,0.01,0.02,0.05,0.45,0.88,573
/venues/1130166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.29,0.74,14
/venues/1130551,0.02,0.06,0.01,0.0,0.01,0.15,0.19,0.03,0.05,0.0,0.02,0.09,0.06,0.01,0.05,0.0,0.14,0.04,0.17,0.04,0.0,0.01,0.22,0.91,96
/venues/1134256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
/venues/1136926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
/venues/1138081,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.67,0.93,3
/venues/1138086,0.09,0.12,0.02,0.0,0.02,0.14,0.19,0.03,0.08,0.02,0.02,0.21,0.18,0.01,0.0,0.01,0.37,0.05,0.5,0.05,0.01,0.08,0.32,0.9,331
/venues/1145821,0.0,0.12,0.06,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.12,0.06,0.0,0.0,0.0,0.18,0.06,0.29,0.06,0.0,0.0,0.18,0.92,17
/venues/1145826,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.17,0.08,0.0,0.0,0.0,0.08,0.08,0.42,0.08,0.0,0.08,0.42,0.88,12
/venues/114659,0.0,0.03,0.0,0.0,0.0,0.11,0.14,0.11,0.0,0.0,0.0,0.46,0.06,0.03,0.03,0.0,0.11,0.0,0.11,0.0,0.06,0.0,0.6,0.82,35
/venues/114785,0.13,0.09,0.05,0.0,0.07,0.06,0.07,0.01,0.24,0.0,0.03,0.07,0.0,0.01,0.1,0.0,0.55,0.04,0.32,0.04,0.0,0.14,0.34,0.88,145
/venues/1148546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.67,0.9,3
/venues/1148641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,1.0,5
/venues/1159311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
/venues/1159316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
/venues/116012,0.0,0.9,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.62,0.0,0.0,0.0,0.0,0.19,0.0,0.29,0.0,0.1,0.0,0.0,0.29,0.24,0.84,21
/venues/1160141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
/venues/116025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.8,5
/venues/116059,0.0,0.0,0.0,0.0,0.09,0.18,0.18,0.0,0.18,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.73,0.0,0.27,0.0,0.0,0.0,0.64,0.84,11
/venues/1161071,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
/venues/1161276,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
/venues/1161281,0.06,0.11,0.04,0.0,0.04,0.11,0.22,0.12,0.19,0.01,0.02,0.16,0.16,0.02,0.18,0.01,0.36,0.03,0.37,0.01,0.0,0.06,0.58,0.9,104
/venues/1162191,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
/venues/1168481,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.09,0.86,11
/venues/1168646,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.91,5
/venues/1168971,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
/venues/1170106,0.0,0.16,0.05,0.0,0.05,0.43,0.3,0.05,0.08,0.03,0.0,0.32,0.03,0.0,0.0,0.0,0.46,0.0,0.62,0.0,0.0,0.03,0.54,0.88,37
