,top_genre
0,acoustic music
1,alternative
2,art music
3,bhangra
4,blues
5,brega
6,children's music
7,children’s music
8,comedy music
9,congolese rumba
10,contemporary worship music
11,country music
12,dance music
13,electronic music
14,experimental music
15,folk music
16,functional music
17,funk
18,gothic music
19,hip hop music
20,holiday music
21,hymn
22,independent music
23,instrumental music
24,jazz
25,lo-fi music
26,luk thung
27,march
28,medieval music
29,music of guadeloupe
30,music of jamaica
31,musical theater
32,nerd music
33,new age music
34,opera
35,outsider house
36,parlour music
37,pop music
38,post-disco
39,psychedelic music
40,punk jazz
41,rhythm and blues
42,rock music
43,russian chanson
44,serenade
45,ska
46,soul music
47,underground music
48,vocal music
49,world music
