,top_genre,manual_top_genre
0,acoustic music,
1,alternative,rock music
2,art music,
3,bhangra,dance music
4,blues,
5,brega,world music
6,children's music,
7,children’s music,children's music
8,comedy music,functional music
9,congolese rumba,world music
10,contemporary worship music,functional music
11,country music,
12,dance music,
13,electronic music,
14,experimental music,
15,folk music,
16,functional music,
17,funk,
18,gothic music,rock music
19,hip hop music,
20,holiday music,pop music
21,hymn,functional music
22,independent music,
23,instrumental music,
24,jazz,
25,lo-fi music,
26,luk thung,world music
27,march,functional music
28,medieval music,art music
29,music of guadeloupe,world music
30,music of jamaica,world music
31,musical theater,pop music
32,nerd music,rock music
33,new age music,art music
34,opera,art music
35,outsider house,electronic music
36,parlour music,pop music
37,pop music,
38,post-disco,pop music
39,psychedelic music,rock music
40,punk jazz,jazz
41,rhythm and blues,
42,rock music,
43,russian chanson,folk music
44,serenade,art music
45,ska,world music
46,soul music,
47,underground music,
48,vocal music,
49,world music,
