music_genre_id,music_genre_name,everynoise_id,subgenre_of_id,subgenre_of_name
Q4631020,21st-century classical music,21stcenturyclassical,Q1583807,art music
Q185298,a cappella,acappella,Q685884,vocal music
Q98528482,abstract hip hop,abstracthiphop,Q11401,hip hop music
Q341364,acid house,acidhouse,Q20502,house music
Q341364,acid house,acidhouse,Q898709,rave music
Q221772,acid jazz,acidjazz,Q164444,funk
Q236932,acid rock,acidrock,Q206159,psychedelic rock
Q341395,acid techno,acidtechno,Q170611,techno
Q341395,acid techno,acidtechno,Q341364,acid house
Q481900,acid trance,acidtrance,Q170435,trance
Q341396,acidcore,acidcore,Q341395,acid techno
Q341396,acidcore,acidcore,Q820049,gabber
Q341396,acidcore,acidcore,Q11693017,darkcore
Q423918,Acousmatic music,acousmatic,Q1326777,electroacoustic music
Q65936357,acoustic blues,acousticblues,Q9759,blues
Q65936357,acoustic blues,acousticblues,Q106878019,early acoustic blues
Q65936391,acoustic rock,acousticrock,Q11399,rock music
Q11817196,actor's song,actors,,
Q384064,African Gospel,africangospel,Q180268,gospel music
Q972634,African popular music,afropop,Q369820,music of Africa
Q972634,African popular music,afropop,Q373342,popular music
Q4690039,African reggae,africanreggae,Q9794,reggae
Q106641536,Afro-funk,afrofunk,Q164444,funk
Q106641536,Afro-funk,afrofunk,Q6942329,music of West Africa
Q388100,Afro-house,afrohouse,Q20502,house music
Q16993565,Afro-Peruvian music,musicaafroperuana,,
Q16024685,Afro-soul,afrosoul,Q131272,soul music
Q388296,Afrobeat,afrobeat,Q164444,funk
Q388296,Afrobeat,afrobeat,Q9048265,Yoruba music
Q85740017,Afroswing,afroswing,Q11401,hip hop music
Q1091450,aggrotech,aggrotech,Q4155078,dark electro
Q3735537,Ainu folk music,ainufolk,Q106586250,East Asian folk music
Q106641595,Albanian folk music,albanianfolk,Q1075799,music of Albania
Q106641595,Albanian folk music,albanianfolk,Q6966089,Balkan folk music
Q16357920,Albanian hip hop,albanianhiphop,Q11401,hip hop music
Q47112,Albanian iso-polyphony,albanianisopolyphony,Q685884,vocal music
Q47112,Albanian iso-polyphony,albanianisopolyphony,Q1075799,music of Albania
Q428656,album-oriented rock,albumrock,,
Q2961766,Algerian chaabi,chaabialgerien,Q2961763,chaabi
Q438476,alternative country,alternativecountry,Q83440,country music
Q2187392,alternative dance,alternativedance,Q11366,alternative rock
Q2187392,alternative dance,alternativedance,Q316930,dance music
Q438503,alternative hip hop,alternativehiphop,Q6010,rap
Q438503,alternative hip hop,alternativehiphop,Q11401,hip hop music
Q20378,alternative metal,alternativemetal,Q11366,alternative rock
Q20378,alternative metal,alternativemetal,Q38848,heavy metal
Q105338947,alternative pop,alternativepop,Q37073,pop music
Q7118426,alternative R&B,alternativerb,Q850412,contemporary R&B
Q7118426,alternative R&B,indierb,Q850412,contemporary R&B
Q11366,alternative rock,alternativerock,Q11399,rock music
Q11366,alternative rock,alternativerock,Q1695023,alternative
Q85741139,amapiano,amapiano,Q20502,house music
Q8197165,ambient black metal,ambientblackmetal,Q132438,black metal
Q8197165,ambient black metal,ambientblackmetal,Q756956,dark ambient
Q2465085,ambient house,ambienthouse,Q20502,house music
