,venue,locality,postal_code,street,country,latitude,longitude,venue_website
/venues/4419137,Jeunes Rives Neuchâtel,Neuchatel,2000,.,Switzerland,46.9996,6.934410000000001,
/venues/1760963,Tankstell Bar,St. Gallen,,.,Switzerland,47.41793,9.3644,
/venues/2111169,Brasseur des Grottes,Geneva,1201,2 Rue de la Servette,Switzerland,46.20978,6.13897,
/venues/4233339,Uptown Geneva,Geneva,1201,2 Rue de la Servette,Switzerland,46.209509999999995,6.139419999999999,
/venues/2940063,Dig It Records,Geneva,,3 rue de la Servette,Switzerland,46.20893,6.13957,
/venues/4368116,Dit It Records,Geneva,,3 rue de la Servette,Switzerland,46.20893,6.13951,
/venues/2815348,Cafe-bar Mokka,Bern,3600,Allmendstrasse 14,Switzerland,46.759840000000004,7.623880000000001,
/venues/196798,Mokka,Bern,3600,Allmendstrasse 14,Switzerland,46.75977,7.6238600000000005,
/venues/3358784,Casino De Montbenon - Salle Paderewski,Lausanne,1003,Allée Ernest-Ansermet 3,Switzerland,46.520379999999996,6.62502,
/venues/4410546,Chap'Tell Stage,Lausanne,1003,Allée Ernest-Ansermet 3,Switzerland,46.52046,6.624860000000001,
/venues/1579063,Das Zelt,Luzern,6005,Alpenquai,Switzerland,47.045159999999996,8.319939999999999,
/venues/4406885,Quai Pasa Buvette,Zug,6300,Alpenquai,Switzerland,47.17137,8.5109,https://www.quai-pasa.ch/
/venues/3140579,Schinzenhof,Zürich,8810,Alte Landstrasse 24,Switzerland,47.26012,8.597010000000001,
/venues/4233229,Schinzenhofsaal,Zürich,8810,Alte Landstrasse 24,Switzerland,47.26034,8.59703,
/venues/896376,Chäslager,Stans,6370,Alter Postplatz 3,Switzerland,46.957840000000004,8.36548,
/venues/4210229,lit.z Literaturhaus Zentralschweiz,Stans,6370,Alter Postplatz 3,Switzerland,46.957879999999996,8.36525,
/venues/2830313,Eighty Four (club Lounge Bar),Winterthur,8400,Archstrasse 8,Switzerland,47.498090000000005,8.72357,
/venues/2379459,Eighty Four 84,Winterthur,8400,Archstrasse 8,Switzerland,47.50078,8.72274,http://www.eighty-four.ch/
/venues/3156039,Club 77,Basel,4052,Auf dem Wolf 4,Switzerland,47.54027,7.61385,
/venues/2107719,Club Masquerade,Basel,4052,Auf dem Wolf 4,Switzerland,47.54018,7.61372,
/venues/4210544,Blickfelder Festival,Zürich,8005,Ausstellungsstrasse,Switzerland,47.382909999999995,8.53536,http://www.blickfelder.ch/index.php?id=3073
/venues/1260236,Jazz Party,Zürich,8400,Ausstellungsstrasse,Switzerland,47.38245,8.53603,
/venues/4325139,Jubiläum 70 Jahre FC Glattbrugg,Zürich,8152,Austrasse,Switzerland,47.42047,8.57046,http://www.fcglattbrugg.ch
/venues/3343569,Markthalle Toggenburg,Zürich,9630,Austrasse,Switzerland,47.29455,9.0898,
/venues/2732483,"Aula Magna Der Universität Freiburg, Misericorde",Fribourg,1700,Avenue de l'Europe 20,Switzerland,46.80621,7.15175,
/venues/4359405,"Aula Magna, Université De Fribourg",Fribourg,1700,Avenue de l'Europe 20,Switzerland,46.80628,7.15193,
/venues/2796193,Societe Hall,Moutier,2740,Avenue de la Liberte 9,Switzerland,47.27901,7.37374,
/venues/4352811,Sociét Hall,Moutier,2740,Avenue de la Liberte 9,Switzerland,47.27898,7.3731,
/venues/2934523,Casino Frauenfeld,Winterthur,8500,Bahnhofplatz 1,Switzerland,47.556740000000005,8.89512,
/venues/4258939,Nf49 Am Seetalplatz,Luzern,6020,Bahnhofplatz 1,Switzerland,47.07718,8.26741,
/venues/2416804,Vinotake,Bern,3775,Bahnhofplatz 1,Switzerland,46.457609999999995,7.44383,http://www.vinotake.ch/
/venues/4343654,WERFT,Luzern,6020,Bahnhofplatz 1,Switzerland,47.050259999999994,8.310310000000001,http://www.musikwerft.ch
/venues/3211233,Hotel Schweizerhof,Bern,3001,Bahnhofplatz 11,Switzerland,46.948840000000004,7.440930000000001,
/venues/1671073,Odeon,Zürich,,Bahnhofplatz 11,Switzerland,47.48148,8.20866,
/venues/2148719,Bahnhofbuffet,Dudingen,3186,Bahnhofplatz 2,Switzerland,46.85099,7.190580000000001,
/venues/2985573,Berner GenerationenHaus,Bern,3001 Bern,Bahnhofplatz 2,Switzerland,46.94802,7.43962,
/venues/4069624,Bahnhof Wil,Wil,9500,Bahnhofplatz 3,Switzerland,47.46246,9.04117,
/venues/2840198,St. Agatha Kirche,Dietikon,8953,Bahnhofplatz 3,Switzerland,47.40525,8.40438,
/venues/3688554,Jack&Jo,Winterthur,8400,Bahnhofplatz 7,Switzerland,47.5003,8.724,http://www.jackandjo.ch/
/venues/2772278,Schweizerhof Bar,Zürich,8001,Bahnhofplatz 7,Switzerland,47.37693,8.5394,
/venues/2327354,Aachtalhalle,Amriswil,8586,Bahnhofstrasse,Switzerland,47.54913,9.22203,
/venues/3302819,Am Bahnhofplatz,St. Gallen,9113,Bahnhofstrasse,Switzerland,47.37186,9.19863,
/venues/4352875,Avec.,Willisau,6130,Bahnhofstrasse,Switzerland,47.12189,7.9948,
/venues/4350933,Ev.-ref. Kirche,Wohlen,5610,Bahnhofstrasse,Switzerland,47.349340000000005,8.27184,
/venues/1070471,Podium,Dudingen,3186,Bahnhofstrasse,Switzerland,46.8506,7.192189999999999,
/venues/3972679,RockXmas,Zürich,9630,Bahnhofstrasse,Switzerland,47.29892,9.08849,http://www.zentrum-wattwil.ch
/venues/418771,Kulturkarussell Rössli,Stäfa,8712,Bahnhofstrasse 1,Switzerland,47.23949,8.71878,http://kulturkarussell.ch/
/venues/2050124,Perron 1,Sierre,3900,Bahnhofstrasse 1,Switzerland,46.318709999999996,7.98862,
/venues/4403976,Rössli Beiz,Stäfa,8712,Bahnhofstrasse 1,Switzerland,47.23964,8.718630000000001,https://www.roesslibeiz.ch
/venues/4043829,Goldauerhof,Schwyz,6410,Bahnhofstrasse 10,Switzerland,47.04977,8.54475,http://goldauerhof.ch
/venues/3831559,Ivy Club,St. Gallen,,Bahnhofstrasse 10,Switzerland,47.425709999999995,9.37266,https://www.ivyclub.ch
