,venue,locality,postal_code,street,country,latitude,longitude,venue_website,manual_input
/venues/2206528,Gwenstival,Chiasso,,,Switzerland,45.83493,9.02702,,
/venues/2748968,Jazz in Bess,Chiasso,,,Switzerland,45.83493,9.02702,,
/venues/2955063,"Sala Teatro, LAC",Lugano,6900,Piazza Bernardino Luini 6,Switzerland,46.00006,8.9484,,
/venues/3391179,"Hall, LAC",Lugano,6900,Piazza Bernardino Luini 6,Switzerland,46.00006,8.9484,,
/venues/3340969,"Palco Teatro, LAC",Lugano,6900,Piazza Bernardino Luini 6,Switzerland,46.00006,8.9484,,
/venues/3340974,Spazio Esterno Lac,Lugano,6900,Piazza Bernardino Luini 6,Switzerland,46.00006,8.9484,,
/venues/3648104,Lac - Sala Refettorio,Lugano,6900,Piazza B. Luini 6,Switzerland,46.00006,8.9484,,
/venues/3044784,"Sala 4, LAC",Lugano,6900,Piazza Bernardino Luini 6,Switzerland,46.00006,8.9484,,
/venues/3265249,Estivo Festival Lugano Switzerland,Lugano,,,Switzerland,46.00368,8.95105,,
/venues/3747654,la dispensa,Lugano,,,Switzerland,46.00368,8.95105,,
/venues/3450639,Lux Art House,Lugano,,,Switzerland,46.00368,8.95105,,
/venues/3204943,Elettrolake Festival,Lugano,,,Switzerland,46.00368,8.95105,,
/venues/2068934,Théâtre la Poste,Sierre,3930,La Poste Platz 4,Switzerland,46.00407,7.74789,,
/venues/4368288,Heinz Julen Loft,Zermatt,3920,,Switzerland,46.00407,7.74789,,
/venues/1670818,Talstation Sunnegga Express,Zermatt,3920,,Switzerland,46.00407,7.74789,,
/venues/4366420,Hennu Stall,Zermatt,3920,,Switzerland,46.00407,7.74789,,
/venues/4366907,Zermatt Unplugged | Kapelle Winkelmatten,Zermatt,3920,,Switzerland,46.00407,7.74789,,
/venues/2894903,Studio Foce,Lugano,6900,Foce 1,Switzerland,46.00562,8.9613,http://www.foce.ch,
/venues/2074089,Teatro Nuovo Studio Foce,Lugano,6900,Via Foce 1 - 6900 Lugano,Switzerland,46.00562,8.9613,,
/venues/2552984,die sonnenstube,Lugano,,,Switzerland,46.00651,8.95231,,
/venues/2693493,Blues to Bop,Lugano,,,Switzerland,46.00651,8.95231,,
/venues/2507049,Ristorante San Michele Arosio,Lugano,,,Switzerland,46.00651,8.95231,,
/venues/2835893,Radiotelevisione Svizzera Di Lingua Italiana (rsi),Lugano,,,Switzerland,46.00651,8.95231,,
/venues/2679873,spazio 1929,Lugano,,,Switzerland,46.00651,8.95231,,
