,venue,locality,postal_code,street,country,latitude,longitude,venue_website
/venues/2173104,3 Eidgenossen,Appenzell,9050,,Switzerland,47.33493,9.40659,
/venues/3286284,3 Eidgenossen,Bern,3011,Rathausgasse 69,Switzerland,46.94838,7.4485,
/venues/1891153,A2,Basel,4334,test2strasse 4,Switzerland,,,
/venues/1889048,A2,Zürich,,ui zu 4,Switzerland,47.3674,8.53813,
/venues/1596733,Aiglon,Geneva,,,Switzerland,,,
/venues/417326,Aiglon,Montreux,1860,Avenue de Loës 6,Switzerland,46.31589,6.96691,
/venues/53804,Albani,Winterthur,8400,Steinberggasse 16,Switzerland,47.49848,8.72917,http://www.albani.ch/
/venues/52483,Albani,Zürich,,,Switzerland,,,
/venues/2732438,Allmend,Bern,3014,Papiermühlestrasse,Switzerland,46.960370000000005,7.464689999999999,
/venues/2099034,Allmend,Luzern,6005,Horwerstrasse 91,Switzerland,47.033190000000005,8.30322,
/venues/418201,Alpenrock House,Kloten,,,Switzerland,,,
/venues/83404,Alpenrock House,Zürich,8060,Butzenbüelstrasse,Switzerland,47.44773,8.56855,
/venues/2593663,Alte Fabrik,Zürich,8640,5 Klaus-Gebert-Strasse,Switzerland,47.22749,8.8201,http://www.alte-fabrik.ch/
/venues/4085604,Alte Fabrik,Zürich,8640,Klaus-Gebert-Strasse 5,Switzerland,47.22737,8.81987,https://www.alte-fabrik.ch
/venues/951781,Alte Kaserne,Winterthur,8402,Technikumstrasse 8,Switzerland,47.49791,8.7314,http://www.altekaserne.winterthur.ch/default.asp?
/venues/1129916,Alte Kaserne,Zürich,8001,Kanonengasse 20,Switzerland,47.37789,8.53007,
/venues/1178911,Alte Mühle,Langenthal,4900,Mühleweg 23,Switzerland,47.2147,7.7922199999999995,
/venues/4356248,Alte Mühle,St. Gallen,9473,Müliweg 5,Switzerland,47.20426,9.44063,
/venues/3649034,Altes Zeughaus,Herisau,,,Switzerland,47.3857,9.27985,
/venues/4420331,Altes Zeughaus,Luzern,6460,Lehnplatz,Switzerland,46.88075,8.64433,
/venues/884651,Alti Moschti,Bern,,,Switzerland,,,
/venues/3379234,Alti Moschti,Bern,3127,Moosstrasse 1,Switzerland,46.81474,7.513910000000001,http://www.altimoschti.ch/
/venues/4227849,Amphitheater Hüntwangen,Wil,8194 Hüntwangen,Badenerlandstrasse,Switzerland,47.5938,8.502410000000001,
/venues/1505778,Amphitheater Hüntwangen,Zürich,8194,Hüntwangen,Switzerland,47.5895,8.500689999999999,
/venues/3287464,Art Café,Basel,4133,Gallenweg 19,Switzerland,47.52438,7.69418,
/venues/376061,Art Café,Grenchen,,,Switzerland,,,
/venues/126951,Art On Ice,Lausanne,,,Switzerland,,,
/venues/126952,Art On Ice,Zürich,,,Switzerland,,,
/venues/1880503,Ascona Big Band,Locarno,,p.zza elvezia,Switzerland,46.15732,8.77736,
/venues/2053764,Ascona Big Band,Locarno,,,Switzerland,,,http://www.asconabigband.ch
