,venue_id,linked_venue_id,venue,locality,latitude,longitude
0,/venues/2351864,/venues/2351864,"""Moon and Stars"" Open Air",Locarno,,
1,/venues/1265176,/venues/1265176,'mischkult-kultur Am Mischpult' on Rabe Radio 95.6 Mhz,Bern,,
2,/venues/2311809,/venues/2311809,1 to 1 Energy Happening,Lyss,,
3,/venues/2938518,/venues/2938518,1. Mai-feier,Bern,46.75974,7.62869
4,/venues/613866,/venues/613866,1. Stock,Basel,,
5,/venues/4367944,/venues/4367944,1.Stock,Basel,47.50828,7.61618
6,/venues/1267681,/venues/1267681,10 Years Aaah Club,Zürich,,
7,/venues/4073019,/venues/4073019,100 Tage Warschau,Basel,47.5484,7.5887
8,/venues/1867083,/venues/1867083,1001,Amriswil,47.54096,9.28957
9,/venues/3617389,/venues/3617389,1066 Festival,Lausanne,46.51965,6.63227
10,/venues/4347529,/venues/4347529,10ème Rencontre voitures anciennes,Montreux,46.52986,6.9069
11,/venues/4363475,/venues/4363475,12 Barres,Fribourg,46.80403,7.166530000000002
12,/venues/2848088,/venues/2848088,1200MICROMETERS OUTDOOR RITUAL - Labyrinthine Crew,Lugano,46.00651,8.95231
13,/venues/2408129,/venues/2408129,125 Jahre SP Jubiläum,Bern,,
14,/venues/3523174,/venues/3523174,1733-Weinlokal,St. Gallen,47.42763,9.37689
15,/venues/3994679,/venues/3994679,175 Jahre Haldengut,Winterthur,,
16,/venues/4389346,/venues/4389346,1881 Kantine,Solothurn,47.22484,7.580089999999998
17,/venues/1951394,/venues/1951394,200 anniversary Collège of Delémont,Basel,,
18,/venues/4371666,/venues/4371666,"20doorsclub, Schlieren",Zürich,47.40208,8.46068
19,/venues/3979674,/venues/3979674,24h-Shop,Zürich,47.37941,8.527560000000001
20,/venues/2104529,/venues/2104529,25Hours Hotel,Zürich,47.36865,8.53918
21,/venues/2034709,/venues/2034709,2floor,Wettingen,,
22,/venues/4044449,/venues/3958664,2m2c Montreux Music & Convention Center,Montreux,46.43922,6.90435
23,/venues/1221141,/venues/1221141,2she',Locarno,,
24,/venues/2486884,/venues/2486884,2uo Club,Biel,47.13572,7.247560000000001
25,/venues/2489854,/venues/2489854,2ème Acte,Nyon,46.41931,6.2658
26,/venues/2173104,/venues/2173104,3 Eidgenossen,Appenzell,47.33493,9.40659
27,/venues/3286284,/venues/3286284,3 Eidgenossen,Bern,46.94838,7.4485
28,/venues/4382429,/venues/4382429,3. Alpen-Welle Schlager Open Air,Sierre,46.37962,7.626489999999999
29,/venues/4049539,/venues/4049539,30 Stunden Festival,Zug,,
30,/venues/2605973,/venues/2605973,32 Tattoo,Bern,46.94792,7.444610000000001
31,/venues/2166264,/venues/2166264,3raum,Arosa,,
32,/venues/2048354,/venues/2048354,4. Akt,Zürich,47.38953,8.52179
33,/venues/4205339,/venues/4205339,40 ans FC Châtel St-Denis,Montreux,,
34,/venues/4255354,/venues/4255354,40 ans du Jura,Biel,47.2551,6.99799
35,/venues/4196689,/venues/4221109,40è Jura,Biel,47.25454000000001,6.9980699999999985
36,/venues/4221109,/venues/4221109,40ème anniversaire du Canton du Jura,Biel,47.25454000000001,6.9980699999999985
37,/venues/3637199,/venues/505121,43. Winterthurer Musikfestwochen,Winterthur,47.49831,8.72831
38,/venues/3775674,/venues/3775674,4i Bar,Cham,47.18123,8.45921
39,/venues/1570503,/venues/1570503,52'000 Beats & Vinyl Club,Lausanne,,
40,/venues/4205404,/venues/4205404,55ème Fête de la Jeunesse jurassienne,Moutier,,
41,/venues/3424034,/venues/3424034,6500 Bar Music Club,Locarno,46.18663,9.01414
42,/venues/2865133,/venues/2865133,7132 Hotel,Chur,46.61785,9.18047
43,/venues/4047239,/venues/4047239,7132 Therme,Chur,46.55731,9.13429
44,/venues/4220154,/venues/4220154,7peaks riverstyle,Montreux,,
45,/venues/4356638,/venues/4356638,"7th. Heaven Club, Rothis",Gampel,46.30521,7.73395
46,/venues/3133229,/venues/3133229,8 Bar,Basel,47.56036,7.5914899999999985
47,/venues/3398569,/venues/3398569,8304 Bar & Lounge,Zürich,47.41562,8.58897
48,/venues/4237939,/venues/4315914,8x15 (Arcas Rock),Chur,46.84795,9.53171
49,/venues/4368942,/venues/4368942,90 Grad Bar,Aarau,47.39132,8.04767
50,/venues/4390812,/venues/4390812,975 Jahre Wettingen,Wettingen,,
51,/venues/3614809,/venues/3614809,A Bloc Festival,Martigny,46.10498,7.0755300000000005
52,/venues/3408609,/venues/3408609,A Burning Man,Bern,46.87468,7.56275
53,/venues/2827793,/venues/2827793,A Côté,Yverdon-Les-Bains,46.91103,6.61193
54,/venues/4128314,/venues/4128314,A VIP Club,Bern,46.68535,7.66788
55,/venues/3892314,/venues/2747113,A la Pointe,Geneva,46.2014,6.12323
56,/venues/4393300,/venues/4393300,A'dam,Brienz,46.75415,8.035839999999999
57,/venues/4383598,/venues/4383598,A13,Lugano,,
58,/venues/1889048,/venues/1889048,A2,Zürich,47.3674,8.53813
59,/venues/1891153,/venues/1891153,A2,Basel,,
60,/venues/1891163,/venues/1891163,A4,Olten,,
61,/venues/3687504,/venues/3687504,A4-Träff,Winterthur,47.58171,8.68247
62,/venues/551486,/venues/551486,ACM,Zürich,,
63,/venues/3649279,/venues/3649279,"ACP Garage Club, Giswil",Luzern,46.84328,8.18219
64,/venues/126333,/venues/126333,AJZ Gaskessel,Biel,,
65,/venues/3953799,/venues/3953799,AKB Roadrunner,Aarau,,
66,/venues/2535024,/venues/2535024,AKuT,Bern,46.75053,7.63322
67,/venues/4388995,/venues/4388995,ALL IN ONE HOTEL INN LODGE,St. Moritz,,
68,/venues/4059774,/venues/4085604,ALTEFABRIK,Zürich,47.22737,8.81987
69,/venues/4280099,/venues/4280099,ALTER BOTANISCHER GARTEN,Zürich,47.37082,8.53428
70,/venues/4359271,/venues/4359271,AMERON Hotel,Davos,,
71,/venues/575161,/venues/575161,AMR,Geneva,46.20973,6.14583
72,/venues/4345954,/venues/4345954,AMR Sud des Alpes,Geneva,46.20977,6.14584
73,/venues/3184134,/venues/3184134,"ARK, Ausstellungsraum Klingental",Basel,47.5596,7.58858
74,/venues/76857,/venues/76857,AVO Session Messe,Basel,,
75,/venues/2327354,/venues/2327354,Aachtalhalle,Amriswil,47.54913,9.22203
76,/venues/2863003,/venues/2863003,Aarburg Im Städtli an Der Aare,Aarburg,47.31908,7.89854
77,/venues/1632528,/venues/1632528,Aaregarage,Bern,,
78,/venues/4346284,/venues/4346284,Aargauer Kunsthaus,Aarau,47.39046,8.0452
79,/venues/4048884,/venues/4048884,Aateigi,Stans,46.89684000000001,8.24585
80,/venues/32250,/venues/32250,Abart,Zürich,47.36167,8.52243
81,/venues/3535439,/venues/3535439,Abbaye De Saint-maurice,Lausanne,46.2199,7.0039
82,/venues/1947229,/venues/1947229,Abbey Fraumünster,Zürich,47.36998,8.54074
83,/venues/134818,/venues/134818,Abcmixx,Luzern,,
84,/venues/986136,/venues/986136,Abendrundfahrt Auf Dem Bielersee,Biel,47.13678,7.24679
85,/venues/986141,/venues/986141,Abendrundfahrt Auf Der Aare,Solothurn,47.20883,7.53229
86,/venues/4129814,/venues/4129814,Abendunterhaltung TV-Dinhard,Winterthur,47.48833,8.75077
87,/venues/1442978,/venues/1442978,Abfahrt Bürkliplatz,Zürich,47.37416,8.53963
88,/venues/1566253,/venues/1566253,Abseits,Zürich,,
89,/venues/3153029,/venues/3153029,Absolut Club,Dubendorf,47.40528,8.725430000000001
90,/venues/4195934,/venues/4195934,Abyss Festival,Fribourg,46.68209,7.1092
91,/venues/4383369,/venues/4383369,Abyssinia Social Club,Bern,,
92,/venues/1148641,/venues/1148641,Acanto,Zürich,47.38789000000001,8.51864
93,/venues/3284884,/venues/3284884,Acapella,Sion,,
94,/venues/3975754,/venues/3975754,Ace Cafe,Luzern,,
95,/venues/4073039,/venues/4073039,Achterbar,Wetzikon,47.33119,8.78997
96,/venues/1623693,/venues/1623693,Ackermannshof - Theatersaal,Basel,47.57058,7.57406
97,/venues/1665733,/venues/1665733,Acoustic Nights,Frutigen-Niedersimmental,,
98,/venues/1379146,/venues/1379146,Acqua,Zürich,47.35885,8.53697
99,/venues/3194979,/venues/3194979,Adagio,Zürich,47.36599,8.53725
100,/venues/4353904,/venues/4353904,Adler Bar,Gossau,47.41569000000001,9.26396
101,/venues/3097584,/venues/3097584,Adlersaal - St. Georgen,St. Gallen,47.41647,9.38175
102,/venues/4418891,/venues/4418891,Adolph-Saurer-Quai,Arbon,,
103,/venues/3963549,/venues/3963549,Adventist English Group Vaud,Lausanne,46.51401,6.63083
104,/venues/4176419,/venues/4176419,Aegerihalle,Zürich,47.13822,8.58197
105,/venues/451376,/venues/451376,Aera,Zürich,,
106,/venues/417336,/venues/417336,Aeropuerto,Ambrí,,
107,/venues/1440963,/venues/1440963,Affoltern A.a,Zürich,,
108,/venues/1845353,/venues/1845353,Afg Arena,St. Gallen,47.40763,9.30394
109,/venues/457221,/venues/457221,Afro Pfingsten,Winterthur,47.48569000000001,8.729289999999999
110,/venues/993251,/venues/993251,Afro-pfingsten Festival,Winterthur,,
111,/venues/2107354,/venues/2107354,After Manege,Zürich,,
112,/venues/2137824,/venues/2137824,Afterhours,Neuchatel,,
113,/venues/2139084,/venues/2139084,Aftersky,Sierre,46.19734,7.1729699999999985
114,/venues/4176514,/venues/4176514,Agno Open Air,Lugano,45.99698,8.899389999999997
115,/venues/4326554,/venues/4326554,Agno Open Air Festival,Lugano,45.99276,8.90051
116,/venues/1828238,/venues/1828238,Ah.. Oui! Biscuit,Biel,,
117,/venues/418076,/venues/418076,Aids Event,Geneva,,
118,/venues/3222864,/venues/3222864,Aigl' in Music,Montreux,46.31882,6.96426
119,/venues/4205354,/venues/4205354,Aigle Noir Neyruz,Fribourg,,
120,/venues/417326,/venues/417326,Aiglon,Montreux,46.31589,6.96691
121,/venues/1596733,/venues/1596733,Aiglon,Geneva,,
122,/venues/59211,/venues/59211,Air Tufertschwil,St. Gallen,,
123,/venues/240153,/venues/240153,Airport Casino,Basel,,
124,/venues/88797,/venues/88797,Airport Grande Casino,Basel,,
125,/venues/4362443,/venues/4362443,Airport Hotel,Basel,47.57378,7.56366
126,/venues/3564489,/venues/3564489,Aki,Bern,46.95251,7.4382
127,/venues/2701753,/venues/2701753,Akkordeon Festival Zug,Zug,47.15583,8.53149
128,/venues/3949334,/venues/3949334,Akkordeontage,St. Gallen,,
129,/venues/3740249,/venues/3740249,Akku Emmen,Luzern,47.07187,8.279069999999999
130,/venues/3574479,/venues/3574479,Aktienmühle,Basel,47.5596,7.58858
131,/venues/49067,/venues/49067,Aktionshalle,Zürich,,
132,/venues/2189939,/venues/2189939,Aktionshalle Stanzerei,Baden,47.47573,8.30397
133,/venues/3919734,/venues/3919734,Akustik Terrasse Kammgarn,Schaffhausen,,
134,/venues/4269504,/venues/4269504,Al Braciere,Locarno,46.14998,8.733889999999999
135,/venues/2735178,/venues/2735178,Alabama Besenbar,Zürich,47.65249,8.7894
136,/venues/3853009,/venues/3853009,Alambic Bar & Club | Fleurier,Neuchatel,46.90286,6.57687
137,/venues/1892108,/venues/1892108,Alass,Zofingen,,
138,/venues/53804,/venues/53804,Albani,Winterthur,47.49848,8.72917
139,/venues/52483,/venues/52483,Albani,Zürich,,
140,/venues/1869903,/venues/1869903,Albanifest,Winterthur,,
141,/venues/1614643,/venues/1614643,Albigustli,Zürich,47.35217,8.508239999999999
142,/venues/4346066,/venues/4346066,Albrechtstrasse 1,Winterthur,,
143,/venues/1665223,/venues/1665223,Alcan Areal,Rorschach,47.47514,9.49568
144,/venues/2161334,/venues/2161334,Alcan Fabrik,Rorschach,47.47378,9.48746
145,/venues/1629923,/venues/1629923,Alcatraz,Solothurn,47.1711,7.57331
