artist_id,match_error,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18,linked_artist_id
/artists/3973706-giannes-kharoules,,Γιάννης Χαρούλης,Giannis Haroulis,5cRPbjGpHYjeiBXfjNWOws,0.06,43,62341,68900,entehno,greek pop,,,,,,,,,,,,,,,,,
/artists/3033996-nochnyie-snaipiery,X,Ночные Снайперы,Diana Arbenina,3agWPIiWtN5ARZj1iMz5gk,0.07,45,137715,28900,,,,,,,,,,,,,,,,,,,/artists/7442334-diana-arbenina
/artists/10164684-eric-flores-aa,X,ÉRIC Flores AA,"Joe Rotondi, Danilo Lozano, Arturo Velasco, Dan Fornero, Ramon Flores, Francisco Torres, Andy Suzuki, Eric Jorgenson, Phil Moore, Aaron Serfaty, Roberto Fernandez",2k10r80WdyttmKfjW8fh2I,0.15,0,0,2,,,,,,,,,,,,,,,,,,,
/artists/8659244-jeff-lynnes-elo,,Jeff Lynne's ELO,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,0.15,75,2984849,10500000,album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock,,,,,,,,,,
/artists/8022443-colin-morton-group,X,Colin Morton Group,"Choir of King's College, Cambridge",0f3PsS9IQ6whvNMFFKnpjl,0.19,57,57918,1000000,british choir,cambridge choir,choral,,,,,,,,,,,,,,,,
/artists/8406028-keep-talking,X,Keep Talking,Digga D,57n1OF36WvtOeATY6WQ6iw,0.21,73,357224,3500000,aussie drill,london rap,,,,,,,,,,,,,,,,,
/artists/83793-le-mystere-des-voix-bulgares,X,Le mystère des voix bulgares,Bulgarian State Television Female Choir,5j3PVTaVrMlssk4IC0kumd,0.21,32,12546,24600,bulgarian folk,polyphony,women's choir,,,,,,,,,,,,,,,,
/artists/8843369-maha-bk,X,maha bk,Srila Bk. Atulananda A. Maharaj,1pB8rKURhSz7igOapPuox0,0.21,1,24,23,,,,,,,,,,,,,,,,,,,
/artists/429888-rompeprop,X,Rompeprop,Cerebral Incubation,2gpu0EtvWqIdVLzZwR0XAA,0.21,23,13267,5800,brutal death metal,goregrind,pornogrind,slam death metal,,,,,,,,,,,,,,,
/artists/540806-make-up-your-mind,X,Make Up Your Mind,Tatyana Ali,4ZYkqq2f8wA9vkV4iQIo4C,0.21,36,27662,78400,hip pop,,,,,,,,,,,,,,,,,,
/artists/2355837-orquesta-buena-vista-social-club,X,Orquesta Buena Vista Social Club,"Nik Phillips, Matraville Soldiers’ Settlement School, Cape Byron Rudolf Steiner School, Newton Faulkner, Orquesta Buena Vista Social Club®, Herb Armstrong, Katie Noonan, Tim Freedman, Natalie Pa'apa'a (Blue King Brown), Omara Portuondo, Don Spencer & Angie Whiteley",1hS2yXx0nJMFPdYoAMcEqX,0.22,0,125,45,,,,,,,,,,,,,,,,,,,
