spotify_genre,occurrences
21st century classical,6
5th wave emo,6
a cappella,13
aarhus indie,5
aberdeen indie,1
abstract,4
abstract beats,8
abstract hip hop,43
abstract idm,1
abstractro,5
accordeon,2
accordion,7
acid house,19
acid idm,5
acid jazz,3
acid rock,4
acid techno,11
acid trance,3
acousmatic,3
acoustic blues,5
acoustic cover,3
acoustic pop,37
acoustic punk,12
acoustic rock,13
action rock,19
adoracao,1
adult standards,48
aesthetic rap,4
afghan rap,1
african electronic,6
african experimental,3
african metal,1
african percussion,3
african reggae,5
african rock,6
african-american classical,2
afrikaans,1
afro dancehall,11
afro house,14
afro psych,1
afro r&b,1
afro soul,4
afro-cuban percussion,3
afro-funk,5
afrobeat,32
afrobeat brasileiro,1
afrobeat fusion,4
afrofuturism,25
afrofuturismo brasileiro,5
afropop,89
afroswing,4
aggrotech,36
ai,2
alabama indie,3
alabama metal,5
alabama rap,2
alaska indie,4
albanian folk,1
albanian hip hop,9
albanian pop,7
albany ny indie,2
alberta country,3
alberta hip hop,3
album rock,159
albuquerque indie,3
algerian folk,1
alphorn,1
alpine yodeling,1
alt z,37
alternative americana,17
alternative country,80
alternative dance,166
alternative emo,61
alternative hardcore,1
alternative hip hop,124
alternative metal,210
alternative metalcore,2
alternative pop,25
alternative pop rock,4
alternative r&b,61
alternative rock,213
alternative roots rock,19
ambeat,3
ambient,34
ambient black metal,3
ambient folk,14
ambient house,4
ambient idm,7
ambient industrial,5
ambient pop,7
ambient post-rock,3
ambient psychill,4
ambient techno,11
ambient trance,2
american 21st century classical,4
american classical piano,6
american contemporary classical,3
american folk revival,1
american grindcore,8
american melodeath,7
american metalcore,8
american oi,6
american orchestra,1
american post-rock,19
american primitive,9
american shoegaze,10
amharic pop,1
anarcho-punk,5
anime,1
anime latino,3
anime lo-fi,1
anime rap,1
anime rock,1
ann arbor indie,2
anthem emo,39
anthem worship,4
anti-folk,54
antideutsche,45
appenzeller folk,2
arab alternative,17
arab electronic,9
arab experimental,3
arab folk,13
arab groove,7
arab metal,1
arab pop,4
arabesk,3
arabic hip hop,4
arabic jazz,18
argentine ambient,2
argentine hardcore,1
argentine indie,5
argentine jazz,3
argentine metal,4
argentine punk,6
argentine reggae,1
argentine rock,11
argentine telepop,1
arizona punk,3
arkansas country,4
arkansas indie,3
arkansas metal,1
art pop,187
art punk,15
art rock,144
art song,4
asbury park indie,3
asheville indie,4
asian american hip hop,4
athens indie,7
atl hip hop,21
atl trap,2
atlanta indie,7
atlanta metal,10
atlanta punk,3
atmosphere,2
atmospheric black metal,39
atmospheric dnb,4
atmospheric doom,8
atmospheric post-metal,12
atmospheric post-rock,6
atmospheric sludge,15
auckland indie,7
audiophile vocal,4
aussie drill,3
aussie emo,4
aussietronica,9
austin americana,3
austin rock,4
austin singer-songwriter,2
austindie,15
australian alternative pop,3
australian alternative rock,20
australian ambient,4
australian americana,5
australian black metal,5
australian blues,5
australian classical piano,1
australian country,1
australian dance,17
australian death metal,6
australian electropop,6
australian experimental,6
australian garage punk,20
australian hardcore,3
australian hip hop,5
australian house,3
australian indie,29
australian indie folk,8
australian indie rock,9
australian indigenous,2
australian jazz,4
australian metal,21
australian metalcore,10
australian pop,36
australian post-hardcore,9
australian post-punk,3
australian post-rock,2
australian psych,13
australian r&b,3
australian reggae fusion,11
australian rock,17
australian shoegaze,2
australian singer-songwriter,13
australian ska,4
australian talent show,2
australian techno,1
australian thrash metal,5
australian trap,3
australian underground hip hop,3
austrian black metal,6
austrian classical piano,2
austrian contemporary classical,1
austrian dnb,3
austrian hip hop,6
austrian indie,10
austrian jazz,11
austrian metal,21
austrian orchestra,4
austrian pop,25
austrian punk,10
austrian stoner rock,6
austrian techno,3
austropop,22
auteur-compositeur-interprete quebecois,16
autoharp,2
autonomous black metal,12
avant-garde,10
avant-garde black metal,8
avant-garde jazz,47
avant-garde metal,31
avant-rock,7
axe,11
azeri pop,1
azeri rap,1
azeri traditional,2
azonto,5
azontobeats,13
bachata,8
bachata dominicana,5
background jazz,6
background music,4
background piano,2
backing track,1
bagpipe,2
baiao,1
bakersfield sound,1
bal-musette,1
balafon,7
balearic,13
balfolk,3
balkan beats,21
balkan brass,42
balkan classical piano,1
balkan folk metal,5
balkan hip hop,3
balkan trap,2
ballroom,3
baltic black metal,3
baltic classical piano,2
baltic folk,2
baltic post-punk,2
baltimore indie,13
banda caliente,1
bandolim,1
bandoneon,8
bangalore indie,2
bangladeshi rock,1
banjo,9
barbadian pop,1
barbershop,2
bard,2
bardcore,1
barnmusik,2
barockinterpreten,5
baroque,2
baroque brass,1
baroque cello,1
baroque ensemble,7
baroque pop,29
baroque singing,8
baroque violin,4
baroque woodwind,2
basel indie,42
bass house,29
bass music,62
bass trap,15
bass trip,3
basshall,4
bassline,6
bath indie,3
batida,3
baton rouge rap,2
battle rap,3
bay area hip hop,1
bay area indie,27
bayerischer rap,10
bboy,19
bc underground hip hop,5
beat italiano,2
beatboxing,13
beatdown,17
beatlesque,6
bebop,11
bedroom pop,11
bedroom soul,2
belarusian indie,2
belarusian metal,3
belfast indie,8
belfast metal,1
belgian black metal,7
belgian blues,6
belgian dance,4
belgian death metal,2
belgian edm,15
belgian electronic,3
belgian experimental,3
belgian hardcore,4
belgian hip hop,20
belgian indie,51
belgian indie rock,18
belgian jazz,7
belgian metal,18
belgian modern jazz,5
belgian new wave,6
belgian pop,22
belgian post-rock,7
belgian rock,35
belgian singer-songwriter,7
belgian stoner rock,7
belgian techno,5
belly dance,3
belo horizonte indie,1
bemani,2
benga,2
beninese pop,2
bergamo indie,2
bergen indie,14
berlin minimal techno,1
berlin school,3
bern indie,57
bhangra,2
big band,10
big beat,58
big room,20
binaural,1
birdsong,2
birmingham grime,2
birmingham hip hop,3
birmingham indie,5
birmingham metal,8
bitpop,8
black 'n' roll,7
black death,24
black metal,69
black metal argentino,1
black punk,5
black sludge,15
black speed metal,3
black thrash,19
blackened crust,7
blackened deathcore,9
blackened hardcore,17
blackgaze,20
blaskapelle,5
blasmusik,8
bleep techno,1
bluegrass,7
bluegrass gospel,3
blues,49
blues band,3
blues rock,122
blues-rock guitar,7
bmore,8
bolero,1
bolero cubano,1
boogaloo,1
boogie,1
boogie-woogie,11
boom bap,28
boom bap brasileiro,1
boom bap espanol,1
bosnian indie,3
bossa nova,24
bossa nova jazz,2
boston electronic,3
boston folk,2
boston hardcore,9
boston hip hop,13
boston indie,3
boston metal,9
boston punk,5
boston rock,18
bouncy house,1
bow pop,31
boy band,20
braindance,7
brass band,19
brass band brasileiro,1
brass ensemble,14
brass quintet,2
brazilian bass,1
brazilian black metal,2
brazilian boogie,1
brazilian death metal,9
brazilian dnb,4
brazilian edm,6
brazilian gospel,3
brazilian groove metal,1
brazilian hardcore,4
brazilian hip hop,6
brazilian house,2
brazilian indie,6
brazilian indie rock,1
brazilian jazz,5
brazilian metal,7
brazilian modern jazz,3
brazilian percussion,2
brazilian post-hardcore,1
brazilian power metal,1
brazilian progressive metal,1
brazilian punk,4
brazilian punk rock,1
brazilian reggae,7
brazilian rock,13
brazilian rockabilly,1
brazilian soul,2
brazilian stoner rock,2
brazilian surf rock,1
brazilian techno,4
brazilian thrash metal,3
breakbeat,18
breakcore,12
breaks,1
brega romantico,1
breton folk,7
brighton indie,30
brill building pop,16
brisbane indie,3
bristol electronic,14
bristol indie,17
brit funk,5
british alternative rock,32
