,counter,occurrences,genres
indie,33,1377,"['adelaide indie', 'belo horizonte indie', 'bulgarian indie', 'cornwall indie', 'delaware indie', 'euskal indie', 'galway indie', 'hong kong indie', 'hungarian indie', 'indie boliviano', 'indie cordoba', 'indie liguria', 'indie tico', 'indie triste', 'isle of wight indie', 'kansai indie', 'limerick indie', 'lincoln ne indie', 'milwaukee indie', 'minneapolis indie', 'monterrey indie', 'normal indie', 'north dakota indie', 'pakistani indie', 'perth indie', 'portsmouth indie', 'san antonio indie', 'sardinia indie', 'slc indie', 'svensk indie', 'trondheim indie', 'venezuelan indie', 'west yorkshire indie']"
beats,3,87,"['focus beats', 'italo beats', 'study beats']"
musica,3,87,"['musica mato-grossense', 'musica para ninos', 'musica triste brasileira']"
viola,2,47,"['viola', 'viola da gamba']"
west,2,44,"['old west', 'west yorkshire indie']"
deep,2,44,"['deep discofox', 'deep flow']"
triste,2,44,"['indie triste', 'musica triste brasileira']"
worship,2,44,"['chinese worship', 'french worship']"
lagu,2,44,"['lagu iban', 'lagu sunda']"
musik,2,44,"['finlandssvenska musik', 'musik anak-anak']"
fake,1,5,['fake']
tribute,1,4,['tribute']
kindermusik,1,4,['kindermusik']
harpsichord,1,3,['harpsichord']
huzunlu,1,3,['huzunlu sarkilar']
coverchill,1,3,['coverchill']
cornwall,1,3,['cornwall indie']
sarkilar,1,3,['huzunlu sarkilar']
dakota,1,2,['north dakota indie']
tico,1,2,['indie tico']
ukulele,1,2,['ukulele']
folclor,1,2,['folclor afrocolombiano']
afrocolombiano,1,2,['folclor afrocolombiano']
taiko,1,2,['taiko']
north,1,2,['north dakota indie']
isle,1,2,['isle of wight indie']
of,1,2,['isle of wight indie']
kleine,1,2,['kleine hoerspiel']
effects,1,2,['sound effects']
sound,1,2,['sound effects']
lesen,1,2,['lesen']
sardinia,1,2,['sardinia indie']
neomelodici,1,2,['neomelodici']
hoerspiel,1,2,['kleine hoerspiel']
wight,1,2,['isle of wight indie']
classify,1,2,['classify']
covertrance,1,2,['covertrance']
barnmusik,1,2,['barnmusik']
duduk,1,1,['duduk']
old,1,1,['old west']
groove,1,1,['rare groove']
rare,1,1,['rare groove']
rain,1,1,['rain']
psychedelia,1,1,['polish psychedelia']
francais,1,1,['plugg francais']
plugg,1,1,['plugg francais']
birdsong,1,1,['birdsong']
ocean,1,1,['ocean']
kombina,1,1,['ritmo kombina']
nursery,1,1,['nursery']
cancion,1,1,['cancion infantil latinoamericana']
infantil,1,1,['cancion infantil latinoamericana']
normal,1,1,['normal indie']
latinoamericana,1,1,['cancion infantil latinoamericana']
anak-anak,1,1,['musik anak-anak']
brasileira,1,1,['musica triste brasileira']
ninos,1,1,['musica para ninos']
para,1,1,['musica para ninos']
ritmo,1,1,['ritmo kombina']
antonio,1,1,['san antonio indie']
san,1,1,['san antonio indie']
cantautora,1,1,['cantautora argentina']
workout,1,1,['workout product']
yorkshire,1,1,['west yorkshire indie']
washboard,1,1,['washboard']
gamba,1,1,['viola da gamba']
da,1,1,['viola da gamba']
backing,1,1,['backing track']
remix,1,1,['vgm remix']
vgm,1,1,['vgm remix']
track,1,1,['backing track']
dnb,1,1,['belgian dnb']
svensk,1,1,['svensk indie']
study,1,1,['study beats']
invasion,1,1,['spanish invasion']
belo,1,1,['belo horizonte indie']
horizonte,1,1,['belo horizonte indie']
sleep,1,1,['sleep']
slc,1,1,['slc indie']
shojo,1,1,['shojo']
binaural,1,1,['binaural']
mato-grossense,1,1,['musica mato-grossense']
mgp,1,1,['mgp']
euskal,1,1,['euskal indie']
melodipop,1,1,['melodipop']
boliviano,1,1,['indie boliviano']
africaine,1,1,['comptine africaine']
kong,1,1,['hong kong indie']
hong,1,1,['hong kong indie']
ccb,1,1,['hinos ccb']
hinos,1,1,['hinos ccb']
dakke,1,1,['dakke dak']
guqin,1,1,['guqin']
galway,1,1,['galway indie']
fotbollslatar,1,1,['fotbollslatar']
portugues,1,1,['folclore portugues']
folclore,1,1,['folclore portugues']
dak,1,1,['dakke dak']
darbuka,1,1,['darbuka']
discofox,1,1,['deep discofox']
focus,1,1,['focus beats']
flow,1,1,['deep flow']
finlandssvenska,1,1,['finlandssvenska musik']
demoscene,1,1,['demoscene']
cordoba,1,1,['indie cordoba']
liguria,1,1,['indie liguria']
comptine,1,1,['comptine africaine']
classic,1,1,['classic eurovision']
louvor,1,1,['louvor']
limerick,1,1,['limerick indie']
argentina,1,1,['cantautora argentina']
sunda,1,1,['lagu sunda']
iban,1,1,['lagu iban']
audiophile,1,1,['chinese audiophile']
kollywood,1,1,['kollywood']
cimbalom,1,1,['cimbalom']
eurovision,1,1,['classic eurovision']
nacionales,1,1,['combos nacionales']
roots,1,1,['kentucky roots']
kansai,1,1,['kansai indie']
jugendchor,1,1,['jugendchor']
vtuber,1,1,['japanese vtuber']
j-division,1,1,['j-division']
italo,1,1,['italo beats']
afrikaans,1,1,['afrikaans']
combos,1,1,['combos nacionales']
product,1,1,['workout product']
