spotify_genre,occurrences
21st century classical,6
5th wave emo,6
a cappella,13
aarhus indie,5
aberdeen indie,1
abstract,5
abstract beats,8
abstract hip hop,42
abstract idm,1
abstractro,5
accordeon,3
accordion,9
acid house,19
acid idm,5
acid jazz,4
acid rock,3
acid techno,11
acid trance,4
acousmatic,3
acoustic blues,5
acoustic cover,4
acoustic pop,36
acoustic punk,11
acoustic rock,13
action rock,18
adelaide indie,1
adoracao,1
adult standards,48
aesthetic rap,2
afghan rap,1
african electronic,7
african experimental,4
african metal,1
african percussion,3
african reggae,5
african rock,6
african-american classical,2
afrikaans,1
afro dancehall,8
afro house,16
afro psych,2
afro soul,5
afro-cuban percussion,3
afro-funk,5
afrobeat,30
afrobeat brasileiro,1
afrobeat fusion,4
afrofuturism,27
afrofuturismo brasileiro,4
afropop,87
afroswing,1
aggrotech,38
ai,1
alabama indie,3
alabama metal,5
alabama rap,2
alaska indie,4
albanian folk,1
albanian hip hop,9
albanian pop,4
albany ny indie,2
alberta country,3
alberta hip hop,2
album rock,155
albuquerque indie,3
algerian folk,1
alphorn,1
alpine yodeling,2
alt z,34
alternative americana,16
alternative country,82
alternative dance,174
alternative emo,53
alternative hardcore,1
alternative hip hop,119
alternative metal,213
alternative metalcore,2
alternative pop,26
alternative pop rock,5
alternative r&b,65
alternative rock,211
alternative roots rock,19
ambeat,3
ambient,32
ambient black metal,3
ambient folk,14
ambient house,5
ambient idm,5
ambient industrial,6
ambient pop,7
ambient post-rock,3
ambient psychill,2
ambient techno,11
ambient trance,1
american 21st century classical,4
american classical piano,6
american contemporary classical,3
american folk revival,1
american grindcore,8
american melodeath,6
american metalcore,8
american oi,6
american orchestra,1
american post-rock,19
american primitive,9
american shoegaze,9
amharic pop,1
anarcho-punk,5
anime,5
anime rap,1
anime rock,2
anime score,1
ann arbor indie,2
anthem emo,38
anthem worship,3
anti-folk,55
antideutsche,45
appenzeller folk,2
arab alternative,18
arab electronic,10
arab experimental,4
arab folk,13
arab groove,7
arab metal,1
arab pop,4
arabesk,2
arabic hip hop,5
arabic jazz,19
argentine ambient,2
argentine hardcore,1
argentine indie,6
argentine jazz,3
argentine metal,4
argentine punk,7
argentine reggae,1
argentine rock,11
argentine telepop,1
arizona punk,4
arkansas country,4
arkansas indie,3
arkansas metal,1
armenian pop,1
art pop,186
art punk,17
art rock,148
art song,4
asbury park indie,3
asheville indie,4
asian american hip hop,4
athens indie,6
atl hip hop,20
atl trap,1
atlanta indie,7
atlanta metal,10
atlanta punk,3
atlantic canada hip hop,1
atmosphere,2
atmospheric black metal,44
atmospheric dnb,4
atmospheric doom,8
atmospheric post-metal,14
atmospheric post-rock,6
atmospheric sludge,16
auckland indie,7
audiophile vocal,4
aussie drill,3
aussie emo,4
aussietronica,8
austin americana,3
austin rock,4
austin singer-songwriter,2
austindie,16
australian alternative pop,4
australian alternative rock,20
australian ambient,4
australian americana,5
australian black metal,5
australian blues,5
australian classical piano,1
australian comedy,1
australian country,1
australian dance,17
australian death metal,6
australian electropop,6
australian experimental,6
australian garage punk,23
australian hardcore,3
australian hip hop,5
australian house,4
australian indie,29
australian indie folk,8
australian indie rock,10
australian indigenous,2
australian jazz,4
australian metal,23
australian metalcore,10
australian pop,36
australian post-hardcore,9
australian post-punk,3
australian post-rock,2
australian psych,13
australian r&b,3
australian reggae fusion,11
australian rock,17
australian shoegaze,2
australian singer-songwriter,13
australian ska,5
australian talent show,1
australian techno,1
australian thrash metal,5
australian trap,1
australian underground hip hop,2
austrian black metal,6
austrian classical piano,2
austrian contemporary classical,1
austrian dnb,3
austrian hip hop,6
austrian indie,12
austrian jazz,11
austrian metal,21
austrian orchestra,4
austrian pop,27
austrian punk,10
austrian stoner rock,6
austrian techno,3
austropop,22
auteur-compositeur-interprete quebecois,17
autoharp,2
autonomous black metal,12
avant-garde,8
avant-garde black metal,8
avant-garde jazz,50
avant-garde metal,33
avant-rock,9
axe,11
azeri pop,1
azeri traditional,2
azonto,5
azontobeats,9
bachata,9
bachata dominicana,6
background jazz,3
background music,4
background piano,2
backing track,1
bagpipe,2
baiao,1
bakersfield sound,1
bal-musette,1
balafon,7
balearic,14
balfolk,3
balkan beats,21
balkan brass,44
balkan classical piano,1
balkan folk metal,4
balkan hip hop,4
balkan trap,2
ballroom,3
baltic black metal,3
baltic classical piano,2
baltic folk,1
baltic post-punk,2
baltimore hip hop,1
baltimore indie,13
banda caliente,1
bandolim,1
bandoneon,8
bangalore indie,2
banjo,9
barbadian pop,1
barbershop,1
bard,2
bardcore,1
barnmusik,2
barockinterpreten,4
baroque,2
baroque brass,1
baroque ensemble,7
baroque pop,30
baroque singing,8
baroque violin,5
baroque woodwind,2
basel indie,40
bass house,28
bass music,67
bass trap,14
bass trip,2
basshall,4
bassline,6
bath indie,3
batida,3
baton rouge rap,1
battle rap,3
bay area indie,26
bayerischer rap,10
bboy,19
bc underground hip hop,6
beat italiano,2
beatboxing,13
beatdown,18
beatlesque,6
bebop,11
bedroom pop,12
bedroom soul,1
belarusian indie,2
belarusian metal,2
belfast indie,8
belfast metal,1
belgian black metal,7
belgian blues,5
belgian dance,3
belgian death metal,2
belgian dnb,1
belgian edm,14
belgian electronic,3
belgian experimental,3
belgian hardcore,4
belgian hip hop,22
belgian indie,52
belgian indie rock,19
belgian jazz,6
belgian metal,19
belgian modern jazz,5
belgian new wave,6
belgian pop,21
belgian post-rock,7
belgian rock,36
belgian singer-songwriter,6
belgian stoner rock,7
belgian techno,5
belly dance,2
belo horizonte indie,1
benga,2
beninese pop,2
bergamo indie,2
bergen indie,14
berlin minimal techno,1
berlin school,2
bern indie,58
bhangra,2
big band,11
big beat,59
big room,21
binaural,1
birdsong,1
birmingham grime,2
birmingham hip hop,3
birmingham indie,4
birmingham metal,7
bitpop,8
black 'n' roll,7
black americana,9
black death,22
black metal,68
black metal argentino,1
black punk,5
black sludge,15
black speed metal,3
black thrash,18
blackened crust,7
blackened deathcore,9
blackened hardcore,18
blackgaze,20
blaskapelle,5
blasmusik,8
bleep techno,1
bluegrass,7
bluegrass gospel,3
blues,50
blues band,3
blues latinoamericano,1
blues rock,125
blues-rock guitar,7
bmore,3
bolero,1
bolero cubano,1
boogaloo,2
boogie,1
boogie-woogie,11
boom bap,33
boom bap brasileiro,1
boom bap espanol,1
bosnian indie,2
bosnian pop,2
bossa nova,21
bossa nova cover,1
bossa nova jazz,2
boston electronic,3
boston folk,2
boston hardcore,9
boston hip hop,12
boston indie,3
boston metal,9
boston punk,5
boston rock,18
bouncy house,1
bow pop,31
boy band,20
braindance,7
brass band,19
brass band brasileiro,1
brass ensemble,12
brass quintet,2
brazilian black metal,2
brazilian boogie,1
brazilian death metal,8
brazilian dnb,3
brazilian edm,6
brazilian emo,1
brazilian gospel,3
brazilian groove metal,1
brazilian hardcore,4
brazilian hip hop,6
brazilian house,2
brazilian indie,8
brazilian indie rock,1
brazilian jazz,4
brazilian metal,7
brazilian modern jazz,3
brazilian percussion,2
brazilian post-hardcore,2
brazilian power metal,1
brazilian progressive metal,1
brazilian punk,5
brazilian punk rock,1
brazilian reggae,4
brazilian rock,13
brazilian rockabilly,1
brazilian soul,2
brazilian stoner rock,2
brazilian surf rock,1
brazilian techno,3
brazilian thrash metal,3
breakbeat,19
breakcore,12
breaks,1
brega funk,1
brega romantico,1
breton folk,6
brighton indie,31
brill building pop,15
