,spotify_genre,top_genre
0,21st century classical,art music
1,5th wave emo,experimental music
2,5th wave emo,rock music
3,5th wave emo,hip hop music
4,5th wave emo,world music
5,5th wave emo,electronic music
6,a cappella,vocal music
7,aarhus indie,rock music
8,aberdeen indie,rock music
9,abstract,art music
10,abstract beats,art music
11,abstract beats,electronic music
12,abstract hip hop,world music
13,abstract hip hop,hip hop music
14,abstract idm,art music
15,abstract idm,electronic music
16,abstractro,experimental music
17,abstractro,electronic music
18,accordeon,acoustic music
19,accordion,acoustic music
20,acid house,electronic music
21,acid house,dance music
22,acid idm,electronic music
23,acid jazz,funk
24,acid jazz,rhythm and blues
25,acid rock,rock music
26,acid techno,electronic music
27,acid techno,dance music
28,acid trance,electronic music
29,acid trance,dance music
30,acousmatic,experimental music
31,acousmatic,art music
32,acousmatic,electronic music
33,acoustic blues,blues
34,acoustic cover,acoustic music
35,acoustic pop,pop music
36,acoustic pop,acoustic music
37,acoustic punk,rock music
38,acoustic punk,acoustic music
39,acoustic rock,rock music
40,action rock,rock music
41,adelaide indie,independent music
42,adoracao,world music
43,adoracao,rock music
44,adoracao,functional music
45,adult standards,pop music
46,aesthetic rap,world music
47,aesthetic rap,hip hop music
48,afghan rap,world music
49,afghan rap,hip hop music
50,african electronic,world music
51,african electronic,electronic music
52,african experimental,experimental music
53,african experimental,world music
54,african metal,world music
55,african metal,rock music
56,african percussion,world music
57,african percussion,instrumental music
58,african reggae,world music
59,african rock,world music
60,african rock,rock music
61,african-american classical,world music
62,african-american classical,art music
63,afrikaans,world music
64,afro dancehall,world music
65,afro house,electronic music
66,afro house,dance music
67,afro psych,world music
68,afro soul,soul music
69,afro soul,rhythm and blues
70,afro-cuban percussion,world music
71,afro-cuban percussion,instrumental music
72,afro-funk,funk
73,afro-funk,world music
74,afro-funk,rhythm and blues
75,afrobeat,funk
76,afrobeat,world music
77,afrobeat,folk music
78,afrobeat,rhythm and blues
79,afrobeat brasileiro,funk
80,afrobeat brasileiro,world music
81,afrobeat brasileiro,folk music
82,afrobeat brasileiro,rhythm and blues
83,afrobeat fusion,jazz
84,afrobeat fusion,rhythm and blues
85,afrobeat fusion,funk
86,afrobeat fusion,folk music
87,afrobeat fusion,world music
88,afrofuturism,world music
89,afrofuturism,hip hop music
90,afrofuturismo brasileiro,world music
91,afrofuturismo brasileiro,hip hop music
92,afropop,world music
93,afroswing,world music
94,afroswing,hip hop music
95,aggrotech,experimental music
96,aggrotech,electronic music
97,aggrotech,dance music
98,ai,independent music
99,ai,electronic music
100,ai,rock music
101,alabama indie,independent music
102,alabama indie,rock music
103,alabama metal,rock music
104,alabama rap,world music
105,alabama rap,hip hop music
106,alaska indie,world music
107,alaska indie,country music
108,albanian folk,world music
109,albanian folk,folk music
110,albanian hip hop,world music
111,albanian hip hop,hip hop music
112,albanian pop,pop music
113,albany ny indie,rock music
114,alberta country,world music
115,alberta country,country music
116,alberta hip hop,world music
117,alberta hip hop,hip hop music
118,album rock,rock music
119,albuquerque indie,rock music
120,algerian folk,world music
121,algerian folk,folk music
122,alphorn,instrumental music
123,alpine yodeling,vocal music
124,alt z,pop music
125,alternative americana,world music
126,alternative americana,country music
127,alternative americana,rock music
128,alternative country,world music
129,alternative country,country music
130,alternative dance,rock music
131,alternative dance,dance music
132,alternative emo,experimental music
133,alternative emo,rock music
134,alternative hardcore,electronic music
135,alternative hardcore,rock music
136,alternative hardcore,dance music
137,alternative hip hop,world music
138,alternative hip hop,hip hop music
139,alternative metal,rock music
140,alternative metalcore,rock music
141,alternative pop,pop music
142,alternative pop rock,pop music
143,alternative pop rock,rock music
144,alternative r&b,rhythm and blues
145,alternative rock,rock music
146,alternative roots rock,rock music
147,ambeat,rhythm and blues
148,ambient,art music
149,ambient,electronic music
150,ambient black metal,experimental music
151,ambient black metal,rock music
152,ambient black metal,art music
153,ambient black metal,electronic music
154,ambient folk,art music
155,ambient folk,folk music
156,ambient folk,world music
157,ambient folk,electronic music
158,ambient house,art music
159,ambient house,electronic music
160,ambient house,dance music
161,ambient idm,art music
162,ambient idm,electronic music
163,ambient industrial,experimental music
164,ambient industrial,art music
165,ambient industrial,electronic music
166,ambient pop,pop music
167,ambient pop,rock music
168,ambient post-rock,experimental music
169,ambient post-rock,rock music
170,ambient post-rock,art music
171,ambient post-rock,electronic music
172,ambient psychill,art music
173,ambient psychill,electronic music
