,0,1,2,3,4,5
21st century classical,art music,,,,,
5th wave emo,experimental music,rock music,hip hop music,world music,electronic music,
a cappella,vocal music,,,,,
aarhus indie,rock music,,,,,
aberdeen indie,rock music,,,,,
abstract,absolute music,,,,,
abstract beats,electronic music,absolute music,,,,
abstract hip hop,world music,hip hop music,,,,
abstract idm,electronic music,absolute music,,,,
abstractro,experimental music,electronic music,,,,
accordeon,acoustic music,,,,,
accordion,acoustic music,,,,,
acid house,electronic music,dance music,,,,
acid idm,electronic music,,,,,
acid jazz,funk,rhythm and blues,,,,
acid rock,rock music,psychedelic music,,,,
acid techno,electronic music,dance music,,,,
acid trance,electronic music,dance music,,,,
acousmatic,electronic music,experimental music,art music,,,
acoustic blues,blues,,,,,
acoustic cover,acoustic music,,,,,
acoustic pop,pop music,acoustic music,,,,
acoustic punk,punk music,rock music,acoustic music,,,
acoustic rock,rock music,,,,,
action rock,rock music,,,,,
adelaide indie,independent music,,,,,
adoracao,world music,rock music,functional music,,,
adult standards,pop music,,,,,
aesthetic rap,world music,hip hop music,,,,
afghan rap,world music,hip hop music,,,,
african electronic,world music,electronic music,,,,
african experimental,experimental music,world music,,,,
african metal,world music,rock music,,,,
african percussion,world music,instrumental music,,,,
african reggae,music of jamaica,,,,,
african rock,world music,rock music,,,,
african-american classical,world music,art music,,,,
afrikaans,world music,,,,,
afro dancehall,music of jamaica,afro,,,,
afro house,electronic music,dance music,,,,
afro psych,afro,,,,,
afro soul,soul music,rhythm and blues,,,,
afro-cuban percussion,world music,instrumental music,afro,,,
afro-funk,funk,world music,rhythm and blues,,,
afrobeat,funk,rhythm and blues,folk music,world music,,
afrobeat brasileiro,funk,rhythm and blues,folk music,world music,,
afrobeat fusion,jazz,funk,world music,folk music,rhythm and blues,
afrofuturism,world music,hip hop music,,,,
afrofuturismo brasileiro,world music,hip hop music,,,,
afropop,world music,,,,,
afroswing,world music,hip hop music,,,,
aggrotech,electronic music,experimental music,dance music,,,
ai,electronic music,independent music,rock music,,,
alabama indie,independent music,rock music,,,,
alabama metal,rock music,,,,,
alabama rap,world music,hip hop music,,,,
alaska indie,world music,country music,,,,
albanian folk,world music,folk music,,,,
albanian hip hop,world music,hip hop music,,,,
albanian pop,pop music,,,,,
albany ny indie,rock music,,,,,
alberta country,world music,country music,,,,
alberta hip hop,world music,hip hop music,,,,
album rock,album-oriented rock,,,,,
albuquerque indie,rock music,,,,,
