,spotify_genre,top_genre
0,21st century classical,art music
1,5th wave emo,experimental music
2,5th wave emo,world music
3,5th wave emo,hip hop music
4,5th wave emo,electronic music
5,5th wave emo,rock music
6,a cappella,vocal music
7,aarhus indie,rock music
8,aberdeen indie,rock music
9,abstract,art music
10,abstract beats,electronic music
11,abstract beats,art music
12,abstract hip hop,world music
13,abstract hip hop,hip hop music
14,abstract idm,electronic music
15,abstract idm,art music
16,abstractro,experimental music
17,abstractro,electronic music
18,accordeon,acoustic music
19,accordion,acoustic music
20,acid house,dance music
21,acid house,electronic music
22,acid idm,electronic music
23,acid jazz,funk
24,acid jazz,rhythm and blues
25,acid rock,rock music
26,acid techno,dance music
27,acid techno,electronic music
28,acid trance,dance music
29,acid trance,electronic music
30,acousmatic,experimental music
31,acousmatic,electronic music
32,acousmatic,art music
33,acoustic blues,blues
34,acoustic cover,acoustic music
35,acoustic pop,pop music
36,acoustic pop,acoustic music
37,acoustic punk,rock music
38,acoustic punk,acoustic music
39,acoustic rock,rock music
40,action rock,rock music
41,adoracao,functional music
42,adoracao,world music
43,adoracao,rock music
44,adult standards,pop music
45,aesthetic rap,world music
46,aesthetic rap,hip hop music
47,afghan rap,world music
48,afghan rap,hip hop music
49,african electronic,electronic music
50,african electronic,world music
51,african experimental,experimental music
52,african experimental,world music
53,african metal,world music
54,african metal,rock music
55,african percussion,world music
56,african percussion,instrumental music
57,african reggae,world music
58,african rock,world music
59,african rock,rock music
60,african-american classical,world music
61,african-american classical,art music
62,afrikaans,world music
63,afro dancehall,world music
64,afro house,dance music
65,afro house,electronic music
66,afro psych,world music
67,afro r&b,world music
68,afro r&b,rhythm and blues
69,afro soul,soul music
70,afro soul,rhythm and blues
71,afro-cuban percussion,world music
72,afro-cuban percussion,instrumental music
73,afro-funk,world music
74,afro-funk,funk
75,afro-funk,rhythm and blues
76,afrobeat,world music
77,afrobeat,funk
78,afrobeat,rhythm and blues
79,afrobeat,folk music
80,afrobeat brasileiro,world music
81,afrobeat brasileiro,funk
82,afrobeat brasileiro,rhythm and blues
83,afrobeat brasileiro,folk music
84,afrobeat fusion,world music
85,afrobeat fusion,funk
86,afrobeat fusion,rhythm and blues
87,afrobeat fusion,jazz
88,afrobeat fusion,folk music
89,afrofuturism,world music
90,afrofuturism,hip hop music
91,afrofuturismo brasileiro,world music
92,afrofuturismo brasileiro,hip hop music
93,afropop,world music
94,afroswing,world music
95,afroswing,hip hop music
96,aggrotech,experimental music
97,aggrotech,dance music
98,aggrotech,electronic music
99,ai,electronic music
100,ai,pop music
101,alabama indie,rock music
102,alabama indie,independent music
103,alabama metal,rock music
104,alabama rap,world music
105,alabama rap,hip hop music
106,alaska indie,world music
107,alaska indie,country music
108,albanian folk,folk music
109,albanian folk,world music
110,albanian hip hop,world music
111,albanian hip hop,hip hop music
112,albanian pop,pop music
113,albany ny indie,rock music
114,alberta country,world music
115,alberta country,country music
116,alberta hip hop,world music
117,alberta hip hop,hip hop music
118,album rock,rock music
119,albuquerque indie,rock music
120,algerian folk,folk music
121,algerian folk,world music
122,alphorn,instrumental music
123,alpine yodeling,vocal music
124,alt z,pop music
125,alternative americana,world music
126,alternative americana,rock music
127,alternative americana,country music
128,alternative country,world music
129,alternative country,country music
130,alternative dance,dance music
131,alternative dance,rock music
132,alternative emo,experimental music
133,alternative emo,rock music
134,alternative hardcore,dance music
135,alternative hardcore,electronic music
136,alternative hardcore,rock music
137,alternative hip hop,world music
138,alternative hip hop,hip hop music
139,alternative metal,rock music
140,alternative metalcore,rock music
141,alternative pop,pop music
142,alternative pop rock,pop music
143,alternative pop rock,rock music
144,alternative r&b,rhythm and blues
145,alternative rock,rock music
146,alternative roots rock,rock music
147,ambeat,rhythm and blues
148,ambient,electronic music
149,ambient,art music
150,ambient black metal,experimental music
151,ambient black metal,art music
152,ambient black metal,electronic music
153,ambient black metal,rock music
154,ambient folk,world music
155,ambient folk,art music
156,ambient folk,electronic music
157,ambient folk,folk music
158,ambient house,dance music
159,ambient house,electronic music
160,ambient house,art music
161,ambient idm,electronic music
162,ambient idm,art music
163,ambient industrial,experimental music
164,ambient industrial,electronic music
165,ambient industrial,art music
166,ambient pop,pop music
167,ambient pop,rock music
168,ambient post-rock,experimental music
169,ambient post-rock,art music
170,ambient post-rock,electronic music
171,ambient post-rock,rock music
172,ambient psychill,electronic music
173,ambient psychill,art music
