genre_id,genre_name,parent_genre_id,parent_genre_name,everynoise_id,discogs_genre_name,discogs_style_name
Q209498,2 tone,Q54365,ska,,,
Q1751409,2-step garage,Q1165777,UK garage,,,
Q1338153,20th-century classical music,Q1583807,art music,,,
Q4631020,21st-century classical music,Q1583807,art music,21stcenturyclassical,,
Q4637208,4-beat,Q663519,breakbeat,,,
Q10397358,60s pop/rock,,,,,
Q1980100,8-bit music,Q9778,electronic music,8bit,,
Q1980100,8-bit music,Q106422444,bit music,8bit,,
Q10372501,A capella rock,Q11399,rock music,,,
Q10372501,A capella rock,Q185298,a cappella,,,
Q185298,a cappella,Q685884,vocal music,acappella,,
Q710673,aak,Q708228,Korean court music,,,
Q4666464,Abecedarian hymn,Q484692,hymn,,,
Q318973,Abendmusik,Q6942562,musical performance,,,
Q318973,Abendmusik,Q8812109,church music,,,
Q12224286,Abidat Rma,,,,,
Q106538862,Abkhazian folk music,Q2032053,music of Georgia,,,
Q106538862,Abkhazian folk music,Q107013350,Caucasian folk music,,,
Q6039799,aboio,Q502658,work song,,,
Q6039799,aboio,Q106926325,Brazilian folk music,,,
Q106641524,aboio cantado,Q6039799,aboio,,,
Q5655239,abozao,Q201022,folk dance,,,
Q332478,absolute music,Q638,music,abstract,,
Q98528482,abstract hip hop,Q11401,hip hop music,abstracthiphop,,
Q4670712,Abwe,,,,,
Q338779,Accentus,Q26473,Gregorian chant,,,
Q83390,acclamatio,Q45594,greeting,,,
Q83390,acclamatio,Q2090950,Byzantine music,,,
Q4672733,accordion music,Q286080,acoustic music,,,
Q21028652,Achewiq,,,,,
Q2823181,acid blues,Q9759,blues,,,
Q2634010,Acid breaks,Q663519,breakbeat,,,
Q106641525,acid croft,Q9778,electronic music,,,
Q341364,acid house,Q20502,house music,acidhouse,,acid+house
Q341364,acid house,Q898709,rave music,acidhouse,,acid+house
Q221772,acid jazz,Q164444,funk,acidjazz,,acid+jazz
Q106528337,acid music,Q9778,electronic music,,,acid
Q236932,acid rock,Q206159,psychedelic rock,acidrock,,acid+rock
Q341395,acid techno,Q170611,techno,acidtechno,,
Q341395,acid techno,Q341364,acid house,acidtechno,,
Q481900,acid trance,Q170435,trance,acidtrance,,
Q341396,acidcore,Q341395,acid techno,acidcore,,
Q341396,acidcore,Q820049,gabber,acidcore,,
Q341396,acidcore,Q11693017,darkcore,acidcore,,
Q423918,Acousmatic music,Q1326777,electroacoustic music,acousmatic,,
Q65936357,acoustic blues,Q9759,blues,acousticblues,,
Q65936357,acoustic blues,Q106878019,early acoustic blues,acousticblues,,
Q106641530,acoustic Chicago blues,Q65936357,acoustic blues,,,
Q106877999,acoustic Louisiana blues,Q515074,Louisiana blues,,,
Q106878000,acoustic Memphis blues,Q106878019,early acoustic blues,,,
Q286080,acoustic music,Q638,music,,,acoustic
Q106878001,acoustic New Orleans blues,Q515074,Louisiana blues,,,
Q65936391,acoustic rock,Q11399,rock music,acousticrock,,
Q98528141,acoustic Texas blues,Q649823,country blues,,,
Q11817196,actor's song,,,actors,,
Q55642856,adhunik geet,,,,,
Q3328577,Adjukru music,Q6942329,music of West Africa,,,
Q378988,adult contemporary music,Q37073,pop music,,,
Q2510800,Adult hits,,,,,
Q4685875,Adult-oriented pop music,,,,,
Q16527140,Adult-oriented rock,Q11399,rock music,,,
Q106538881,Aegean islands folk music,Q12876995,Greek folk music,,,
Q383530,Afoxê,,,,,
Q2907328,African blues,Q9759,blues,,,
Q2907328,African blues,Q369820,music of Africa,,,
Q98528185,African folk music,Q235858,traditional folk music,,,
Q98528185,African folk music,Q369820,music of Africa,,,
Q384064,African Gospel,Q180268,gospel music,africangospel,,
Q17510016,African heavy metal,Q38848,heavy metal,,,
Q17510016,African heavy metal,Q369820,music of Africa,,,
Q387236,African hip hop,Q11401,hip hop music,,,
Q6168369,African jazz,Q8341,jazz,,,
Q6168369,African jazz,Q369820,music of Africa,,,
Q972634,African popular music,Q369820,music of Africa,afropop,,
Q972634,African popular music,Q373342,popular music,afropop,,
Q4690039,African reggae,Q9794,reggae,africanreggae,,
Q388207,African-American music,Q2267955,music of the United States,,,
Q388207,African-American music,Q6942343,music of the African diaspora,,,
Q25339858,Afro,,,,,
Q4690168,Afro-Caribbean music,,,,,
Q3163340,Afro-Cuban jazz,Q837389,Latin jazz,,,afro-cuban+jazz
Q106641536,Afro-funk,Q164444,funk,afrofunk,,
Q106641536,Afro-funk,Q6942329,music of West Africa,afrofunk,,
Q388100,Afro-house,Q20502,house music,afrohouse,,
Q16993565,Afro-Peruvian music,,,musicaafroperuana,,
Q2621049,Afro-punk,,,,,
Q3606268,Afro-rock,Q11399,rock music,,,
Q3606268,Afro-rock,Q6942329,music of West Africa,,,
Q16024685,Afro-soul,Q131272,soul music,afrosoul,,
Q26234147,Afro-trap,Q2913982,trap music,,,
Q388296,Afrobeat,Q164444,funk,afrobeat,,afrobeat
Q388296,Afrobeat,Q9048265,Yoruba music,afrobeat,,afrobeat
Q81089861,Afrobeats,Q211756,dance-pop,,,
Q85740017,Afroswing,Q11401,hip hop music,afroswing,,
Q1091450,aggrotech,Q4155078,dark electro,aggrotech,,
Q4694554,aguinaldo,,,,,aguinaldo
Q1406136,Ahellil,Q3328583,music of Algeria,,,
Q2635155,Ahidous,Q201022,folk dance,,,
Q4696445,Ahwash,Q11639,dance,,,
Q108430097,Aikawa Ondo,Q1152364,Bon Odori,,,
Q108430097,Aikawa Ondo,Q7092205,ondo,,,
Q84433946,ainam,,,,,
Q3735537,Ainu folk music,Q106586250,East Asian folk music,ainufolk,,
Q406714,air,Q207628,musical composition,,,
Q4698401,air à boire,,,,,
Q407916,Air de cour,Q685884,vocal music,,,
Q407916,Air de cour,Q4797274,art song,,,
Q5661311,aire,,,,,
Q22949256,aita,Q11400811,music of North Africa,,,
Q22949256,aita,Q98528189,Arabic folk music,,,
Q97774967,aiyai,,,,,
Q4699758,Ajisari,Q1065742,religious music,,,
Q16687400,akamoji-kei,Q131425,visual kei,,,
Q106641570,Akan music,Q6942329,music of West Africa,,,
Q10846275,Akiba-pop,Q131578,J-pop,,,
Q10846275,Akiba-pop,Q1142768,Akiba-kei,,,
Q11282754,Akishibu-kei,Q1207347,Shibuya-kei,,,
Q12531757,Akzhelen,Q25513043,Kazakh folk music,,,
Q97277870,al ala,,,,,
Q2610186,al jeel,Q624081,Arabic pop music,,,
Q16119301,al-hawizi maqam,,,,,
Q8192992,alalá,Q235858,traditional folk music,,,
Q106641595,Albanian folk music,Q1075799,music of Albania,albanianfolk,,
Q106641595,Albanian folk music,Q6966089,Balkan folk music,albanianfolk,,
Q16357920,Albanian hip hop,Q11401,hip hop music,albanianhiphop,,
Q47112,Albanian iso-polyphony,Q685884,vocal music,albanianisopolyphony,,
Q47112,Albanian iso-polyphony,Q1075799,music of Albania,albanianisopolyphony,,
Q4709224,Albanian rock,Q11399,rock music,,,
Q4709224,Albanian rock,Q1075799,music of Albania,,,
Q4709178,Albanian urban lyric song,Q1075799,music of Albania,,,
Q5662534,Albazo,Q235858,traditional folk music,,,
Q428656,album-oriented rock,,,albumrock,,aor
Q623715,aleatoric music,,,,,
Q107024911,Alevi folk music,Q1074080,music of Turkey,,,
Q107024911,Alevi folk music,Q106635221,West Asian folk music,,,
Q2961766,Algerian chaabi,Q2961763,chaabi,chaabialgerien,,
Q3135790,Algerian hip hop,Q11401,hip hop music,,,
Q3163344,Algerian jazz,Q8341,jazz,,,
Q3163344,Algerian jazz,Q3328583,music of Algeria,,,
Q3437798,Algerian rock,Q11399,rock music,,,
Q3437798,Algerian rock,Q3328583,music of Algeria,,,
Q16002495,Algorave,,,,,
Q106626501,algysh,Q6941969,music of Tuva,,,
Q106626501,algysh,Q98528287,Turkic-Mongolic traditional music,,,
Q12213606,allaoui,,,,,
Q37731261,Almlieder,Q252833,Alpine folk music,,,
Q37731261,Almlieder,Q40039114,Volkslied,,,
Q5389389,Alpenrock,Q11399,rock music,,,
Q59616856,alphabetical Psalm,Q173287,acrostic,,,
Q59616856,alphabetical Psalm,Q318247,abecedarius,,,
Q59616856,alphabetical Psalm,Q12497663,psalm,,,
Q64140730,Alphorn music,Q639197,instrumental music,,,
Q252833,Alpine folk music,Q98528192,European folk music,,,volksmusik
Q107024927,Alsatian folk music,Q2956178,French folk music,,,
Q107024983,Altai folk music,Q6941949,music of Altai,,,
Q107024983,Altai folk music,Q98528287,Turkic-Mongolic traditional music,,,
Q1695023,alternative,Q638,music,,,
Q438476,alternative country,Q83440,country music,alternativecountry,,
Q2187392,alternative dance,Q11366,alternative rock,alternativedance,,
Q2187392,alternative dance,Q316930,dance music,alternativedance,,
Q4736507,alternative electronic,Q9778,electronic music,,,
Q28401204,alternative folk,Q43343,folk music,,,
Q438503,alternative hip hop,Q6010,rap,alternativehiphop,,
Q438503,alternative hip hop,Q11401,hip hop music,alternativehiphop,,
Q20378,alternative metal,Q11366,alternative rock,alternativemetal,,
Q20378,alternative metal,Q38848,heavy metal,alternativemetal,,
Q105338947,alternative pop,Q37073,pop music,alternativepop,,
Q65936979,Alternative punk,Q3071,punk rock,,,
Q7118426,alternative R&B,Q850412,contemporary R&B,alternativerb,,
Q7118426,alternative R&B,Q850412,contemporary R&B,indierb,,
Q4736555,alternative reggaeton,Q202930,reggaeton,,,
Q11366,alternative rock,Q11399,rock music,alternativerock,,alternative+rock
Q11366,alternative rock,Q1695023,alternative,alternativerock,,alternative+rock
Q98528298,alternative singer/songwriter,Q11399,rock music,,,
Q85741139,amapiano,Q20502,house music,amapiano,,
Q4741152,Ambasse bey,,,,,
Q8197165,ambient black metal,Q132438,black metal,ambientblackmetal,,
Q8197165,ambient black metal,Q756956,dark ambient,ambientblackmetal,,
Q106653596,ambient breakbeat,Q663519,breakbeat,,,
Q3613770,ambient dub,Q193207,ambient music,,,
Q3613770,ambient dub,Q212688,dub music,,,
Q3613770,ambient dub,Q817138,electronica,,,
Q2465085,ambient house,Q20502,house music,ambienthouse,,
Q2465085,ambient house,Q193207,ambient music,ambienthouse,,
Q1440196,ambient industrial,Q756956,dark ambient,ambientindustrial,,
Q2842043,ambient jungle,Q193207,ambient music,,,
Q193207,ambient music,Q9778,electronic music,ambient,,ambient
Q193207,ambient music,Q213121,new age music,ambient,,ambient
Q9149798,ambient noise,,,,,
Q107389985,ambient noise wall,Q726239,noise music,,,
Q33160145,ambient pop,Q37073,pop music,ambientpop,,
Q33160145,ambient pop,Q592330,dream pop,ambientpop,,
Q9149801,ambient techno,Q170611,techno,ambienttechno,,
Q9149801,ambient techno,Q193207,ambient music,ambienttechno,,
Q4993553,ambient trance,Q170435,trance,ambienttrance,,
Q4993553,ambient trance,Q193207,ambient music,ambienttrance,,
Q1428162,Ambrosian chant,Q2707688,plainsong,,,
Q1428162,Ambrosian chant,Q64137792,religious vocal music,,,
Q4745427,American art song,,,,,
Q3328618,American classical music,Q9730,Western classical music,,,
Q4745455,American fiddle,,,,,
Q1541229,American folk music,Q43343,folk music,,,
Q1541229,American folk music,Q373342,popular music,,,
Q1541229,American folk music,Q2267955,music of the United States,,,
Q4745477,American gamelan,Q194492,gamelan,,,
Q4745477,American gamelan,Q2267955,music of the United States,,,
Q3135787,American hip hop,Q11401,hip hop music,,,
Q3135787,American hip hop,Q2267955,music of the United States,,,
Q4744117,American Indian opera,Q1344,opera,,,
Q4744117,American Indian opera,Q2267955,music of the United States,,,
Q1684501,American jazz,Q8341,jazz,,,
Q1684501,American jazz,Q2267955,music of the United States,,,
Q16820420,American march music,Q211025,march,,,
Q2782580,American metal,Q38848,heavy metal,,,
Q1937548,American minstrel music,Q1541229,American folk music,,,
Q4745509,American patriotic music,,,,,
Q4745516,American pop,Q37073,pop music,,,
Q4745516,American pop,Q2267955,music of the United States,,,
Q466445,American primitive guitar,Q43343,folk music,americanprimitive,,
Q3614105,American punk,Q3437802,American rock,,,
Q3437802,American rock,Q11399,rock music,,,
Q3437802,American rock,Q2267955,music of the United States,,,
Q2407862,Americana,Q83440,country music,,,
Q20631510,Ameripolitan,,,,,
Q13424679,Anarchist black metal,Q132438,black metal,,,
Q486365,anarcho-punk,Q3071,punk rock,anarchopunk,,
Q96874426,Anatolian blues,,,,,
Q483740,Anatolian rock,Q11399,rock music,anadolurock,,
Q483740,Anatolian rock,Q1810546,Turkish folk music,anadolurock,,
Q4752812,ancient Celtic music,Q18846,ancient music,,,
Q10752660,ancient Chinese music,Q18846,ancient music,,,
Q10752660,ancient Chinese music,Q277393,music of China,,,
Q107024992,ancient Levitical music,Q10978770,religious Jewish music,,,
Q107024992,ancient Levitical music,Q18846,ancient music,,,
Q18846,ancient music,Q638,music,,,
Q15926105,ancient Naxi music,Q18846,ancient music,,,
Q15926105,ancient Naxi music,Q277393,music of China,,,
Q4752921,ancient Tamil music,Q18846,ancient music,,,
Q4752921,ancient Tamil music,Q531426,music of India,,,
Q2897103,Andalusi nubah,Q98528260,Islamic modal music,,,
Q623904,Andalusian classical music,Q2742742,music of Andalusia,andalusianclassical,,andalusian+classical
Q623904,Andalusian classical music,Q11400811,music of North Africa,andalusianclassical,,andalusian+classical
Q623904,Andalusian classical music,Q107189715,Arabic classical music,andalusianclassical,,andalusian+classical
Q107266605,Andalusian folk music,Q2742742,music of Andalusia,,,
Q107266605,Andalusian folk music,Q98528259,Spanish folk music,,,
Q492096,Andean music,Q5645984,music of South America,musicaandina,,andean+music
Q492096,Andean music,Q6024704,indigenous music,musicaandina,,andean+music
Q28517114,Andean music (Colombia),Q492096,Andean music,musicaandinacolombiana,,
Q622688,Andean new age music,Q213121,new age music,,,
Q107267446,Andean rock,Q11399,rock music,,,
Q107267446,Andean rock,Q492096,Andean music,,,
Q2830437,Angelic mass,Q217295,mass,,,
Q4763551,Anglican chant,Q2707688,plainsong,,,
Q4763552,Anglican church music,Q6452410,Christian music,,,
Q4763552,Anglican church music,Q64137792,religious vocal music,,,
