,genre_id,genre_name,genre_name_edited,top_genre_id,top_genre_name,unique_top_genre,everynoise_id,everynoise_name,discogs_genre_name,discogs_style_name
0,Q209498,2 tone,2 tone,Q54365,ska,0.0,,,,
1,Q1751409,2-step garage,2 step garage,Q316930,dance music,0.0,,,,
2,Q1751409,2-step garage,2 step garage,Q9778,electronic music,0.0,,,,
3,Q1338153,20th-century classical music,20th century classical,Q1583807,art music,0.0,,,,
4,Q4631020,21st-century classical music,21st century classical,Q1583807,art music,0.0,21stcenturyclassical,21st century classical,,
5,Q4637208,4-beat,4 beat,Q9778,electronic music,0.0,,,,
6,Q4637208,4-beat,4 beat,Q316930,dance music,0.0,,,,
7,Q10397358,60s pop/rock,60s pop/rock,Q10397358,60s pop/rock,1.0,,,,
8,Q1980100,8-bit music,8 bit,Q9778,electronic music,0.0,8bit,8-bit,,
9,Q10372501,a capella rock,a capella rock,Q11399,rock music,0.0,,,,
10,Q10372501,a capella rock,a capella rock,Q685884,vocal music,0.0,,,,
11,Q185298,a cappella,a cappella,Q685884,vocal music,0.0,acappella,a cappella,,
12,Q710673,aak,aak,Q1583807,art music,0.0,,,,
13,Q710673,aak,aak,Q205049,world music,0.0,,,,
14,Q4666464,abecedarian hymn,abecedarian hymn,Q484692,hymn,0.0,,,,
15,Q318973,abendmusik,abendmusik,Q26897135,functional music,0.0,,,,
16,Q12224286,abidat rma,abidat rma,Q12224286,abidat rma,1.0,,,,
17,Q106538862,abkhazian folk music,abkhazian folk,Q43343,folk music,0.0,,,,
18,Q106538862,abkhazian folk music,abkhazian folk,Q205049,world music,0.0,,,,
19,Q6039799,aboio,aboio,Q43343,folk music,0.0,,,,
20,Q6039799,aboio,aboio,Q205049,world music,0.0,,,,
21,Q106641524,aboio cantado,aboio cantado,Q205049,world music,0.0,,,,
22,Q106641524,aboio cantado,aboio cantado,Q43343,folk music,0.0,,,,
23,Q5655239,abozao,abozao,Q5655239,abozao,1.0,,,,
24,Q332478,absolute music,absolute,Q332478,absolute music,1.0,abstract,abstract,,
25,Q98528482,abstract hip hop,abstract hip hop,Q11401,hip hop music,0.0,abstracthiphop,abstract hip hop,,
26,Q98528482,abstract hip hop,abstract hip hop,Q205049,world music,0.0,abstracthiphop,abstract hip hop,,
27,Q4670712,abwe,abwe,Q4670712,abwe,1.0,,,,
28,Q338779,accentus,accentus,Q26897135,functional music,0.0,,,,
29,Q338779,accentus,accentus,Q685884,vocal music,0.0,,,,
30,Q83390,acclamatio,acclamatio,Q18846,ancient music,0.0,,,,
31,Q4672733,accordion music,accordion,Q286080,acoustic music,0.0,,,,
32,Q21028652,achewiq,achewiq,Q21028652,achewiq,1.0,,,,
33,Q2823181,acid blues,acid blues,Q9759,blues,0.0,,,,
34,Q2634010,acid breaks,acid breaks,Q9778,electronic music,0.0,,,,
35,Q2634010,acid breaks,acid breaks,Q316930,dance music,0.0,,,,
36,Q106641525,acid croft,acid croft,Q9778,electronic music,0.0,,,,
37,Q341364,acid house,acid house,Q9778,electronic music,0.0,acidhouse,acid house,,acid house
38,Q341364,acid house,acid house,Q316930,dance music,0.0,acidhouse,acid house,,acid house
39,Q221772,acid jazz,acid jazz,Q45981,rhythm and blues,0.0,acidjazz,acid jazz,,acid jazz
40,Q221772,acid jazz,acid jazz,Q164444,funk,0.0,acidjazz,acid jazz,,acid jazz
41,Q106528337,acid music,acid,Q9778,electronic music,0.0,,,,acid
42,Q236932,acid rock,acid rock,Q11399,rock music,0.0,acidrock,acid rock,,acid rock
43,Q236932,acid rock,acid rock,Q846119,psychedelic music,0.0,acidrock,acid rock,,acid rock
44,Q341395,acid techno,acid techno,Q316930,dance music,0.0,acidtechno,acid techno,,
45,Q341395,acid techno,acid techno,Q9778,electronic music,0.0,acidtechno,acid techno,,
46,Q481900,acid trance,acid trance,Q316930,dance music,0.0,acidtrance,acid trance,,
47,Q481900,acid trance,acid trance,Q9778,electronic music,0.0,acidtrance,acid trance,,
48,Q341396,acidcore,acidcore,Q316930,dance music,0.0,acidcore,acidcore,,
49,Q341396,acidcore,acidcore,Q9778,electronic music,0.0,acidcore,acidcore,,
50,Q423918,acousmatic music,acousmatic,Q1640319,experimental music,0.0,acousmatic,acousmatic,,
51,Q423918,acousmatic music,acousmatic,Q1583807,art music,0.0,acousmatic,acousmatic,,
52,Q423918,acousmatic music,acousmatic,Q9778,electronic music,0.0,acousmatic,acousmatic,,
53,Q65936357,acoustic blues,acoustic blues,Q9759,blues,0.0,acousticblues,acoustic blues,,
54,Q106641530,acoustic chicago blues,acoustic chicago blues,Q9759,blues,0.0,,,,
55,Q106877999,acoustic louisiana blues,acoustic louisiana blues,Q9759,blues,0.0,,,,
56,Q106878000,acoustic memphis blues,acoustic memphis blues,Q9759,blues,0.0,,,,
57,Q286080,acoustic music,acoustic,Q286080,acoustic music,0.0,,,,acoustic
58,Q106878001,acoustic new orleans blues,acoustic new orleans blues,Q9759,blues,0.0,,,,
59,Q65936391,acoustic rock,acoustic rock,Q11399,rock music,0.0,acousticrock,acoustic rock,,
60,Q98528141,acoustic texas blues,acoustic texas blues,Q83440,country music,0.0,,,,
61,Q98528141,acoustic texas blues,acoustic texas blues,Q205049,world music,0.0,,,,
62,Q98528141,acoustic texas blues,acoustic texas blues,Q9759,blues,0.0,,,,
63,Q98528141,acoustic texas blues,acoustic texas blues,Q43343,folk music,0.0,,,,
64,Q11817196,actor's song,actor's song,Q11817196,actor's song,1.0,actors,actors,,
65,Q55642856,adhunik geet,adhunik geet,Q55642856,adhunik geet,1.0,,,,
66,Q3328577,adjukru music,adjukru,Q205049,world music,0.0,,,,
67,Q378988,adult contemporary music,adult contemporary,Q37073,pop music,0.0,,,,
68,Q2510800,adult hits,adult hits,Q2510800,adult hits,1.0,,,,
69,Q4685875,adult-oriented pop music,adult oriented pop,Q4685875,adult-oriented pop music,1.0,,,,
70,Q16527140,adult-oriented rock,adult oriented rock,Q11399,rock music,0.0,,,,
71,Q106538881,aegean islands folk music,aegean islands folk,Q205049,world music,0.0,,,,
72,Q106538881,aegean islands folk music,aegean islands folk,Q43343,folk music,0.0,,,,
73,Q383530,afoxê,afoxê,Q383530,afoxê,1.0,,,,
74,Q2907328,african blues,african blues,Q9759,blues,0.0,,,,
75,Q2907328,african blues,african blues,Q205049,world music,0.0,,,,
76,Q98528185,african folk music,african folk,Q205049,world music,0.0,,,,
77,Q98528185,african folk music,african folk,Q43343,folk music,0.0,,,,
