,top_genre
0,acoustic music
1,alternative
2,art music
3,bhangra
4,blues
5,brega
6,children's music
7,children’s music
8,comedy music
9,congolese rumba
10,contemporary worship music
11,country music
12,dance music
13,electronic music
14,experimental music
15,folk music
16,functional music
17,funk
18,gothic music
19,hip hop music
20,holiday music
21,hymn
22,independent music
23,instrumental music
24,jazz
25,lo-fi music
26,luk thung
27,medieval music
28,music of guadeloupe
29,music of jamaica
30,musical theater
31,nerd music
32,new age music
33,opera
34,outsider house
35,parlour music
36,pop music
37,post-disco
38,psychedelic music
39,punk jazz
40,rhythm and blues
41,rock music
42,serenade
43,ska
44,soul music
45,underground music
46,vocal music
47,world music
