,top_genre,manual_top_genre
0,acoustic music,
1,alternative,rock music
2,art music,
3,bhangra,dance music
4,blues,
5,brega,world music
6,children's music,
7,children’s music,children's music
8,comedy music,functional music
9,congolese rumba,world music
10,contemporary worship music,functional music
11,country music,
12,dance music,
13,electronic music,
14,experimental music,
15,folk music,
16,functional music,
17,funk,
18,gothic music,rock music
19,hip hop music,
20,holiday music,pop music
21,hymn,functional music
22,independent music,
23,instrumental music,
24,jazz,
25,lo-fi music,
26,luk thung,world music
27,medieval music,art music
28,music of guadeloupe,world music
29,music of jamaica,world music
30,musical theater,pop music
31,nerd music,rock music
32,new age music,art music
33,opera,art music
34,outsider house,electronic music
35,parlour music,pop music
36,pop music,
37,post-disco,pop music
38,psychedelic music,rock music
39,punk jazz,jazz
40,rhythm and blues,
41,rock music,
42,serenade,art music
43,ska,world music
44,soul music,
45,underground music,
46,vocal music,
47,world music,
