,unique_top_genre,manual_top_genre
0,absolute music,art music
1,afro,world music
2,afro-peruvian music,world music
3,album-oriented rock,rock music
4,argentine punk,rock music
5,asian american hip hop,hip hop music
6,autonomous music,art music
7,azonto,dance music
8,balkan beats,world music
9,balkan brass,folk music
10,banjo music,country music
11,bardcore,folk music
12,bass,electronic music
13,beatboxing,hip hop music
14,belgian jazz,jazz
15,boogie-woogie,blues
16,breaks,hip hop music
17,british invasion,rock music
18,british soul,soul music
19,canadian country music,country music
20,canzone,country music
21,canzone napoletana,country music
22,catalan rock,rock music
23,chicano rap,hip hop music
24,choro,vocal music
25,classic country,country music
26,classic rock,rock music
27,contemporary commercial music,pop music
28,contemporary music,pop music
29,country rap,hip hop music
30,coupé-décalé,dance music
31,croatian hip hop,hip hop music
32,croatian rock,rock music
33,cumbia villera,folk music
34,cyberpunk music,electronic music
35,czech rock,rock music
36,dance,dance music
37,dansktop,pop music
38,dembow,dance music
39,depressive black metal,rock music
40,desi hip hop,hip hop music
41,digital hardcore,electronic music
42,dutch punk,rock music
43,düsseldorf school of electronic music,electronic music
44,dōjin music,world music
45,early reggae,world music
46,emo rock,rock music
47,forró pé de serra,world music
48,funky,funk
49,german techno,electronic music
50,glam,rock music
51,gothic doom metal,rock music
52,greek new wave,rock music
53,gypsy punk,rock music
54,hamburger schule,rock music
55,hauntology,art music
56,hip hop galsen,hip hop music
57,hiplife,hip hop music
58,honky-tonk,country music
59,indorock,rock music
60,israeli punk,rock music
61,italian occult psychedelia,psychedelic music
62,italo dance,dance music
63,jazz blues,blues
64,jig,folk music
65,jovem guarda,folk music
66,kizomba,dance music
67,kora music,world music
68,latin metal,rock music
69,livetronica,electronic music
70,manele,folk music
71,mashup,art music
72,memphis blues,blues
73,merengue típico,world music
74,modern rock,rock music
75,moroccan pop,pop music
76,musical modernism,art music
77,neo music,art music
78,neon pop-punk,pop music
79,neotraditional country,country music
80,neue deutsche todeskunst,folk music
81,neue volksmusik,folk music
82,new orleans jazz,jazz
83,new wave of traditional heavy metal,rock music
84,new weird america,rock music
85,nu gaze,rock music
86,opera metal,rock music
87,orchestra,art music
88,outsider music,art music
89,palm desert scene,rock music
90,polyphony,art music
91,popular music,pop music
92,pornogrind,rock music
93,progressive music,rock music
94,punk music,rock music
95,regional music,folk music
96,salon music,art music
97,sasscore,rock music
98,scottish hip-hop,hip hop music
99,sega music,jazz
100,siciliana,world music
101,ska jazz,jazz
102,sleaze rock,rock music
103,soul blues,blues
104,sound art,art music
105,steampunk music,electronic music
106,stomp and flutter,rock music
107,straight-ahead jazz,jazz
108,street music,pop music
109,string orchestra,art music
110,swing revival,jazz
111,tango canción,dance music
112,tarantella,dance music
113,tech trance,electronic music
114,timba,folk music
115,turbo-folk,folk music
116,twoubadou,folk music
117,ukrainian rock,rock music
118,urban contemporary,art music
119,v-pop,pop music
120,vietnamese bolero,art music
121,volkstümliche musik,folk music
122,women's music,art music
123,world fusion music,world music
124,xhosa music,folk music
125,yacht rock,rock music
126,youth music,pop music
127,zouglou,dance music
